word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.09963652491569519
SALMON,F,12,219,133,119,0.09925775229930878
SALMON,E,11,211,117,103,0.09864877164363861
SALMON,G,12,223,145,126,0.09798882901668549
SALMON,G,13,221,143,129,0.09795784950256348
WHALE,N,27,77,147,166,0.13710658252239227
WHALE,O,29,75,143,168,0.13703274726867676
WHALE,P,30,79,151,171,0.13687710464000702
WHALE,O,30,75,135,167,0.13633456826210022
WHALE,N,28,77,141,173,0.1363227814435959
GRIZZLY,A,1,82,48,27,0.15664181113243103
GRIZZLY,A,2,90,47,30,0.15379995107650757
GRIZZLY,B,1,115,71,37,0.15206381678581238
GRIZZLY,A,3,99,43,32,0.14621850848197937
GRIZZLY,C,1,143,92,43,0.14605724811553955
FLAMINGO,G,15,222,144,155,0.16525176167488098
FLAMINGO,F,15,218,127,144,0.1651948094367981
FLAMINGO,E,16,205,110,140,0.16467180848121643
FLAMINGO,F,16,202,130,150,0.16434647142887115
FLAMINGO,C,17,204,68,122,0.1632126420736313
FOX,B,1,115,71,37,0.1418886035680771
FOX,A,1,82,48,27,0.14164945483207703
FOX,C,1,143,92,43,0.14140383899211884
FOX,C,2,150,87,44,0.14098256826400757
FOX,B,2,128,70,41,0.14054782688617706
CRICKET,I,15,204,200,166,0.14833588898181915
CRICKET,J,13,197,200,155,0.14295139908790588
CRICKET,I,18,191,193,194,0.14269688725471497
CRICKET,J,14,190,196,156,0.141927570104599
CRICKET,L,10,165,191,101,0.1411673128604889
CANARY,J,4,237,216,75,0.19824671745300293
CANARY,J,3,239,213,61,0.1981252133846283
CANARY,K,3,234,219,71,0.19805672764778137
CANARY,J,5,238,217,81,0.19784066081047058
CANARY,K,2,234,219,67,0.19781461358070374
PIG,I,18,191,193,194,0.13092227280139923
PIG,G,16,206,150,162,0.12636907398700714
PIG,G,15,222,144,155,0.12568789720535278
PIG,H,16,200,164,172,0.12441505491733551
PIG,I,15,204,200,166,0.12422896921634674
TIGER,E,3,223,136,44,0.13620559871196747
TIGER,F,4,230,160,63,0.1360056847333908
TIGER,F,5,230,158,69,0.13598883152008057
TIGER,F,3,228,158,50,0.1356937736272812
TIGER,E,4,218,131,42,0.13492818176746368
LADYBUG,J,15,195,203,165,0.1587187498807907
LADYBUG,I,18,191,193,194,0.15801101922988892
LADYBUG,J,14,190,196,156,0.15799561142921448
LADYBUG,J,13,197,200,155,0.1572960913181305
LADYBUG,I,16,194,198,180,0.1567598283290863
FROG,J,14,190,196,156,0.14464978873729706
FROG,J,15,195,203,165,0.1442853808403015
