word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,I,19,164,176,185,0.2307555079460144
SALMON,J,19,165,194,195,0.2304823100566864
SALMON,H,14,222,163,143,0.2300679236650467
SALMON,H,13,224,161,135,0.23005439341068268
SALMON,I,18,191,193,194,0.2284010648727417
WHALE,J,19,165,194,195,0.2215072065591812
WHALE,J,20,146,185,193,0.215317964553833
WHALE,I,18,191,193,194,0.2146712988615036
WHALE,J,21,134,171,185,0.21105578541755676
WHALE,I,19,164,176,185,0.21008135378360748
GRIZZLY,I,18,191,193,194,0.20219281315803528
GRIZZLY,J,19,165,194,195,0.18182975053787231
GRIZZLY,J,26,82,103,143,0.17955881357192993
GRIZZLY,M,30,67,101,147,0.17832370102405548
GRIZZLY,L,28,74,106,150,0.17821672558784485
FLAMINGO,I,18,191,193,194,0.21712680160999298
FLAMINGO,H,15,218,165,158,0.21225804090499878
FLAMINGO,G,14,220,142,135,0.21208837628364563
FLAMINGO,F,14,217,130,129,0.21175254881381989
FLAMINGO,G,15,222,144,155,0.21131440997123718
FOX,I,18,191,193,194,0.22643239796161652
FOX,J,19,165,194,195,0.17815281450748444
FOX,I,19,164,176,185,0.1740061342716217
FOX,J,20,146,185,193,0.17243823409080505
FOX,A,10,205,61,45,0.17023882269859314
CRICKET,J,21,134,171,185,0.21720723807811737
CRICKET,J,20,146,185,193,0.21287581324577332
CRICKET,J,19,165,194,195,0.20941203832626343
CRICKET,K,23,111,164,184,0.20621734857559204
CRICKET,K,21,130,186,197,0.20600542426109314
CANARY,J,2,235,211,51,0.23892632126808167
CANARY,J,3,239,213,61,0.23890931904315948
CANARY,K,4,235,222,79,0.23886509239673615
CANARY,K,2,234,219,67,0.23878487944602966
CANARY,K,3,234,219,71,0.2387399524450302
PIG,I,18,191,193,194,0.21580053865909576
PIG,I,16,194,198,180,0.19962671399116516
PIG,J,19,165,194,195,0.19928863644599915
PIG,J,15,195,203,165,0.19732677936553955
PIG,I,17,192,196,189,0.19565893709659576
TIGER,I,18,191,193,194,0.21314498782157898
TIGER,J,19,165,194,195,0.19272151589393616
TIGER,I,16,194,198,180,0.1915423423051834
TIGER,I,19,164,176,185,0.19095942378044128
TIGER,J,15,195,203,165,0.19095611572265625
LADYBUG,I,18,191,193,194,0.20281817018985748
LADYBUG,J,19,165,194,195,0.1914002001285553
LADYBUG,J,20,146,185,193,0.19124692678451538
LADYBUG,J,21,134,171,185,0.18956176936626434
LADYBUG,I,21,137,147,169,0.18391531705856323
FROG,I,18,191,193,194,0.20047420263290405
FROG,J,15,195,203,165,0.19711661338806152
FROG,K,11,185,201,122,0.19601793587207794
FROG,K,12,178,197,132,0.1947554051876068
FROG,K,10,194,204,116,0.19463956356048584
AXOLOTL,J,20,146,185,193,0.2083233892917633
AXOLOTL,J,19,165,194,195,0.20820489525794983
AXOLOTL,K,20,144,191,190,0.20544353127479553
AXOLOTL,K,21,130,186,197,0.204164057970047
AXOLOTL,I,18,191,193,194,0.2025875747203827
TOAD,I,18,191,193,194,0.19815519452095032
TOAD,J,19,165,194,195,0.19159433245658875
TOAD,J,18,180,202,194,0.1900079846382141
TOAD,J,17,181,202,191,0.18905794620513916
TOAD,J,16,187,201,178,0.18654951453208923
LEMON,L,1,229,216,45,0.25236767530441284
LEMON,L,2,228,217,53,0.2514972984790802
LEMON,L,3,227,217,60,0.2498134970664978
LEMON,K,2,234,219,67,0.24899175763130188
LEMON,K,4,235,222,79,0.24786700308322906
LIME,M,6,182,198,73,0.2934606075286865
LIME,M,5,194,204,68,0.2931939363479614
LIME,N,1,180,193,51,0.2930401861667633
LIME,N,3,170,189,58,0.2928377091884613
LIME,N,4,161,186,60,0.292598694562912
KIWI,M,7,171,194,77,0.2284162938594818
KIWI,M,6,182,198,73,0.22804774343967438
KIWI,M,8,158,189,81,0.22780855000019073
KIWI,N,5,154,184,62,0.2277228981256485
KIWI,N,6,147,183,68,0.22764453291893005
PUMPKIN,I,18,191,193,194,0.21785062551498413
PUMPKIN,E,3,223,136,44,0.20343510806560516
PUMPKIN,E,4,218,131,42,0.20235493779182434
PUMPKIN,E,5,217,125,46,0.20203286409378052
PUMPKIN,F,6,229,154,76,0.19996094703674316
ZUCCHINI,I,18,191,193,194,0.20132237672805786
ZUCCHINI,N,11,100,157,71,0.1943211853504181
ZUCCHINI,N,12,97,156,76,0.19422847032546997
ZUCCHINI,O,8,97,147,69,0.19417737424373627
ZUCCHINI,O,9,93,145,69,0.19416388869285583
GRAPE,C,24,132,69,124,0.2589802145957947
GRAPE,B,25,130,64,121,0.25891411304473877
GRAPE,A,26,124,59,119,0.2588087022304535
GRAPE,C,23,139,71,124,0.25873395800590515
GRAPE,D,22,135,76,125,0.25871098041534424
CUCUMBER,I,18,191,193,194,0.2150323987007141
CUCUMBER,M,11,128,174,91,0.2094547301530838
CUCUMBER,N,11,100,157,71,0.20941846072673798
CUCUMBER,N,12,97,156,76,0.2094174325466156
CUCUMBER,N,13,95,158,79,0.2092297375202179
COCONUT,J,19,165,194,195,0.22205756604671478
COCONUT,J,20,146,185,193,0.21872611343860626
COCONUT,K,21,130,186,197,0.21397297084331512
COCONUT,J,21,134,171,185,0.2139599621295929
COCONUT,K,20,144,191,190,0.21340569853782654
EGGPLANT,D,28,91,56,119,0.24729561805725098
EGGPLANT,C,30,85,50,118,0.2472829818725586
EGGPLANT,D,29,82,52,118,0.247148796916008
EGGPLANT,A,30,97,59,117,0.24708762764930725
EGGPLANT,B,30,94,58,120,0.24701657891273499
ASPARAGUS,K,11,185,201,122,0.21771536767482758
ASPARAGUS,K,10,194,204,116,0.21715059876441956
ASPARAGUS,K,12,178,197,132,0.21604661643505096
ASPARAGUS,L,9,174,194,96,0.21479950845241547
ASPARAGUS,L,10,165,191,101,0.21433255076408386
PEACH,C,10,213,78,66,0.23651698231697083
PEACH,D,11,208,96,88,0.2361132949590683
PEACH,D,10,209,93,76,0.23529314994812012
PEACH,F,11,223,134,112,0.23527967929840088
PEACH,C,11,211,78,73,0.2351866066455841
APPLE,I,18,191,193,194,0.2664191722869873
APPLE,I,19,164,176,185,0.22834064066410065
APPLE,J,22,123,155,177,0.2211255431175232
APPLE,K,24,102,146,172,0.22030755877494812
APPLE,J,19,165,194,195,0.2201565057039261
EGG,J,19,165,194,195,0.20704999566078186
EGG,J,21,134,171,185,0.19966644048690796
EGG,J,20,146,185,193,0.1990116834640503
EGG,J,18,180,202,194,0.1908857673406601
EGG,K,23,111,164,184,0.18687975406646729
BANANA,I,18,191,193,194,0.2455761879682541
BANANA,I,19,164,176,185,0.229766845703125
BANANA,J,21,134,171,185,0.22918635606765747
BANANA,J,20,146,185,193,0.2233041226863861
BANANA,J,19,165,194,195,0.22305865585803986
TOMATO,B,10,206,66,49,0.23538662493228912
TOMATO,A,10,205,61,45,0.23528502881526947
TOMATO,A,11,205,61,45,0.23528502881526947
TOMATO,B,9,202,63,44,0.23483158648014069
TOMATO,C,9,210,75,50,0.23429171741008759
BEET,A,20,175,49,110,0.22376248240470886
BEET,A,18,192,50,97,0.22332000732421875
BEET,A,21,168,55,115,0.22318100929260254
BEET,A,19,184,48,108,0.22270359098911285
BEET,A,22,159,58,117,0.22234243154525757
PEARL,J,19,165,194,195,0.24251152575016022
PEARL,I,16,194,198,180,0.23864790797233582
PEARL,J,20,146,185,193,0.23650768399238586
PEARL,J,18,180,202,194,0.23518475890159607
PEARL,I,17,192,196,189,0.23420310020446777
AMETHYST,D,28,91,56,119,0.27284666895866394
AMETHYST,B,30,94,58,120,0.2728244960308075
AMETHYST,A,30,97,59,117,0.2727715075016022
AMETHYST,C,29,95,58,123,0.2726627290248871
AMETHYST,C,30,85,50,118,0.2726403772830963
SAPPHIRE,H,30,49,56,116,0.2390722781419754
SAPPHIRE,I,30,48,65,124,0.23810118436813354
SAPPHIRE,H,29,59,64,124,0.23479487001895905
SAPPHIRE,J,19,165,194,195,0.2339765876531601
SAPPHIRE,J,30,59,68,123,0.2339722067117691
GOLD,I,18,191,193,194,0.26155567169189453
GOLD,I,13,207,190,146,0.25238174200057983
GOLD,I,14,209,200,158,0.24998952448368073
GOLD,I,12,220,198,142,0.2484072893857956
GOLD,I,11,225,195,128,0.2402382642030716
RUBY,C,14,200,66,84,0.2500723600387573
RUBY,A,8,165,53,45,0.2481309473514557
RUBY,C,13,207,75,83,0.2480156272649765
RUBY,A,16,201,57,74,0.24772989749908447
RUBY,B,14,196,58,67,0.24748948216438293
JADE,J,19,165,194,195,0.21191151440143585
JADE,J,18,180,202,194,0.21171578764915466
JADE,J,17,181,202,191,0.2111782431602478
JADE,K,19,156,197,185,0.2110394537448883
JADE,K,20,144,191,190,0.2102888524532318
TILE,I,18,191,193,194,0.2357504814863205
TILE,I,14,209,200,158,0.22858938574790955
TILE,I,19,164,176,185,0.2283364087343216
TILE,J,19,165,194,195,0.22812041640281677
TILE,I,15,204,200,166,0.22623297572135925
LAPIS LAZULI,I,30,48,65,124,0.2680363655090332
LAPIS LAZULI,H,30,49,56,116,0.26787522435188293
LAPIS LAZULI,H,29,59,64,124,0.2673863172531128
LAPIS LAZULI,I,29,62,71,129,0.26691538095474243
LAPIS LAZULI,H,28,68,72,131,0.26653820276260376
AMBER,I,18,191,193,194,0.25155389308929443
AMBER,C,9,210,75,50,0.23017200827598572
AMBER,A,10,205,61,45,0.2299000471830368
AMBER,A,11,205,61,45,0.2299000471830368
AMBER,B,10,206,66,49,0.22983300685882568
BRICK,I,18,191,193,194,0.2200893759727478
BRICK,I,19,164,176,185,0.2190150022506714
BRICK,I,20,148,161,177,0.2074773609638214
BRICK,I,21,137,147,169,0.20629172027111053
BRICK,B,4,150,70,45,0.20281477272510529
EMERALD,P,11,63,120,66,0.2554427683353424
EMERALD,P,12,67,127,70,0.2540930509567261
EMERALD,P,10,65,118,66,0.253631591796875
EMERALD,P,13,70,136,71,0.25324076414108276
EMERALD,P,14,70,138,69,0.2531237006187439
SUNFLOWER,I,18,191,193,194,0.20111235976219177
SUNFLOWER,H,2,237,188,52,0.19272297620773315
SUNFLOWER,I,2,235,196,46,0.19206570088863373
SUNFLOWER,H,3,237,186,58,0.19180330634117126
SUNFLOWER,I,4,238,198,69,0.19138452410697937
BASIL,J,19,165,194,195,0.23091082274913788
BASIL,J,20,146,185,193,0.22955350577831268
BASIL,K,20,144,191,190,0.22911232709884644
BASIL,K,18,171,200,179,0.22780556976795197
BASIL,J,17,181,202,191,0.2275114506483078
MALLOW,L,18,147,191,160,0.22066496312618256
MALLOW,K,18,171,200,179,0.22014975547790527
MALLOW,K,17,170,199,174,0.2194325178861618
MALLOW,L,19,140,190,165,0.21889591217041016
MALLOW,K,19,156,197,185,0.21886035799980164
LAVENDER,H,20,154,142,164,0.27776217460632324
LAVENDER,H,21,142,131,158,0.27667680382728577
LAVENDER,H,19,168,152,171,0.2755562663078308
LAVENDER,G,20,152,123,154,0.27213990688323975
LAVENDER,G,21,142,115,151,0.27209362387657166
POPPY,J,19,165,194,195,0.24072781205177307
POPPY,J,18,180,202,194,0.23640650510787964
POPPY,J,17,181,202,191,0.2342982292175293
POPPY,J,20,146,185,193,0.232939213514328
POPPY,K,20,144,191,190,0.23069122433662415
WHEAT,I,13,207,190,146,0.22051891684532166
WHEAT,I,14,209,200,158,0.21747861802577972
WHEAT,I,12,220,198,142,0.2147623598575592
WHEAT,I,15,204,200,166,0.21107715368270874
WHEAT,I,18,191,193,194,0.20771606266498566
CARNATION,G,15,222,144,155,0.2283366471529007
CARNATION,F,15,218,127,144,0.22732923924922943
CARNATION,G,16,206,150,162,0.22582249343395233
CARNATION,E,14,217,110,120,0.22577093541622162
CARNATION,H,16,200,164,172,0.22405539453029633
CORAL,F,11,223,134,112,0.28058862686157227
CORAL,E,10,215,114,90,0.2788870334625244
CORAL,G,11,225,146,123,0.27723371982574463
CORAL,E,11,211,117,103,0.2769567370414734
CORAL,F,12,219,133,119,0.27691650390625
MINT,K,20,144,191,190,0.2572788596153259
MINT,K,19,156,197,185,0.25339603424072266
MINT,J,19,165,194,195,0.25282877683639526
MINT,L,21,122,182,175,0.251420259475708
MINT,K,21,130,186,197,0.2505178153514862
WOOD,I,18,191,193,194,0.22840872406959534
WOOD,I,13,207,190,146,0.2117553949356079
WOOD,I,14,209,200,158,0.21043580770492554
WOOD,I,15,204,200,166,0.20737570524215698
WOOD,M,27,75,130,160,0.2063913345336914
HURRICANE,I,18,191,193,194,0.21254295110702515
HURRICANE,J,19,165,194,195,0.20247295498847961
HURRICANE,J,18,180,202,194,0.19885975122451782
HURRICANE,H,20,154,142,164,0.19829197227954865
HURRICANE,J,17,181,202,191,0.19625622034072876
SKIN,I,18,191,193,194,0.21021492779254913
SKIN,L,23,101,176,189,0.2065032720565796
SKIN,P,30,79,151,171,0.20603187382221222
SKIN,N,27,77,147,166,0.20599380135536194
SKIN,M,25,86,163,179,0.20590674877166748
FIRE,I,18,191,193,194,0.23156915605068207
FIRE,A,10,205,61,45,0.21902647614479065
FIRE,A,11,205,61,45,0.21902647614479065
FIRE,B,10,206,66,49,0.21733875572681427
FIRE,B,12,209,65,59,0.2172977179288864
SAND,I,18,191,193,194,0.2612321376800537
SAND,I,13,207,190,146,0.25087881088256836
SAND,I,14,209,200,158,0.24597561359405518
SAND,I,12,220,198,142,0.24250176548957825
SAND,I,19,164,176,185,0.24123656749725342
SEA,I,20,148,161,177,0.2178853154182434
SEA,I,19,164,176,185,0.21653711795806885
SEA,J,22,123,155,177,0.2148669958114624
SEA,K,24,102,146,172,0.21262362599372864
SEA,J,23,112,144,171,0.2117684781551361
MUD,I,14,209,200,158,0.21796301007270813
MUD,I,18,191,193,194,0.2173815369606018
MUD,I,13,207,190,146,0.2166294902563095
MUD,I,15,204,200,166,0.21335364878177643
MUD,I,12,220,198,142,0.2031249701976776
GRASS,J,19,165,194,195,0.22678667306900024
GRASS,J,17,181,202,191,0.22421543300151825
GRASS,J,18,180,202,194,0.2241755872964859
GRASS,J,16,187,201,178,0.22343750298023224
GRASS,J,20,146,185,193,0.2231418490409851
POND,J,21,134,171,185,0.2368045598268509
POND,J,19,165,194,195,0.23363471031188965
POND,J,20,146,185,193,0.23262476921081543
POND,J,22,123,155,177,0.2205297201871872
POND,K,24,102,146,172,0.21895082294940948
SUNRISE,J,21,134,171,185,0.22377970814704895
SUNRISE,J,20,146,185,193,0.21693244576454163
SUNRISE,I,19,164,176,185,0.21202820539474487
SUNRISE,I,20,148,161,177,0.21077778935432434
SUNRISE,J,19,165,194,195,0.21035103499889374
MOSS,J,15,195,203,165,0.23857925832271576
MOSS,J,14,190,196,156,0.23781992495059967
MOSS,J,13,197,200,155,0.23763000965118408
MOSS,J,12,203,205,152,0.23754362761974335
MOSS,J,16,187,201,178,0.234303817152977
SKY,L,25,90,147,176,0.2218346744775772
SKY,K,24,102,146,172,0.22180213034152985
SKY,K,23,111,164,184,0.22105038166046143
SKY,M,27,75,130,160,0.22080373764038086
SKY,O,30,75,135,167,0.22009985148906708
THUNDERBOLT,I,21,137,147,169,0.22655972838401794
THUNDERBOLT,I,20,148,161,177,0.22079692780971527
THUNDERBOLT,I,23,115,126,158,0.21988271176815033
THUNDERBOLT,J,19,165,194,195,0.2198721319437027
THUNDERBOLT,J,21,134,171,185,0.21884995698928833
BLOOD,A,5,124,45,38,0.199262797832489
BLOOD,A,6,130,45,39,0.19895221292972565
BLOOD,A,4,109,44,35,0.19817252457141876
BLOOD,A,7,143,48,41,0.1959194540977478
BLOOD,A,3,99,43,32,0.19478929042816162
SUNSET,H,13,224,161,135,0.21145585179328918
SUNSET,H,14,222,163,143,0.2112807035446167
SUNSET,J,21,134,171,185,0.21103325486183167
SUNSET,F,11,223,134,112,0.21099373698234558
SUNSET,H,12,227,160,127,0.21098262071609497
SHAME,J,18,180,202,194,0.18373367190361023
SHAME,J,17,181,202,191,0.18208904564380646
SHAME,J,19,165,194,195,0.18189595639705658
SHAME,K,19,156,197,185,0.17772407829761505
SHAME,I,19,164,176,185,0.17727044224739075
RELAX,I,18,191,193,194,0.21073070168495178
RELAX,J,19,165,194,195,0.20351135730743408
RELAX,J,20,146,185,193,0.20001569390296936
RELAX,J,21,134,171,185,0.19792646169662476
RELAX,K,20,144,191,190,0.19162876904010773
ECOLOGY,M,30,67,101,147,0.18855541944503784
ECOLOGY,L,28,74,106,150,0.18833640217781067
ECOLOGY,J,21,134,171,185,0.18671396374702454
ECOLOGY,K,27,77,109,149,0.18667301535606384
ECOLOGY,J,20,146,185,193,0.1856023073196411
PEACE,J,19,165,194,195,0.2236248403787613
PEACE,J,20,146,185,193,0.2200065553188324
PEACE,J,21,134,171,185,0.21841232478618622
PEACE,J,18,180,202,194,0.21531206369400024
PEACE,J,14,190,196,156,0.21526022255420685
RAGE,I,18,191,193,194,0.19100220501422882
RAGE,K,24,102,146,172,0.18928657472133636
RAGE,J,22,123,155,177,0.18698200583457947
RAGE,L,26,85,133,166,0.18679466843605042
RAGE,M,27,75,130,160,0.18678346276283264
DISGUST,J,15,195,203,165,0.20674286782741547
DISGUST,J,14,190,196,156,0.20626109838485718
DISGUST,J,16,187,201,178,0.20493395626544952
DISGUST,J,13,197,200,155,0.20453403890132904
DISGUST,P,10,65,118,66,0.20390084385871887
HAPINESS,J,24,102,130,162,0.20411202311515808
HAPINESS,K,27,77,109,149,0.20401029288768768
HAPINESS,J,25,91,118,155,0.2039235532283783
HAPINESS,L,27,77,112,147,0.20354123413562775
HAPINESS,K,26,85,118,157,0.20352470874786377
LONELINESS,M,30,67,101,147,0.19079259037971497
LONELINESS,L,28,74,106,150,0.1905403882265091
LONELINESS,J,26,82,103,143,0.18902656435966492
LONELINESS,K,27,77,109,149,0.18885424733161926
LONELINESS,J,25,91,118,155,0.1885572373867035
DANGER,I,18,191,193,194,0.2628273069858551
DANGER,J,20,146,185,193,0.25187474489212036
DANGER,M,27,75,130,160,0.2517182528972626
DANGER,J,21,134,171,185,0.2512081265449524
DANGER,K,23,111,164,184,0.2500987648963928
SADNESS,I,19,164,176,185,0.239574134349823
SADNESS,I,18,191,193,194,0.23720002174377441
SADNESS,I,20,148,161,177,0.22999189794063568
SADNESS,J,22,123,155,177,0.22974811494350433
SADNESS,J,23,112,144,171,0.22752371430397034
TOXIC,I,18,191,193,194,0.21390025317668915
TOXIC,N,5,154,184,62,0.19397851824760437
TOXIC,M,5,194,204,68,0.19389215111732483
TOXIC,N,6,147,183,68,0.1938180774450302
TOXIC,N,4,161,186,60,0.19342893362045288
SUMMER,I,18,191,193,194,0.1933526247739792
SUMMER,J,19,165,194,195,0.18065735697746277
SUMMER,J,20,146,185,193,0.17416048049926758
SUMMER,J,21,134,171,185,0.17265693843364716
SUMMER,I,30,48,65,124,0.17202062904834747
AUTUMN,D,7,211,99,50,0.22422555088996887
AUTUMN,E,3,223,136,44,0.22198587656021118
AUTUMN,D,8,205,95,49,0.22151890397071838
AUTUMN,E,4,218,131,42,0.22149690985679626
AUTUMN,E,6,213,114,50,0.2211436778306961
WINTER,I,18,191,193,194,0.21258516609668732
WINTER,I,19,164,176,185,0.20334988832473755
WINTER,J,21,134,171,185,0.1996694803237915
WINTER,J,19,165,194,195,0.19895192980766296
WINTER,I,20,148,161,177,0.1966308057308197
SPRING,I,18,191,193,194,0.2328675091266632
SPRING,I,19,164,176,185,0.22567209601402283
SPRING,J,21,134,171,185,0.21362149715423584
SPRING,I,20,148,161,177,0.2118375301361084
SPRING,J,19,165,194,195,0.20723149180412292
HOPE,I,18,191,193,194,0.20857977867126465
HOPE,J,19,165,194,195,0.20109060406684875
HOPE,I,19,164,176,185,0.19950856268405914
HOPE,J,20,146,185,193,0.19790565967559814
HOPE,K,20,144,191,190,0.1959032118320465
FEMINISM,J,21,134,171,185,0.19710730016231537
FEMINISM,K,24,102,146,172,0.19510120153427124
FEMINISM,J,22,123,155,177,0.19501525163650513
FEMINISM,K,25,95,135,166,0.19338154792785645
FEMINISM,K,28,68,91,135,0.19281452894210815
SHRECK,M,4,202,207,62,0.19750848412513733
SHRECK,M,5,194,204,68,0.19718819856643677
SHRECK,L,7,201,207,90,0.19692668318748474
SHRECK,L,6,215,214,82,0.19689205288887024
SHRECK,M,3,206,206,55,0.1945762187242508
TRACTOR,I,18,191,193,194,0.22379900515079498
TRACTOR,J,21,134,171,185,0.2110598385334015
TRACTOR,J,20,146,185,193,0.2106320858001709
TRACTOR,J,19,165,194,195,0.20984980463981628
TRACTOR,K,20,144,191,190,0.19982320070266724
SONIC,I,18,191,193,194,0.232425719499588
SONIC,H,30,49,56,116,0.21112817525863647
SONIC,I,30,48,65,124,0.21015429496765137
SONIC,H,29,59,64,124,0.2080739438533783
SONIC,G,29,57,53,119,0.20679359138011932
PIKACHU,I,18,191,193,194,0.21121343970298767
PIKACHU,J,3,239,213,61,0.1942616105079651
PIKACHU,J,5,238,217,81,0.1927013099193573
PIKACHU,J,4,237,216,75,0.19268792867660522
PIKACHU,K,4,235,222,79,0.1926744282245636
HULK,I,18,191,193,194,0.19926206767559052
HULK,J,16,187,201,178,0.18475034832954407
HULK,N,20,104,176,110,0.18330717086791992
HULK,K,16,170,198,166,0.18271154165267944
HULK,O,19,97,163,99,0.18195998668670654
BARBIE,I,18,191,193,194,0.21251559257507324
BARBIE,G,15,222,144,155,0.18730410933494568
BARBIE,G,16,206,150,162,0.184624582529068
BARBIE,F,15,218,127,144,0.18459397554397583
BARBIE,H,16,200,164,172,0.18331238627433777
BRUSH,I,18,191,193,194,0.2216866910457611
BRUSH,J,19,165,194,195,0.1999606192111969
BRUSH,J,21,134,171,185,0.19911062717437744
BRUSH,J,18,180,202,194,0.19529421627521515
BRUSH,J,22,123,155,177,0.19489262998104095
SMURF,J,20,146,185,193,0.21603858470916748
SMURF,J,19,165,194,195,0.21572010219097137
SMURF,J,21,134,171,185,0.21346250176429749
SMURF,K,21,130,186,197,0.21022486686706543
SMURF,K,22,119,178,193,0.20805704593658447
WITCHCRAFT,J,19,165,194,195,0.19974631071090698
WITCHCRAFT,I,18,191,193,194,0.19672469794750214
