,Words,Stat,p-value
0,AMBER,0.1990350156653916,0.822408334269736
1,AMETHYST,0.24241824626408484,0.7875582951830613
2,APPLE,10.350900592601022,0.001739530824139468
3,ASPARAGUS,10.451820288281645,0.003547739957549312
4,AUTUMN,2.0195295263437116,0.18336227805382355
5,AXOLOTL,0.30084204923958746,0.744557670591944
6,BANANA,13.01766120916281,0.0006394298954113253
7,BARBIE,2.103598550018832,0.1647555274932755
8,BASIL,4.654269987776809,0.02189566367588025
9,BEET,0.18208586227758009,0.8354724438066958
10,BLAS (Y EPI),1.6031314160625816,0.25378682065720726
11,BLOOD,5.118931692956668,0.019121947852194787
12,BRICK,1.2072610224554334,0.32339913437308054
13,BRUSH,4.904417315996143,0.030012149045966052
14,CANARY,3.1591693838624564,0.08239018905868833
15,CARNATION,0.9854251654602973,0.3906891051489708
16,COCONUT,13.94978896479463,0.00031137024126182133
17,COOKIE MONSTER,7.250007902152882,0.011328389620574142
18,CORAL,2.261058724872891,0.13303612164844714
19,CRICKET,14.738930705394646,0.00035893766454919707
20,CUCUMBER,14.00357157245796,0.0003707916833981528
21,DANGER,2.8767520450415507,0.1474178249793967
22,DISGUST,2.3061086258854626,0.13181419180806864
23,ECOLOGY,18.145146725386535,0.000470489927549389
24,EGG,2.6138646069009046,0.10849263789030883
25,EGGPLANT,2.6766049954998534,0.12241104858880025
26,ELMO,14.546094897901531,0.0008143872980558298
27,EMERALD,6.924341722739398,0.008114533724692619
28,EPI (Y BLAS),0.7364464532034463,0.508662167920555
29,FEMINISM,8.034419211455583,0.006105775516710876
30,FIRE,0.944982008328223,0.41064733666654085
31,FLAMINGO,7.097924870320438,0.012058564366345337
32,FLASH,2.290036286250665,0.14373711154757307
33,FOX,2.377156764186767,0.1318731979042862
34,FROG,8.757679181796343,0.0024305834866431564
35,GOLD,14.529907948309733,0.00017522680060566564
36,GRAPE,4.165181467032193,0.042287955263784704
37,GRASS,26.066566974464358,3.576644288960651e-06
38,GRINCH,4.180868485692053,0.04791055374925046
39,GRIZZLY,1.3227681989366118,0.29574877669350474
40,HAPINESS,139.66022761625536,1.6313492778863292e-09
41,HOPE,29.675752100226266,2.8501403913638867e-06
42,HULK,18.010553219457254,0.00024349749774410512
43,HURRICANE,1.55331252956761,0.24372671137659152
44,JADE,1.4633907631985965,0.2608228936652497
45,KIWI,3.1617374980067026,0.08628531886827573
46,LADYBUG,2.457175177912607,0.12440128795973515
47,LAPIS LAZULI,3.0383002040448215,0.07163197788660924
48,LAVENDER,1.5666897038646548,0.23453398691885075
49,LEMON,51.00885630790744,3.725856794201121e-07
50,LIME,12.488720210651545,0.001477383769992624
51,LONELINESS,0.32017000304016646,0.7315904314130042
52,MALLOW,1.1694821207190935,0.3463284527442976
53,MINT,12.088556517593213,0.0003616817892680979
54,MOSS,43.576302612051464,3.142408912748529e-06
55,MUD,0.6863616557840626,0.5221175876056015
56,PEACE,1.719248406295481,0.21494776099662238
57,PEACH,13.782005170507091,0.0004007424903176293
58,PEARL,0.6379245730162451,0.5388041513549672
59,PETER PAN,3.0647018929762537,0.0875139749012902
60,PIG,1.7673175663543637,0.20075964176954153
61,PIKACHU,8.483068928056987,0.007013038903361135
62,POND,7.446929318433588,0.00699561529332704
63,POPPY,0.2699758352312572,0.7664347134353655
64,PUMPKIN,0.6003398749178321,0.5642995519111984
65,RAGE,1.7147601245817994,0.2134662487039306
66,RELAX,0.6693806088254566,0.5266729325946812
67,RUBY,0.5930814186974938,0.5636593179168979
68,SADNESS,28.840131450698323,0.00022010019028961825
69,SALMON,0.8724815184411764,0.4380795636341187
70,SAND,11.003452401873917,0.0008592373817380983
71,SAPPHIRE,1.4676601754254217,0.26624815016205416
72,SEA,15.37463176030373,0.0003752510688800337
73,SHAME,0.15460931642111028,0.8580144930171745
74,SHRECK,1.9908750511297928,0.19234977877518866
75,SIMPSON,4.812141638355915,0.024291674509077654
76,SKIN,4.990380064002435,0.0286842214330697
77,SKY,3.5569441479044754,0.056353216922796934
78,SMURF,1.413590015710435,0.28420052275711494
79,SONIC,20.63334550884382,2.1986516332339612e-05
80,SPRING,0.40029884841099667,0.6781026893246935
81,STITCH,15.536979628992496,0.0008553958916448501
82,SUBMARINE,2.0459128324479168,0.17995490612822396
83,SUMMER,10.761091659735953,0.0010930878169030933
84,SUNFLOWER,15.300055826273084,0.0003836740096089253
85,SUNRISE,1.4228560446029952,0.2683174982452968
86,SUNSET,4.497122360153448,0.0404473296331489
87,THUNDERBOLT,9.080121114971172,0.002962518502860778
88,TIGER,0.28519280918153833,0.7558561989427173
89,TILE,43.54703090590042,1.2683787231626553e-07
90,TOAD,86.78628580170174,1.290360085448583e-08
91,TOMATO,46.36358690463272,1.8223210283552227e-05
92,TOXIC,1.1437584983738285,0.3510321677391143
93,TRACTOR,3.321402855548635,0.07831902708394556
94,WHALE,7.062232210907714,0.005090318901610824
95,WHEAT,10.04082056603846,0.0019735710030092113
96,WINTER,4.156859641099802,0.040211170981809374
97,WITCHCRAFT,84.74497487614637,3.488017097375007e-08
98,WOOD,3.531187819368533,0.05217212932775517
99,ZUCCHINI,22.73957422255024,4.0026079591970465e-05
