,Words,Stat,p-value
0,AMBER,1.7393992256689417,0.2206128950124091
1,AMETHYST,0.9077399585039125,0.4232331274331834
2,APPLE,5.820698537571703,0.014464534482040659
3,ASPARAGUS,5.969948978002091,0.019671024688341032
4,AUTUMN,138.5457118618963,5.1274201440243417e-08
5,AXOLOTL,1.8003226301126922,0.19917020303282906
6,BANANA,12.93637909352389,0.0006579036524134718
7,BARBIE,20.13188063125027,0.00014651547862409853
8,BASIL,1.7361715038958911,0.2017137607949031
9,BEET,0.9029211807446073,0.42773296892548396
10,BLAS (Y EPI),9.26987231511509,0.006520361925362539
11,BLOOD,7.748580728454327,0.004433926890014095
12,BRICK,1.9216977099699042,0.17684136443428133
13,BRUSH,18.67289216812577,0.00029086228476271625
14,CANARY,6.934644566280639,0.01125929570051487
15,CARNATION,0.7289508628488508,0.4947974321963369
16,COCONUT,76.09544896363872,6.707179811549224e-09
17,COOKIE MONSTER,16.647414717992127,0.000657385067415861
18,CORAL,1.581362210462758,0.2329744827704977
19,CRICKET,0.1614056203902372,0.8525078186517017
20,CUCUMBER,15.468171804933581,0.00022620972138376327
21,DANGER,204.17236584267485,1.6093258756399997e-05
22,DISGUST,1.1755756153177908,0.3339283929827933
23,ECOLOGY,4.761459534859013,0.03525950655489718
24,EGG,5.973773988902577,0.0133113463700123
25,EGGPLANT,0.5242793782951325,0.6090098251734057
26,ELMO,0.21605071115035604,0.8090332863714896
27,EMERALD,2.1738126803892666,0.1506042417027852
28,EPI (Y BLAS),6.988114543543091,0.017560919550913545
29,FEMINISM,2.0635869153950717,0.16972189553375738
30,FIRE,52.80693175194806,1.6225766630295624e-07
31,FLAMINGO,3.0714942189074717,0.0912179528609216
32,FLASH,0.7869436614401907,0.4773776009334679
33,FOX,16.30189681879083,0.00028650055886947356
34,FROG,0.6219272589154703,0.5486870730807456
35,GOLD,48.37453870211985,5.750554499250882e-08
36,GRAPE,5.097705096142338,0.024975168250394253
37,GRASS,1.4624843716496785,0.2565894947083547
38,GRINCH,10.141452809425347,0.0039265604235663165
39,GRIZZLY,139.53029627303732,2.0295898295330517e-10
40,HAPINESS,92.00083553190461,2.1211792766706594e-08
41,HOPE,14.249994583274356,0.000232123889509106
42,HULK,61.80454841197085,4.801252376784859e-07
43,HURRICANE,13.347938240754258,0.00046772021075958126
44,JADE,0.6601132999114544,0.5303118169775469
45,KIWI,1.2396489896871694,0.33040698928070156
46,LADYBUG,1413.263685659022,6.661338147750939e-16
47,LAPIS LAZULI,5.459900407366058,0.013382941462021902
48,LAVENDER,1.0711976356990516,0.36240520211137905
49,LEMON,45.039185365651505,7.968431697813472e-07
50,LIME,1.01878229002287,0.39271651822024367
51,LONELINESS,6.995791501959715,0.008662584362046921
52,MALLOW,1.0019085409847444,0.39835482614099693
53,MINT,11.723352537130616,0.0004272986276540047
54,MOSS,16.371403893703583,0.00037217574848624757
55,MUD,290.74597748536485,6.832800991674048e-11
56,PEACE,2.408613203992128,0.1261847807013512
57,PEACH,5.869087171482364,0.013097738412792825
58,PEARL,3.7039819754486123,0.04280871706015443
59,PETER PAN,3.680000222705024,0.059753037562548905
60,PIG,8.046977905092197,0.0034749777574787366
61,PIKACHU,27.56333092228576,8.535046824154069e-05
62,POND,26.349894879153396,2.6697212680670823e-05
63,POPPY,4.006800558562508,0.03636204132790832
64,PUMPKIN,25.63765211251485,4.652453325226791e-05
65,RAGE,15.033315415509824,0.00026107858865320743
66,RELAX,1.5317267143264273,0.24812959404726675
67,RUBY,15.70953309191583,0.0001368284327168956
68,SADNESS,0.46636741105009283,0.6433127831231994
69,SALMON,1.5293786024304545,0.2486139535520513
70,SAND,11.66420241318374,0.0006473243704983034
71,SAPPHIRE,3.573786358184099,0.05796742818679901
72,SEA,8.883085101985943,0.0036995971907123337
73,SHAME,1.0077191729726978,0.3870804093181126
74,SHRECK,4.146137313329055,0.05293668406988661
75,SIMPSON,4.80519869492407,0.02439465861205281
76,SKIN,14.0104201792838,0.0009452101320164275
77,SKY,10.937649319218874,0.0013782486473457034
78,SMURF,0.7842633531760672,0.48039194945795927
79,SONIC,22.962115425730794,1.11291743205566e-05
80,SPRING,3.302597458139057,0.06921802782165509
81,STITCH,8.45694446626324,0.007081377076841422
82,SUBMARINE,3.570891583951805,0.06756472503370736
83,SUMMER,224.66722586381337,1.953659456432888e-12
84,SUNFLOWER,17.745300489868647,0.00019224613024426684
85,SUNRISE,0.38247067193477524,0.6878974820072664
86,SUNSET,10.267381529625085,0.003767274173144264
87,THUNDERBOLT,37.6697364962138,2.3205586316965565e-06
88,TIGER,14.872755631857437,0.00027546306953374344
89,TILE,29.727567503855223,1.9769724100004993e-06
90,TOAD,56.16309576024189,2.0532528155481344e-07
91,TOMATO,5.93951898856763,0.02266700359132212
92,TOXIC,0.7875480679498158,0.47712260525353445
93,TRACTOR,65.54414253104397,1.788731795793197e-06
94,WHALE,9.996443326274072,0.0010809311432452562
95,WHEAT,25.213955824024065,2.287588310223576e-05
96,WINTER,18.639058544465634,0.00015193864790208345
97,WITCHCRAFT,5.391682757443843,0.01971765541006676
98,WOOD,177.20757513496818,4.1210368451061186e-12
99,ZUCCHINI,24.45598429487355,2.702485203809335e-05
