word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.15617012977600098
SALMON,G,11,225,146,123,0.15506809949874878
SALMON,G,10,227,147,113,0.15503782033920288
SALMON,F,10,220,130,98,0.15479862689971924
SALMON,E,10,215,114,90,0.15426144003868103
WHALE,M,25,86,163,179,0.12469899654388428
WHALE,P,30,79,151,171,0.12461183965206146
WHALE,O,29,75,143,168,0.124212846159935
WHALE,L,23,101,176,189,0.12420525401830673
WHALE,N,27,77,147,166,0.12405434250831604
GRIZZLY,B,1,115,71,37,0.1231517568230629
GRIZZLY,C,1,143,92,43,0.12259988486766815
GRIZZLY,A,1,82,48,27,0.12030291557312012
GRIZZLY,B,2,128,70,41,0.11745131015777588
GRIZZLY,A,2,90,47,30,0.11721396446228027
FLAMINGO,E,14,217,110,120,0.1541416198015213
FLAMINGO,D,14,207,88,104,0.15179543197155
FLAMINGO,E,15,214,104,131,0.15173134207725525
FLAMINGO,F,15,218,127,144,0.15167543292045593
FLAMINGO,G,15,222,144,155,0.15118408203125
FOX,D,7,211,99,50,0.13111360371112823
FOX,D,8,205,95,49,0.13009712100028992
FOX,E,6,213,114,50,0.12987478077411652
FOX,E,7,212,113,63,0.1296345293521881
FOX,D,6,202,97,45,0.1295100450515747
CRICKET,P,6,88,138,67,0.11826388537883759
CRICKET,P,7,81,133,67,0.11814092844724655
CRICKET,O,10,83,138,68,0.11793924868106842
CRICKET,P,5,96,142,67,0.1176779717206955
CRICKET,O,9,93,145,69,0.11746671795845032
CANARY,J,2,235,211,51,0.1872553527355194
CANARY,J,3,239,213,61,0.18723443150520325
CANARY,J,4,237,216,75,0.18566888570785522
CANARY,J,5,238,217,81,0.18532541394233704
CANARY,K,2,234,219,67,0.18512257933616638
PIG,G,14,220,142,135,0.117251455783844
PIG,F,14,217,130,129,0.11715446412563324
PIG,F,13,213,130,122,0.11605144292116165
PIG,G,13,221,143,129,0.11554240435361862
PIG,E,14,217,110,120,0.11519753932952881
TIGER,E,3,223,136,44,0.13055835664272308
TIGER,E,5,217,125,46,0.13007062673568726
TIGER,E,4,218,131,42,0.12961351871490479
TIGER,F,6,229,154,76,0.12949739396572113
TIGER,F,5,230,158,69,0.12901011109352112
LADYBUG,B,15,205,59,81,0.11566589772701263
LADYBUG,E,14,217,110,120,0.11558566987514496
LADYBUG,D,14,207,88,104,0.11526806652545929
LADYBUG,A,16,201,57,74,0.11450952291488647
LADYBUG,C,14,200,66,84,0.11449871957302094
FROG,M,12,124,172,97,0.1335735321044922
FROG,O,8,97,147,69,0.13352546095848083
FROG,M,13,122,170,101,0.13345517218112946
FROG,N,11,100,157,71,0.13344430923461914
FROG,O,7,106,155,70,0.1333722174167633
AXOLOTL,E,14,217,110,120,0.1266939640045166
AXOLOTL,F,14,217,130,129,0.12660256028175354
AXOLOTL,E,13,211,112,112,0.12607905268669128
AXOLOTL,G,14,220,142,135,0.12595239281654358
AXOLOTL,G,15,222,144,155,0.12541034817695618
TOAD,L,13,145,178,120,0.10583602637052536
TOAD,L,14,141,180,124,0.10546128451824188
TOAD,K,14,163,183,135,0.10492797940969467
TOAD,P,4,102,139,65,0.10477598011493683
TOAD,M,15,119,172,112,0.10459750890731812
LEMON,K,4,235,222,79,0.1858239471912384
LEMON,K,2,234,219,67,0.18556591868400574
