,Words,Stat,p-value
0,AMBER,1.0714077024784507,0.37572796787069485
1,AMETHYST,1.9992361471476434,0.16787471784382357
2,APPLE,4.474491061670848,0.03144504757950939
3,ASPARAGUS,13.388202697768499,0.0014864613090184164
4,AUTUMN,0.1369784111648669,0.8735973720905138
5,AXOLOTL,0.6076989023502375,0.5574775552247255
6,BANANA,2.753522689061648,0.09807442939007294
7,BARBIE,0.41720083220805215,0.6680880680720398
8,BASIL,7.41585596991964,0.0038953972731852193
9,BEET,0.77163648650172,0.4809488939053379
10,BLAS (Y EPI),95.13331348942998,8.843735187502588e-07
11,BLOOD,4.340640483937994,0.031190209602600327
12,BRICK,0.3838460933556397,0.686992738928292
13,BRUSH,85.92398665218927,1.9326977362954523e-07
14,CANARY,9.319040032724155,0.004290267784914592
15,CARNATION,0.5939274776760566,0.5616038083670652
16,COCONUT,12.30525249842637,0.0005805675274037636
17,COOKIE MONSTER,3.716970356938535,0.06209007380490483
18,CORAL,3.8339065136239068,0.04101594689576127
19,CRICKET,1.6299608022470704,0.2310066691794581
20,CUCUMBER,9.31165985911958,0.0023489837697752147
21,DANGER,17.456897975634504,0.0055541477543318285
22,DISGUST,0.9803409918839319,0.3966224341661607
23,ECOLOGY,32.407721859981145,4.2662246420577254e-05
24,EGG,2.3762711716695737,0.12926327838126017
25,EGGPLANT,2.4344814091325135,0.14285431570063045
26,ELMO,2.641242029239732,0.11566344655237881
27,EMERALD,16.917112637815688,0.00018396069352211164
28,EPI (Y BLAS),16.23498005151646,0.001526964157574251
29,FEMINISM,0.148734200227657,0.8633625068316938
30,FIRE,0.29302024565630247,0.7501807947527552
31,FLAMINGO,0.43588849644377614,0.6584113717824478
32,FLASH,11.052461967972413,0.0018975138945703796
33,FOX,1.257598273971047,0.31674477487398267
34,FROG,2.03474715965722,0.16134513557248142
35,GOLD,7.3034811514298426,0.0047605756783623
36,GRAPE,2.3198834137839195,0.14067083287709337
37,GRASS,0.34684488255528534,0.7112984023477857
38,GRINCH,0.39181608072198687,0.6857639856610882
39,GRIZZLY,2.631584683530426,0.10480430796622509
40,HAPINESS,121.76853250881867,3.812027249416872e-09
41,HOPE,53.342047019242834,4.722240343202344e-08
42,HULK,1.4320444435461135,0.2768584058388076
43,HURRICANE,3.6876604758483116,0.0498212811579537
44,JADE,1.3399240274810142,0.2897164446514906
45,KIWI,0.5958862614145293,0.5695156046161074
46,LADYBUG,3.1089131398462797,0.07880505544252137
47,LAPIS LAZULI,1.6807547627887487,0.2127642187048011
48,LAVENDER,0.1700072492308246,0.8449279048717031
49,LEMON,2.292939513786208,0.13759875590117965
50,LIME,2.0488572469885087,0.17524600338724472
51,LONELINESS,0.2330188331233502,0.7953768164509344
52,MALLOW,5.249457532820668,0.025082381928700936
53,MINT,16.71700703158428,5.396621415010294e-05
54,MOSS,0.26539149964249514,0.7712909243479764
55,MUD,0.38049873326869105,0.6914801883139856
56,PEACE,14.582272606886127,0.00037757746231070755
57,PEACH,4.0336526681752165,0.039646783620789994
58,PEARL,21.37439232014592,1.0820486095797222e-05
59,PETER PAN,4.698314130081864,0.03350338395577446
60,PIG,0.8883678808698574,0.4295809629903101
61,PIKACHU,1.2492825193028658,0.3278681480513559
62,POND,2.0037342634025723,0.1743708547088635
63,POPPY,1.1943367217723884,0.32580055196139646
64,PUMPKIN,1.3448512440354052,0.29717308710963186
65,RAGE,105.55719266948115,1.4562065997481e-09
66,RELAX,25.247854828726496,1.5815686644549132e-05
67,RUBY,1.5370275521869128,0.24345426090111988
68,SADNESS,0.7189972767832831,0.516227407592624
69,SALMON,4.2281675779658,0.034973029542045286
70,SAND,5.854109363396576,0.01163490219620178
71,SAPPHIRE,2.9103639099796768,0.09025995202318526
72,SEA,6.959262627100252,0.008816548065838092
73,SHAME,0.2212466990762691,0.803930400945285
74,SHRECK,11.491189665481489,0.0033265405943754267
75,SIMPSON,2.6431067050998216,0.10391470723986407
76,SKIN,1.2839266717156013,0.31539041826706926
77,SKY,1.5460099211139455,0.24736743824457808
78,SMURF,5.632030119267117,0.02069358533612653
79,SONIC,20.627864939710125,2.2023147064564874e-05
80,SPRING,5.147158032866856,0.02256872501772489
81,STITCH,4.86759796728174,0.03340356254222587
82,SUBMARINE,18.88584207797798,0.00040192705280017726
83,SUMMER,29.13813868188542,4.636164389504316e-06
84,SUNFLOWER,20.064395479639124,0.00010616643305372264
85,SUNRISE,3.285501372799619,0.062173073186042815
86,SUNSET,4.816220688101773,0.03428691837474629
87,THUNDERBOLT,146.0122672720165,4.1937497918809186e-10
88,TIGER,0.8289979660935023,0.4555266660550271
89,TILE,31.0043514277386,1.476445705361762e-06
90,TOAD,6.641750594196833,0.009366892655734427
91,TOMATO,4.657458681239538,0.040876053315078265
92,TOXIC,3.795688720762575,0.052807747863410026
93,TRACTOR,5.422165029219954,0.025413254937838747
94,WHALE,3.2383556206190804,0.06163072040394679
95,WHEAT,5.326266818482537,0.019048699444540573
96,WINTER,0.867055263377047,0.44312503637507594
97,WITCHCRAFT,0.9832519793445789,0.40026666086897045
98,WOOD,28.460790633628555,3.7519774591654453e-06
99,ZUCCHINI,3.6985811955676793,0.051333747580019295
