word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,9,212,109,77,0.27323079109191895
SALMON,D,9,206,89,63,0.2725331783294678
SALMON,E,10,215,114,90,0.2706274390220642
SALMON,F,10,220,130,98,0.269539475440979
SALMON,E,8,211,105,66,0.2690800726413727
WHALE,J,27,77,95,143,0.2363562136888504
WHALE,O,29,75,143,168,0.2361067235469818
WHALE,N,27,77,147,166,0.2357306033372879
WHALE,P,30,79,151,171,0.23563189804553986
WHALE,O,28,80,153,163,0.23518720269203186
GRIZZLY,A,2,90,47,30,0.24713999032974243
GRIZZLY,A,3,99,43,32,0.24700196087360382
GRIZZLY,A,4,109,44,35,0.24606111645698547
GRIZZLY,A,1,82,48,27,0.2439635545015335
GRIZZLY,A,5,124,45,38,0.2418346107006073
FLAMINGO,D,16,207,85,124,0.27366095781326294
FLAMINGO,C,16,209,65,110,0.2721449136734009
FLAMINGO,E,15,214,104,131,0.2719448208808899
FLAMINGO,D,15,206,85,112,0.2717885673046112
FLAMINGO,C,15,207,67,99,0.2716487646102905
FOX,C,8,205,72,45,0.22900749742984772
FOX,C,9,210,75,50,0.22887159883975983
FOX,D,7,211,99,50,0.2283783257007599
FOX,C,7,199,74,46,0.22809971868991852
FOX,D,8,205,95,49,0.2280024141073227
CRICKET,P,10,65,118,66,0.23526540398597717
CRICKET,P,8,77,130,68,0.23474714159965515
CRICKET,P,9,70,126,68,0.23473790287971497
CRICKET,P,11,63,120,66,0.23458683490753174
CRICKET,P,7,81,133,67,0.23431678116321564
CANARY,J,1,224,203,44,0.2583876848220825
CANARY,I,1,225,191,32,0.2583196759223938
CANARY,L,1,229,216,45,0.25783205032348633
CANARY,I,3,235,197,59,0.25764110684394836
CANARY,I,2,235,196,46,0.257571280002594
PIG,E,15,214,104,131,0.23355738818645477
PIG,G,15,222,144,155,0.23344947397708893
PIG,F,15,218,127,144,0.23315557837486267
PIG,E,16,205,110,140,0.23247690498828888
PIG,D,16,207,85,124,0.2322845458984375
TIGER,E,6,213,114,50,0.23835696280002594
TIGER,D,7,211,99,50,0.23676525056362152
TIGER,D,6,202,97,45,0.23580458760261536
TIGER,D,8,205,95,49,0.2353443205356598
