word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.024483662098646164
SALMON,E,10,215,114,90,0.02424604445695877
SALMON,G,11,225,146,123,0.022631874307990074
SALMON,F,10,220,130,98,0.02218441665172577
SALMON,G,10,227,147,113,0.022075451910495758
WHALE,I,18,191,193,194,0.016587838530540466
WHALE,K,29,68,88,139,0.010589126497507095
WHALE,J,28,70,87,138,0.010337460786104202
WHALE,K,30,65,82,135,0.010227436199784279
WHALE,K,28,68,91,135,0.010182294994592667
GRIZZLY,C,1,143,92,43,0.05901681259274483
GRIZZLY,B,1,115,71,37,0.05726230517029762
GRIZZLY,C,2,150,87,44,0.05455002561211586
GRIZZLY,B,2,128,70,41,0.050663240253925323
GRIZZLY,C,3,164,89,46,0.049620211124420166
FLAMINGO,B,16,207,57,93,0.06035459414124489
FLAMINGO,B,17,207,55,102,0.06006501242518425
FLAMINGO,C,16,209,65,110,0.05914139747619629
FLAMINGO,C,15,207,67,99,0.05887432023882866
FLAMINGO,A,17,197,53,86,0.057938069105148315
FOX,D,3,191,112,45,0.03680940344929695
FOX,D,5,200,104,46,0.03534647077322006
FOX,D,4,202,115,45,0.03533908352255821
FOX,D,2,188,118,47,0.03454408049583435
FOX,C,3,164,89,46,0.03408675640821457
CRICKET,N,1,180,193,51,0.02773810550570488
CRICKET,N,3,170,189,58,0.02764970250427723
CRICKET,N,4,161,186,60,0.027340631932020187
CRICKET,N,2,178,191,54,0.027338307350873947
CRICKET,N,5,154,184,62,0.026959016919136047
CANARY,M,1,211,207,48,0.08774219453334808
CANARY,L,1,229,216,45,0.08729196339845657
CANARY,L,2,228,217,53,0.08710305392742157
CANARY,M,2,208,206,51,0.08684447407722473
CANARY,L,4,223,217,68,0.08673640340566635
PIG,H,14,222,163,143,0.008515674620866776
PIG,H,13,224,161,135,0.007762620225548744
PIG,H,12,227,160,127,0.004922954365611076
PIG,G,13,221,143,129,0.004722531884908676
PIG,G,12,223,145,126,0.004721004515886307
TIGER,D,3,191,112,45,0.026463951915502548
TIGER,D,4,202,115,45,0.025891616940498352
TIGER,D,2,188,118,47,0.025027679279446602
TIGER,D,5,200,104,46,0.024403907358646393
TIGER,E,4,218,131,42,0.024219557642936707
LADYBUG,N,5,154,184,62,0.04652203619480133
LADYBUG,N,6,147,183,68,0.04616780951619148
LADYBUG,N,4,161,186,60,0.04609363153576851
LADYBUG,M,8,158,189,81,0.04567684605717659
LADYBUG,I,18,191,193,194,0.04551130533218384
