,Words,Stat,p-value
0,AMBER,1.1387467212046216,0.35523949383141773
1,AMETHYST,1.3570732536994399,0.2854957583998188
2,APPLE,7.901952747878259,0.005046427128011621
3,ASPARAGUS,64.87233133575272,1.876393205257898e-06
4,AUTUMN,1.5419804844997413,0.2607977261174885
5,AXOLOTL,5.083340949277455,0.0206295495274329
6,BANANA,0.20498054913705116,0.8170649694528573
7,BARBIE,1.122430798908261,0.3573864414399909
8,BASIL,5.439865868537326,0.012988672559457681
9,BEET,0.9218095504045895,0.42064477562838765
10,BLAS (Y EPI),57.472986697255635,7.491096492007188e-06
11,BLOOD,1.182090248624446,0.33203773273779835
12,BRICK,0.4502280554970979,0.6448682665328287
13,BRUSH,7.7655502325837995,0.007888706810838308
14,CANARY,13.292555750567901,0.0011616428723472128
15,CARNATION,0.30263798447848705,0.7421908605160776
16,COCONUT,165.71748612739418,2.0228818620182665e-11
17,COOKIE MONSTER,3.2256924054736826,0.08298272556643671
18,CORAL,6.152676699913959,0.009199799672626185
19,CRICKET,2.3400222245569675,0.13281615784805778
20,CUCUMBER,22.141440890735023,3.339755253239929e-05
21,DANGER,0.13699038485236129,0.8751422598851537
22,DISGUST,2.8496932084545348,0.08737360034418618
23,ECOLOGY,22.46213973878864,0.00020006824302909454
24,EGG,3.7404962957020214,0.04994773886395287
25,EGGPLANT,2.736267067721018,0.11793444588541901
26,ELMO,0.019672159859338508,0.9805544889600489
27,EMERALD,2.1347100858208727,0.1551754098556175
28,EPI (Y BLAS),12.491392844125603,0.0034610718609444646
29,FEMINISM,23.754731322665073,6.723126826790882e-05
30,FIRE,1.3461163393134132,0.28994433336216674
31,FLAMINGO,16.074107151742297,0.000751803082723046
32,FLASH,1.8058657755411895,0.2062438595533258
33,FOX,69.40472790235367,1.1539564992446572e-07
34,FROG,7.6019522145382545,0.004381202574065379
35,GOLD,1.2532072913775878,0.3093463141147885
36,GRAPE,3.4608042993811905,0.06506375863450342
37,GRASS,7.497711504033612,0.003978001464928549
38,GRINCH,11.778643837938889,0.0023499885434612455
39,GRIZZLY,3.7520713982708056,0.04772169723381425
40,HAPINESS,143.5854481296142,1.373206992560938e-09
41,HOPE,4.821196516673888,0.02195044706227911
42,HULK,47.1820867479942,2.062126283730592e-06
43,HURRICANE,5.603256471491939,0.015227028600197756
44,JADE,0.7350936266343835,0.4949705746748785
45,KIWI,1.9498800816373345,0.19273627741581723
46,LADYBUG,4.68471101183371,0.029368098646155527
47,LAPIS LAZULI,5.886533957416506,0.010245582474434967
48,LAVENDER,1.1639642210057304,0.3335391341023284
49,LEMON,0.2150095112754262,0.8091479245191825
50,LIME,1.2015490453572661,0.3373115330307185
51,LONELINESS,0.5739380107638853,0.5769506869473331
52,MALLOW,4.895774439890903,0.03014963984901331
53,MINT,10.211935300506807,0.0008788626462471472
54,MOSS,19.575212994470235,0.00016672162962472203
55,MUD,3.005786366338148,0.08745359346900194
56,PEACE,0.7699399602223637,0.481684464546425
57,PEACH,12.975038943671752,0.0005355178506718516
58,PEARL,1.937668017468667,0.17013945158506982
59,PETER PAN,111.55707055075071,4.963724964390792e-08
60,PIG,6.250514737760314,0.009229961170782008
61,PIKACHU,6.5902315946890955,0.014941336655839743
62,POND,3.9491392348022645,0.04569971197728695
63,POPPY,0.10154420037603445,0.9039550644833529
64,PUMPKIN,0.37887528433655443,0.6925367669928524
65,RAGE,24.31624705873634,1.9637778071235346e-05
66,RELAX,0.9207247808706206,0.4196028464681295
67,RUBY,3.570365402119205,0.05075014873868555
68,SADNESS,1.9028349742071216,0.21086155169811527
69,SALMON,1.7287008922504175,0.21105964188523108
70,SAND,15.63325121784167,0.0001405485215794089
71,SAPPHIRE,0.643674847242145,0.541309819387405
72,SEA,5.22064736723831,0.02166463715474376
73,SHAME,4.609014952846107,0.026258542582320965
74,SHRECK,4.494801796217792,0.04430922165841866
75,SIMPSON,1.4933558452943243,0.25618054334793317
76,SKIN,26.578245528371383,6.135309172961012e-05
77,SKY,2.3461279090750353,0.13220997934426282
78,SMURF,0.38616766049741574,0.6885180602538198
79,SONIC,84.54852390675005,7.06073866041379e-10
80,SPRING,0.8126127942094847,0.46501296479086296
81,STITCH,5.869888170959545,0.020593238114724022
82,SUBMARINE,4.332499568976479,0.04414282558969895
83,SUMMER,305.191195178082,1.8118839761882555e-13
84,SUNFLOWER,0.6838879871793392,0.521914940847013
85,SUNRISE,1.7362149057652418,0.2060041690640404
86,SUNSET,10.677184754211446,0.0032999673214201275
87,THUNDERBOLT,4.7871325769834625,0.026051282103079165
88,TIGER,4.601679626871134,0.027645031514061058
89,TILE,22.102554871346186,1.4223877405017404e-05
90,TOAD,7.520453905744454,0.006050969063067346
91,TOMATO,6.159851361950075,0.020633653884235326
92,TOXIC,0.10435766209223876,0.9017116338161942
93,TRACTOR,125.94005362420475,8.11871786465801e-08
94,WHALE,7.035763081065108,0.00516825529793985
95,WHEAT,0.3770005015547554,0.6926719310504638
96,WINTER,3.9372600193490306,0.04603885866342783
97,WITCHCRAFT,33.64586404911394,7.248890776745398e-06
98,WOOD,36.155478629925184,7.518401343720171e-07
99,ZUCCHINI,23.279861353525515,3.528654229456585e-05
