,Words,Stat,p-value
0,AMBER,0.738718825696135,0.5000000204436208
1,AMETHYST,0.4944783011118215,0.618908155601706
2,APPLE,4.414101103658908,0.032628287041409854
3,ASPARAGUS,0.6919276207083456,0.5230620085659285
4,AUTUMN,33.22185852561264,3.830813580618653e-05
5,AXOLOTL,19.34383224878784,7.02466477568997e-05
6,BANANA,0.5987750485142646,0.5629647003912741
7,BARBIE,0.8701908652094935,0.4437053716286593
8,BASIL,1.6021493884090146,0.22626400436306793
9,BEET,0.7779747396259539,0.4782121229704175
10,BLAS (Y EPI),0.9769176436679542,0.4130887472647433
11,BLOOD,0.967068421493237,0.40134330930551054
12,BRICK,2.673382263410669,0.09783433183353007
13,BRUSH,44.099506935868625,5.58302170761138e-06
14,CANARY,7.9717461578012605,0.0072470856095023795
15,CARNATION,21.37286906627109,1.082574093846933e-05
16,COCONUT,445.42317979082276,9.43689570931383e-15
17,COOKIE MONSTER,3.3566798176530983,0.07667984180250131
18,CORAL,1.449660047087973,0.2607733023402954
19,CRICKET,1.8021884583848053,0.2011646383870045
20,CUCUMBER,1.394924176293926,0.27822272367730316
21,DANGER,1704.2755802269937,8.211244240108329e-08
22,DISGUST,0.8928813033595439,0.42892358837398203
23,ECOLOGY,365.65299379072275,4.4669645760109233e-10
24,EGG,5.102246532375903,0.021658297295970574
25,EGGPLANT,1.2249397087127565,0.33844428424387507
26,ELMO,2.8834299412083837,0.09844082068753612
27,EMERALD,3.192299944325915,0.07207437902963754
28,EPI (Y BLAS),0.8255961278310856,0.47210226043628756
29,FEMINISM,15.283182859929154,0.000501981883646474
30,FIRE,4.04593729441213,0.03933150062332247
31,FLAMINGO,0.9555482402979874,0.41710105434324873
32,FLASH,2.3386947825614612,0.1387774921975382
33,FOX,1.3470371567027273,0.29400161044027007
34,FROG,2.4678262388887853,0.11456081555982478
35,GOLD,2.853443340443056,0.08386520867671388
36,GRAPE,4.267347204150032,0.039825204189501084
37,GRASS,5.267584832017994,0.0151333209967206
38,GRINCH,1.0900981164683836,0.3730169562775647
39,GRIZZLY,10.081821679400415,0.0016787284207299136
40,HAPINESS,1023.9674875212638,4.9960036108132044e-15
41,HOPE,39.49259546270717,4.0745518670171066e-07
42,HULK,12.470264913310931,0.0011750835745198973
43,HURRICANE,27.040920839585254,1.0603644031714765e-05
44,JADE,4.023518852178251,0.03841202356229112
45,KIWI,1.5965113275131153,0.2501949035820433
46,LADYBUG,0.1379370575834897,0.8724116834801177
47,LAPIS LAZULI,3.746935498962446,0.04248912076606148
48,LAVENDER,0.9300418896522498,0.4117719413492089
49,LEMON,0.7792783322818501,0.47765145868120396
50,LIME,0.6207275384201275,0.5553643921428015
51,LONELINESS,1.0178491439991197,0.3884439612692624
52,MALLOW,0.8997840029626435,0.43459582657648543
53,MINT,17.554303621018242,3.9637440589657125e-05
54,MOSS,9.604849419091472,0.0032310970950387707
55,MUD,24.497063838745948,5.799083060020749e-05
56,PEACE,7.620419472087921,0.0057672323498259015
57,PEACH,6.056519546585407,0.011799074436874779
58,PEARL,5.443191626538938,0.012960727983866271
59,PETER PAN,281.88660315467433,3.5516400931356884e-10
60,PIG,16.7057611049081,9.712084098856266e-05
61,PIKACHU,0.4793784354426315,0.6326937447232552
62,POND,4.736404086548816,0.028500931183309763
63,POPPY,0.6624388142478294,0.5277178366485678
64,PUMPKIN,2.1550262250344043,0.15861904484907707
65,RAGE,168.35541436035624,5.300193617330251e-11
66,RELAX,1.234945009382781,0.3187925481825511
67,RUBY,3.600110198784753,0.049699452132982214
68,SADNESS,0.18942794165664634,0.8310383497933083
69,SALMON,54.315238053525775,1.3481644778323698e-07
70,SAND,93.69666974066585,6.60463128632216e-10
71,SAPPHIRE,2.5522315859295324,0.11615156171168195
72,SEA,1.5577776581464098,0.24747851490306272
73,SHAME,6.993548805708007,0.006568775125529114
74,SHRECK,9.177782693785764,0.006720253625825623
75,SIMPSON,0.39423399927221187,0.680980238232809
76,SKIN,3.2842941441854987,0.07613897190555607
77,SKY,1369.4178333885798,1.1102230246251565e-16
78,SMURF,7.095659759798548,0.010490102412168856
79,SONIC,2.1233981411245795,0.14860904546665243
80,SPRING,2.88902296910067,0.09160184231329338
81,STITCH,3.5941570423432707,0.06665513232531062
82,SUBMARINE,1.995720945296551,0.18650377834510312
83,SUMMER,2.021689901480536,0.1648892008258771
84,SUNFLOWER,6.669968039532157,0.010153975974514617
85,SUNRISE,4.541814819776881,0.02628376761695328
86,SUNSET,2.7415835655841616,0.11238309576442906
87,THUNDERBOLT,12.989865966615683,0.0006456796591188807
88,TIGER,0.42483187100610637,0.6615063938050313
89,TILE,73.74117057944807,2.1315113007958075e-09
90,TOAD,613.1228973030037,2.3314683517128287e-14
91,TOMATO,11.504080736911614,0.003314499903133372
92,TOXIC,4.725095404275452,0.03065494333328822
93,TRACTOR,40.76981619891403,1.5558014777594664e-05
94,WHALE,1.419166542145328,0.2664244605174704
95,WHEAT,0.5064878401018105,0.6132376097518357
96,WINTER,24.90917367252661,3.57330014657542e-05
97,WITCHCRAFT,47.354332842317376,1.0739958229422086e-06
98,WOOD,29.535263832894106,2.940872438461639e-06
99,ZUCCHINI,2.095070999610934,0.15997187102460464
