word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,C,10,213,78,66,0.24922502040863037
SALMON,C,11,211,78,73,0.24618935585021973
SALMON,C,12,210,78,76,0.2440095841884613
SALMON,B,11,207,67,54,0.2433719038963318
SALMON,C,9,210,75,50,0.2432067096233368
WHALE,M,30,67,101,147,0.26361411809921265
WHALE,L,28,74,106,150,0.2617303431034088
WHALE,K,27,77,109,149,0.2613773047924042
WHALE,M,29,72,113,155,0.2597039043903351
WHALE,N,30,69,114,155,0.25805729627609253
GRIZZLY,A,14,203,57,56,0.22851401567459106
GRIZZLY,A,10,205,61,45,0.22665870189666748
GRIZZLY,A,11,205,61,45,0.22665870189666748
GRIZZLY,B,12,209,65,59,0.22664697468280792
GRIZZLY,A,13,194,54,46,0.22644579410552979
FLAMINGO,C,13,207,75,83,0.2579647898674011
FLAMINGO,B,15,205,59,81,0.25758159160614014
FLAMINGO,C,15,207,67,99,0.25684309005737305
FLAMINGO,B,16,207,57,93,0.25678884983062744
FLAMINGO,C,12,210,78,76,0.2557755708694458
FOX,D,7,211,99,50,0.20339098572731018
FOX,D,6,202,97,45,0.20303453505039215
FOX,D,8,205,95,49,0.20157615840435028
FOX,E,6,213,114,50,0.20007915794849396
FOX,D,5,200,104,46,0.197847381234169
CRICKET,P,19,87,157,85,0.23284399509429932
CRICKET,N,20,104,176,110,0.2325330376625061
CRICKET,O,18,94,161,93,0.23247241973876953
CRICKET,P,20,91,158,90,0.2323930561542511
CRICKET,P,21,92,158,95,0.2319369614124298
CANARY,L,1,229,216,45,0.25944334268569946
CANARY,L,2,228,217,53,0.2585134208202362
CANARY,K,2,234,219,67,0.2582263648509979
CANARY,K,4,235,222,79,0.2576138973236084
CANARY,K,3,234,219,71,0.25733664631843567
PIG,A,15,205,59,66,0.20184510946273804
PIG,A,16,201,57,74,0.2011350393295288
PIG,B,13,201,60,63,0.20083822309970856
PIG,B,14,196,58,67,0.2007453292608261
PIG,A,14,203,57,56,0.20034576952457428
TIGER,E,3,223,136,44,0.2484627068042755
TIGER,D,7,211,99,50,0.24801692366600037
TIGER,E,4,218,131,42,0.24791154265403748
TIGER,E,6,213,114,50,0.24740591645240784
TIGER,E,5,217,125,46,0.24730326235294342
LADYBUG,B,12,209,65,59,0.22992092370986938
LADYBUG,B,11,207,67,54,0.22800837457180023
LADYBUG,A,15,205,59,66,0.22788360714912415
LADYBUG,A,10,205,61,45,0.22745808959007263
LADYBUG,A,11,205,61,45,0.22745808959007263
FROG,P,17,81,153,68,0.24965810775756836
FROG,P,16,78,152,70,0.24904897809028625
FROG,O,14,77,150,66,0.24902385473251343
FROG,O,15,81,153,73,0.24889443814754486
FROG,P,18,83,155,77,0.24856305122375488
AXOLOTL,P,10,65,118,66,0.24613797664642334
AXOLOTL,P,11,63,120,66,0.24115288257598877
AXOLOTL,P,9,70,126,68,0.2406478226184845
AXOLOTL,P,12,67,127,70,0.2391180694103241
AXOLOTL,P,8,77,130,68,0.23755651712417603
TOAD,M,30,67,101,147,0.23172664642333984
TOAD,L,28,74,106,150,0.2297268956899643
TOAD,K,27,77,109,149,0.22825874388217926
TOAD,K,28,68,91,135,0.22697076201438904
TOAD,L,27,77,112,147,0.22663719952106476
LEMON,K,4,235,222,79,0.2830682396888733
LEMON,K,2,234,219,67,0.28209468722343445
LEMON,K,3,234,219,71,0.28176647424697876
LEMON,K,5,230,221,85,0.2815292477607727
LEMON,L,2,228,217,53,0.2814909815788269
LIME,N,5,154,184,62,0.3227081298828125
LIME,N,6,147,183,68,0.32252657413482666
LIME,M,7,171,194,77,0.322340190410614
LIME,N,4,161,186,60,0.3223242163658142
LIME,M,6,182,198,73,0.32221436500549316
KIWI,N,7,130,175,68,0.27724388241767883
KIWI,N,6,147,183,68,0.27713197469711304
KIWI,N,5,154,184,62,0.2771221995353699
KIWI,N,8,126,173,68,0.27708426117897034
KIWI,N,4,161,186,60,0.2768799662590027
PUMPKIN,E,4,218,131,42,0.288079172372818
PUMPKIN,E,3,223,136,44,0.2867366671562195
PUMPKIN,E,2,217,140,41,0.2855692505836487
PUMPKIN,E,5,217,125,46,0.28465157747268677
PUMPKIN,D,4,202,115,45,0.2820884585380554
ZUCCHINI,P,12,67,127,70,0.22349074482917786
ZUCCHINI,P,10,65,118,66,0.22300580143928528
ZUCCHINI,P,11,63,120,66,0.22292105853557587
ZUCCHINI,P,9,70,126,68,0.22252467274665833
ZUCCHINI,P,13,70,136,71,0.22104766964912415
GRAPE,A,25,131,58,113,0.3215903639793396
GRAPE,A,24,142,61,120,0.32100701332092285
GRAPE,B,24,137,65,122,0.3209039270877838
GRAPE,B,25,130,64,121,0.3204609155654907
GRAPE,C,23,139,71,124,0.3201720714569092
CUCUMBER,P,20,91,158,90,0.22393639385700226
CUCUMBER,P,19,87,157,85,0.22393016517162323
CUCUMBER,O,18,94,161,93,0.22391760349273682
CUCUMBER,P,21,92,158,95,0.22364364564418793
CUCUMBER,N,14,91,158,86,0.2236226499080658
COCONUT,M,30,67,101,147,0.24239805340766907
COCONUT,L,28,74,106,150,0.24145665764808655
COCONUT,K,27,77,109,149,0.23889164626598358
COCONUT,M,29,72,113,155,0.23749114573001862
COCONUT,K,26,85,118,157,0.23694419860839844
EGGPLANT,D,28,91,56,119,0.239261656999588
EGGPLANT,C,30,85,50,118,0.23920747637748718
EGGPLANT,B,30,94,58,120,0.23902973532676697
EGGPLANT,D,29,82,52,118,0.23891423642635345
EGGPLANT,C,29,95,58,123,0.2388865202665329
ASPARAGUS,P,20,91,158,90,0.23337778449058533
ASPARAGUS,N,14,91,158,86,0.2332753688097
ASPARAGUS,O,17,91,158,86,0.2332753688097
ASPARAGUS,P,21,92,158,95,0.2329888790845871
ASPARAGUS,P,19,87,157,85,0.23287278413772583
PEACH,H,10,235,159,109,0.2889922261238098
PEACH,F,11,223,134,112,0.2859610915184021
PEACH,G,11,225,146,123,0.28545278310775757
PEACH,G,10,227,147,113,0.28523704409599304
PEACH,G,12,223,145,126,0.28444892168045044
APPLE,A,10,205,61,45,0.23969203233718872
APPLE,A,11,205,61,45,0.23969203233718872
APPLE,A,12,195,57,41,0.2389296591281891
APPLE,B,9,202,63,44,0.238031268119812
APPLE,A,13,194,54,46,0.23758746683597565
EGG,I,2,235,196,46,0.21975716948509216
EGG,H,1,230,186,38,0.21973615884780884
EGG,H,2,237,188,52,0.21958637237548828
EGG,I,3,235,197,59,0.21949321031570435
EGG,I,4,238,198,69,0.21943119168281555
BANANA,J,3,239,213,61,0.2532811164855957
BANANA,J,2,235,211,51,0.25187984108924866
BANANA,K,4,235,222,79,0.25125110149383545
BANANA,K,2,234,219,67,0.2511679530143738
BANANA,J,4,237,216,75,0.2508774399757385
TOMATO,C,11,211,78,73,0.2756732106208801
TOMATO,C,10,213,78,66,0.2752799689769745
TOMATO,C,12,210,78,76,0.2751045525074005
TOMATO,B,11,207,67,54,0.2743396461009979
TOMATO,B,12,209,65,59,0.27398279309272766
BEET,A,20,175,49,110,0.2711179852485657
BEET,A,19,184,48,108,0.27074870467185974
BEET,A,21,168,55,115,0.2706860899925232
BEET,B,19,190,61,118,0.2705315351486206
BEET,B,20,179,66,121,0.27020126581192017
PEARL,E,16,205,110,140,0.24205705523490906
PEARL,F,15,218,127,144,0.24189990758895874
PEARL,E,15,214,104,131,0.2417069971561432
PEARL,L,27,77,112,147,0.24168100953102112
PEARL,K,25,95,135,166,0.24067999422550201
AMETHYST,G,25,94,81,128,0.26674723625183105
AMETHYST,G,24,108,89,137,0.26583147048950195
AMETHYST,G,26,85,77,131,0.26487070322036743
AMETHYST,F,24,112,82,132,0.26450833678245544
AMETHYST,G,23,118,98,141,0.2642446756362915
SAPPHIRE,I,29,62,71,129,0.29689931869506836
SAPPHIRE,H,27,76,80,134,0.2963522970676422
SAPPHIRE,J,30,59,68,123,0.2962174415588379
SAPPHIRE,H,28,68,72,131,0.2952331006526947
SAPPHIRE,H,29,59,64,124,0.29429277777671814
GOLD,F,1,220,158,32,0.2438681572675705
GOLD,E,1,203,141,42,0.24357576668262482
GOLD,G,1,221,168,33,0.24350209534168243
GOLD,F,2,230,162,42,0.23377959430217743
GOLD,G,2,233,174,50,0.23330886662006378
RUBY,B,16,207,57,93,0.2989922761917114
RUBY,C,15,207,67,99,0.2983352839946747
RUBY,B,15,205,59,81,0.2979385554790497
RUBY,A,17,197,53,86,0.29789644479751587
RUBY,C,16,209,65,110,0.29706865549087524
JADE,H,25,90,92,138,0.2910692095756531
JADE,H,24,105,103,145,0.28955256938934326
JADE,H,26,84,86,138,0.2891821265220642
JADE,L,28,74,106,150,0.28809624910354614
