,Words,Stat,p-value
0,AMBER,1.8370003838661753,0.20494758838028015
1,AMETHYST,0.8720806540764209,0.4370348261018244
2,APPLE,37.18810593255048,2.5035056436806258e-06
3,ASPARAGUS,12.147233263479718,0.002108044344794724
4,AUTUMN,10.71638845667456,0.003259014170080121
5,AXOLOTL,9.420292419584984,0.0022382082540971515
6,BANANA,7.212669181812444,0.007030023039959921
7,BARBIE,11.61438341530272,0.0015620784084066086
8,BASIL,4.455566319311391,0.025098565196047806
9,BEET,0.7799904743915277,0.4773454896353474
10,BLAS (Y EPI),1.2741009647451078,0.3256691576198987
11,BLOOD,0.4193399595996006,0.6645008303494968
12,BRICK,0.14335702105444803,0.8674811056266462
13,BRUSH,15.504967291362298,0.0006298305748282385
14,CANARY,10.035686752010166,0.0033088515612675895
15,CARNATION,0.16402706804316214,0.849849200942096
16,COCONUT,37.45352082775769,9.208304276864254e-07
17,COOKIE MONSTER,0.3667798270054666,0.7019095129356274
18,CORAL,3.485459150446425,0.052546273532147914
19,CRICKET,11.992987286598702,0.0009237050912218603
20,CUCUMBER,19.240185199569257,7.231466761215e-05
21,DANGER,1.5487997366425912,0.2995948071814515
22,DISGUST,0.23543487076032593,0.7929167646922495
23,ECOLOGY,10.040891682203572,0.004059589338838654
24,EGG,1.8302425334031482,0.196733290056328
25,EGGPLANT,1.779400474490449,0.22326697866747203
26,ELMO,4.3367366004651275,0.040861476838108146
27,EMERALD,13.026849756633132,0.0006373790757675524
28,EPI (Y BLAS),4.909963134151942,0.04061966495695635
29,FEMINISM,12.182527137551281,0.0012911658643359747
30,FIRE,1.1903540698422836,0.3312672034271069
31,FLAMINGO,12.81605055365328,0.0017409762231511694
32,FLASH,2.0335994338009384,0.17355872928576033
33,FOX,1.6860191414079237,0.22333865959985177
34,FROG,8.097282315428023,0.003386464502367459
35,GOLD,6.610841163414439,0.007036324189406695
36,GRAPE,1.2090148336556468,0.3323930904397603
37,GRASS,30.42369609595651,1.193114738340384e-06
38,GRINCH,35.12625256769008,3.00404898129214e-05
39,GRIZZLY,21.13554022876447,4.326822899780591e-05
40,HAPINESS,73.67721904073478,8.08361073634245e-08
41,HOPE,24.888616464217936,8.901726967769363e-06
42,HULK,32.102445949906624,1.524720951884273e-05
43,HURRICANE,4.816002633665695,0.02423461792557613
44,JADE,1.1212469999215715,0.3501758283055202
45,KIWI,16.40390124396964,0.0006956412537738599
46,LADYBUG,4.008620094663532,0.04404431109180973
47,LAPIS LAZULI,4.519871765672377,0.02479167429510709
48,LAVENDER,1.5699392941528463,0.23388074958414418
49,LEMON,9.38027396440629,0.002602784141003567
50,LIME,3.1212930722482013,0.08440079629694697
51,LONELINESS,2.04918737721401,0.16843230232421735
52,MALLOW,4.051722564035444,0.048033633980663404
53,MINT,12.547277139197027,0.0002944821465690195
54,MOSS,61.24285524698756,5.046968870603408e-07
55,MUD,29.276452157906412,2.421018449050294e-05
56,PEACE,0.6755191794181967,0.5247252358913346
57,PEACH,13.79471391505907,0.0003989522338972984
58,PEARL,1.6841148211454606,0.21088312963340994
59,PETER PAN,124.60686716319849,2.7755150400210482e-08
60,PIG,5.567808086953345,0.013808171446355932
61,PIKACHU,14.097361303123483,0.0012302211770435223
62,POND,16.393991841802595,0.00027909169544981793
63,POPPY,0.131853823763407,0.8773078714577296
64,PUMPKIN,20.19857397188667,0.00014429177847652408
65,RAGE,5.589215901139646,0.015349959745627029
66,RELAX,4.98842965476948,0.021834876324101526
67,RUBY,0.8247324473630553,0.4551469559688801
68,SADNESS,9.563157773268212,0.007564787109347937
69,SALMON,2.55890490894167,0.11061886699815682
70,SAND,12.451536756348288,0.0004674399874781132
71,SAPPHIRE,0.8072809232613888,0.4672228706306192
72,SEA,13.187264496746272,0.0007442723308425103
73,SHAME,0.3382545197438609,0.7179905290895894
74,SHRECK,1.1398207830959497,0.3620449097316365
75,SIMPSON,6.458757489963154,0.009475644505829384
76,SKIN,4.857712131225876,0.03076406290656486
77,SKY,4.296175157979446,0.03508862537596824
78,SMURF,0.7172278037558253,0.509580146501827
79,SONIC,4.510067412437112,0.025838359731381932
80,SPRING,4.528282519312877,0.0321836708049037
81,STITCH,43.047649708612134,1.2203636929553063e-05
82,SUBMARINE,2.4861636455705547,0.13290870897530338
83,SUMMER,14.555339403843556,0.00025045226482178773
84,SUNFLOWER,0.8717810061442994,0.4412818394509581
85,SUNRISE,2.926549611284351,0.08086906785482839
86,SUNSET,7.370569124358894,0.010787023373802773
87,THUNDERBOLT,18.06334973324663,0.00013255999533523521
88,TIGER,8.226972682058193,0.003873655391374853
89,TILE,0.8110508724498867,0.4599841173019309
90,TOAD,78.88745758526608,2.3887904321284736e-08
91,TOMATO,9.920124555278296,0.005297802446024957
92,TOXIC,0.4975971814021438,0.6199987298421241
93,TRACTOR,1.8332019284333931,0.2097629334317308
94,WHALE,44.868539622483105,6.347042513787926e-08
95,WHEAT,27.390637001270697,1.4474538948761051e-05
96,WINTER,11.585674796330153,0.0012919959582605722
97,WITCHCRAFT,28.144804750507088,1.8892483453436526e-05
98,WOOD,302.3763101618388,5.162537064506978e-14
99,ZUCCHINI,42.0617851051183,1.2036018839367557e-06
