word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.03201732784509659
SALMON,F,11,223,134,112,0.031544964760541916
SALMON,F,10,220,130,98,0.03147511184215546
SALMON,G,10,227,147,113,0.03044142574071884
SALMON,G,11,225,146,123,0.030338937416672707
WHALE,N,26,82,161,166,-0.016993626952171326
WHALE,M,24,93,172,174,-0.017023582011461258
WHALE,P,29,82,157,165,-0.017406385391950607
WHALE,O,28,80,153,163,-0.01767907105386257
WHALE,L,22,112,177,179,-0.017761748284101486
GRIZZLY,C,1,143,92,43,0.011077011935412884
GRIZZLY,B,1,115,71,37,0.009219937957823277
GRIZZLY,D,1,175,118,47,0.006888621486723423
GRIZZLY,C,2,150,87,44,0.006499552167952061
GRIZZLY,B,2,128,70,41,0.004956564866006374
FLAMINGO,E,15,214,104,131,0.043758925050497055
FLAMINGO,D,16,207,85,124,0.04344030097126961
FLAMINGO,C,16,209,65,110,0.04276621714234352
FLAMINGO,C,17,204,68,122,0.04203574359416962
FLAMINGO,D,15,206,85,112,0.04171562194824219
FOX,D,6,202,97,45,-0.0014575757086277008
FOX,D,8,205,95,49,-0.0016155848279595375
FOX,D,7,211,99,50,-0.0018098168075084686
FOX,D,5,200,104,46,-0.0018753851763904095
FOX,D,4,202,115,45,-0.002814048435539007
CRICKET,N,6,147,183,68,0.008007649332284927
CRICKET,N,5,154,184,62,0.007575083523988724
CRICKET,N,7,130,175,68,0.007409054785966873
CRICKET,M,8,158,189,81,0.00723159359768033
CRICKET,N,8,126,173,68,0.007117764092981815
CANARY,K,5,230,221,85,0.04677557572722435
CANARY,L,5,226,214,80,0.04632777348160744
CANARY,K,4,235,222,79,0.04624643921852112
CANARY,K,6,227,220,95,0.04615532234311104
CANARY,K,3,234,219,71,0.04571042209863663
PIG,E,15,214,104,131,-0.01613786071538925
PIG,F,15,218,127,144,-0.01626598834991455
PIG,G,15,222,144,155,-0.016373760998249054
PIG,E,16,205,110,140,-0.016762681305408478
PIG,D,16,207,85,124,-0.016841009259223938
TIGER,E,4,218,131,42,-0.0020569295156747103
TIGER,E,3,223,136,44,-0.0022163004614412785
TIGER,E,5,217,125,46,-0.0023221466690301895
TIGER,E,2,217,140,41,-0.0026375395245850086
TIGER,E,6,213,114,50,-0.003004140220582485
LADYBUG,B,15,205,59,81,0.004159781616181135
LADYBUG,B,16,207,57,93,0.0040391478687524796
LADYBUG,A,15,205,59,66,0.003793198149651289
LADYBUG,A,16,201,57,74,0.0033329781144857407
LADYBUG,C,15,207,67,99,0.0031714981887489557
FROG,N,6,147,183,68,0.02329440414905548
FROG,M,8,158,189,81,0.023197729140520096
FROG,N,5,154,184,62,0.02281481772661209
FROG,M,9,145,182,83,0.02239318937063217
FROG,M,7,171,194,77,0.022329889237880707
AXOLOTL,E,16,205,110,140,-0.005124795716255903
AXOLOTL,D,16,207,85,124,-0.005305998958647251
AXOLOTL,E,15,214,104,131,-0.005380307324230671
AXOLOTL,C,17,204,68,122,-0.0060401493683457375
AXOLOTL,C,18,191,78,125,-0.006361398380249739
TOAD,N,4,161,186,60,-0.003303445875644684
TOAD,N,5,154,184,62,-0.003361585084348917
TOAD,N,3,170,189,58,-0.0034698424860835075
TOAD,M,7,171,194,77,-0.0037119323387742043
TOAD,N,6,147,183,68,-0.003729911521077156
