,Words,Stat,p-value
0,AMBER,0.5596330441467839,0.5868674244959557
1,AMETHYST,1.104101834684182,0.35548644111298333
2,APPLE,6.603001868393974,0.009555270282828654
3,ASPARAGUS,48.65670842413245,7.026351711902912e-06
4,AUTUMN,4.858164766830284,0.03356368672571097
5,AXOLOTL,5.383997781617689,0.017281429547388427
6,BANANA,17.020666511437096,0.00017848055329861
7,BARBIE,1.7158597980632635,0.2211065134676633
8,BASIL,0.18117063151138707,0.8356469632147304
9,BEET,0.9436623286670612,0.4126110520883449
10,BLAS (Y EPI),3.9399713869856337,0.0590094990338319
11,BLOOD,0.8952856336519538,0.4279969861839148
12,BRICK,0.6491741688902625,0.5349519313370564
13,BRUSH,18.02109794294693,0.0003380477466342624
14,CANARY,16.941518081910402,0.0004377312140096956
15,CARNATION,0.97644435453584,0.39389747721430624
16,COCONUT,62.81495355850299,2.6528952257187655e-08
17,COOKIE MONSTER,15.315042753573222,0.0009031529783294356
18,CORAL,1.9282152347188564,0.17427673901793006
19,CRICKET,3.3680913170982825,0.06394323215957187
20,CUCUMBER,13.391902892597114,0.0004603885207399294
21,DANGER,1.2023419272492069,0.37467844451951127
22,DISGUST,1.7047098134195076,0.21323547870130566
23,ECOLOGY,8.383874425055915,0.0072768053131809785
24,EGG,5.932551738369709,0.01361120917921732
25,EGGPLANT,2.603670826343608,0.12816917326494903
26,ELMO,8.328814604670196,0.006275922088693431
27,EMERALD,4.994555972218197,0.023056694873149652
28,EPI (Y BLAS),11.121790261703017,0.004895838968682287
29,FEMINISM,29.35621109374156,2.3884337159385538e-05
30,FIRE,1.4719402893477502,0.26080244954770104
31,FLAMINGO,4.578128795821827,0.03876561323201866
32,FLASH,0.9206805083280953,0.4246339354692299
33,FOX,3.7010580819204972,0.05342479767082409
34,FROG,2.0562492937747043,0.15857289199114788
35,GOLD,1.7236940159920948,0.20657742653950173
36,GRAPE,2.9683230375736844,0.08966852869114517
37,GRASS,1.4387040630453558,0.26193796935683045
38,GRINCH,5.328234719720158,0.02659007277054648
39,GRIZZLY,1.9051863178256265,0.18310657952092824
40,HAPINESS,13.324594234217065,0.0007113917469168118
41,HOPE,2.433291358660981,0.11767332750738302
42,HULK,20.713455435616634,0.00012838878576160173
43,HURRICANE,5.1545342760613755,0.019774851318520748
44,JADE,1.1208265639361477,0.3503049835075618
45,KIWI,1.027311655053063,0.39285454397978814
46,LADYBUG,0.5587052313080882,0.5850918075341617
47,LAPIS LAZULI,2.8479203902760273,0.08283863849458939
48,LAVENDER,1.055356877110528,0.3676050736629334
49,LEMON,3.9265975575030097,0.0442885688253466
50,LIME,1.2041293504145398,0.33659811109049365
51,LONELINESS,1.4623833546483638,0.2673971521325629
52,MALLOW,11.61009762318755,0.0019458354497475794
53,MINT,12.825965191297652,0.00026044048385065466
54,MOSS,8.211378780631408,0.005663569213465447
55,MUD,3.175998509736478,0.07816053009125301
56,PEACE,2.052745965727828,0.1652813856777432
57,PEACH,9.89831298017419,0.0018161676339577548
58,PEARL,0.3480806453673188,0.7102348093107913
59,PETER PAN,8.79259854578201,0.005234596591423335
60,PIG,6.58413756800085,0.007631971677384497
61,PIKACHU,2.0051607435478602,0.18525054546601127
62,POND,2.301000501361468,0.13946926780454327
63,POPPY,1.574089482137926,0.2344205894505128
64,PUMPKIN,0.30838205522517614,0.7402860681612253
65,RAGE,1.6532562947109768,0.22446172870886472
66,RELAX,2.115565071833255,0.15511306917605028
67,RUBY,4.083304125714682,0.035629192242367824
68,SADNESS,8.034088174722575,0.012206389056836131
69,SALMON,0.648002735790782,0.5371254485013586
70,SAND,11.037467950699337,0.0008466043592785244
71,SAPPHIRE,3.7554659897865763,0.05160915240790953
72,SEA,7.9889638840157735,0.00546001925128603
73,SHAME,2.02337657581862,0.16466735890373596
74,SHRECK,4.494533182007359,0.044315176629930675
75,SIMPSON,3.874270116913488,0.044008132826646174
76,SKIN,3.281105294507686,0.07629117007221387
77,SKY,0.874308474139929,0.4387319990057307
78,SMURF,0.12748050403698227,0.8815923180228054
79,SONIC,1.4542486817643046,0.259744969009726
80,SPRING,3.783669780990184,0.05069603821988522
81,STITCH,7.912046000842668,0.008707123383299042
82,SUBMARINE,3.4711415169175877,0.07163748599446185
83,SUMMER,8.657831781299656,0.002829906713569752
84,SUNFLOWER,1.1211665084536844,0.35546544692709037
85,SUNRISE,2.588398422320102,0.10439408168677955
86,SUNSET,1.7500973963528095,0.22299741329178002
87,THUNDERBOLT,5.129008979829305,0.021325982917164366
88,TIGER,11.375207232570482,0.000985760727132412
89,TILE,29.737085955733935,1.9726046811552322e-06
90,TOAD,1.1873448769661692,0.3339524912755174
91,TOMATO,11.481431508835502,0.0033356906028748634
92,TOXIC,1.215479325768316,0.3306103020337544
93,TRACTOR,9.597895105728385,0.00471410040567688
94,WHALE,6.726790594156969,0.006182501772666771
95,WHEAT,19.87125590938875,8.14086448248652e-05
96,WINTER,18.123189681484074,0.0001738596492263378
97,WITCHCRAFT,0.3774706740560743,0.6928671342658059
98,WOOD,1.9056886405761868,0.17916733791875095
99,ZUCCHINI,10.504223225235153,0.0016356349368932266
