word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.07012110948562622
SALMON,G,11,225,146,123,0.06866922229528427
SALMON,E,10,215,114,90,0.0684923380613327
SALMON,D,10,209,93,76,0.06817808747291565
SALMON,F,12,219,133,119,0.06809936463832855
WHALE,I,18,191,193,194,0.05029042065143585
WHALE,I,17,192,196,189,0.05026036873459816
WHALE,I,19,164,176,185,0.043054111301898956
WHALE,N,27,77,147,166,0.04251299053430557
WHALE,O,28,80,153,163,0.042388759553432465
GRIZZLY,A,1,82,48,27,0.06289281696081161
GRIZZLY,A,2,90,47,30,0.0598679780960083
GRIZZLY,B,1,115,71,37,0.057709965854883194
GRIZZLY,A,3,99,43,32,0.0547306053340435
GRIZZLY,I,17,192,196,189,0.053358711302280426
FLAMINGO,C,16,209,65,110,0.06827365607023239
FLAMINGO,B,17,207,55,102,0.068044014275074
FLAMINGO,B,16,207,57,93,0.06772120296955109
FLAMINGO,C,17,204,68,122,0.06743666529655457
FLAMINGO,C,15,207,67,99,0.0673958882689476
FOX,I,17,192,196,189,0.05174070596694946
FOX,I,18,191,193,194,0.05149589106440544
FOX,D,5,200,104,46,0.04635947570204735
FOX,D,6,202,97,45,0.046022929251194
FOX,D,3,191,112,45,0.046012312173843384
CRICKET,N,8,126,173,68,0.05520511418581009
CRICKET,N,7,130,175,68,0.05514591932296753
CRICKET,N,9,116,167,70,0.05499357730150223
CRICKET,O,5,126,166,66,0.05429951846599579
CRICKET,N,10,106,159,69,0.05428710952401161
CANARY,L,1,229,216,45,0.08202403038740158
CANARY,L,2,228,217,53,0.08170358091592789
CANARY,L,3,227,217,60,0.08140228688716888
CANARY,L,4,223,217,68,0.08123518526554108
CANARY,K,1,222,209,60,0.08092979341745377
PIG,I,17,192,196,189,0.0507652647793293
PIG,I,18,191,193,194,0.050594497472047806
PIG,H,15,218,165,158,0.04430729150772095
PIG,H,14,222,163,143,0.04345698654651642
PIG,G,15,222,144,155,0.04323728010058403
TIGER,I,18,191,193,194,0.055348411202430725
TIGER,I,17,192,196,189,0.05395672842860222
TIGER,F,2,230,162,42,0.04604054614901543
TIGER,G,3,235,169,52,0.04591146111488342
TIGER,G,2,233,174,50,0.045821987092494965
LADYBUG,A,14,203,57,56,0.05195148289203644
LADYBUG,B,12,209,65,59,0.05152092128992081
LADYBUG,I,18,191,193,194,0.05135650932788849
LADYBUG,A,15,205,59,66,0.05113673955202103
LADYBUG,A,13,194,54,46,0.050895124673843384
FROG,N,9,116,167,70,0.06745333224534988
FROG,N,8,126,173,68,0.06743726134300232
FROG,N,7,130,175,68,0.06725646555423737
FROG,N,10,106,159,69,0.06648559868335724
FROG,N,11,100,157,71,0.06588003039360046
AXOLOTL,I,18,191,193,194,0.04435722529888153
AXOLOTL,I,17,192,196,189,0.043507169932127
AXOLOTL,M,10,139,180,87,0.035964250564575195
AXOLOTL,N,7,130,175,68,0.03587929159402847
AXOLOTL,N,8,126,173,68,0.03584147244691849
TOAD,I,17,192,196,189,0.05445091798901558
TOAD,I,18,191,193,194,0.05104571580886841
TOAD,N,9,116,167,70,0.05065871775150299
TOAD,N,8,126,173,68,0.0503520742058754
TOAD,O,6,111,158,69,0.050330016762018204
LEMON,L,6,215,214,82,0.1056990846991539
LEMON,M,4,202,207,62,0.10496311634778976
LEMON,K,7,221,217,108,0.1048651933670044
LEMON,M,3,206,206,55,0.10473071038722992
LEMON,L,7,201,207,90,0.1047077476978302
LIME,N,5,154,184,62,0.1302078366279602
LIME,N,4,161,186,60,0.12988486886024475
LIME,N,6,147,183,68,0.12969456613063812
LIME,N,3,170,189,58,0.12891033291816711
LIME,M,7,171,194,77,0.12860599160194397
KIWI,N,6,147,183,68,0.10103066265583038
KIWI,N,7,130,175,68,0.10091636329889297
KIWI,N,8,126,173,68,0.10070234537124634
KIWI,N,5,154,184,62,0.1005512923002243
KIWI,M,8,158,189,81,0.10010722279548645
PUMPKIN,E,5,217,125,46,0.08272494375705719
PUMPKIN,E,6,213,114,50,0.08253782987594604
PUMPKIN,E,4,218,131,42,0.08205452561378479
PUMPKIN,D,4,202,115,45,0.08200538158416748
PUMPKIN,D,5,200,104,46,0.0817122757434845
ZUCCHINI,O,5,126,166,66,0.06259120255708694
ZUCCHINI,P,2,115,145,62,0.06237892434000969
ZUCCHINI,O,4,132,168,64,0.06232365220785141
ZUCCHINI,O,6,111,158,69,0.062184181064367294
ZUCCHINI,N,9,116,167,70,0.06206909567117691
GRAPE,B,27,111,59,115,0.09946628659963608
GRAPE,C,27,105,59,118,0.09942199289798737
GRAPE,A,29,109,61,122,0.09921238571405411
GRAPE,B,28,109,61,122,0.09921238571405411
GRAPE,A,28,116,62,121,0.09913374483585358
CUCUMBER,N,9,116,167,70,0.08071719855070114
CUCUMBER,O,5,126,166,66,0.08064642548561096
CUCUMBER,N,8,126,173,68,0.08060447871685028
CUCUMBER,M,10,139,180,87,0.0805644616484642
CUCUMBER,N,7,130,175,68,0.08053426444530487
COCONUT,I,17,192,196,189,0.062034811824560165
COCONUT,I,15,204,200,166,0.061528608202934265
COCONUT,I,14,209,200,158,0.061470650136470795
COCONUT,J,12,203,205,152,0.05924439802765846
COCONUT,I,16,194,198,180,0.05900716036558151
EGGPLANT,D,25,109,64,118,0.10378405451774597
EGGPLANT,E,25,106,67,121,0.10354825109243393
EGGPLANT,F,25,102,72,124,0.1034184917807579
EGGPLANT,B,27,111,59,115,0.10330843925476074
EGGPLANT,D,24,121,71,123,0.10314466059207916
ASPARAGUS,P,2,115,145,62,0.0647372454404831
ASPARAGUS,P,1,112,140,60,0.06438969075679779
ASPARAGUS,O,3,139,168,60,0.06436334550380707
ASPARAGUS,O,4,132,168,64,0.06420547515153885
ASPARAGUS,O,5,126,166,66,0.06414900720119476
PEACH,G,10,227,147,113,0.10011995583772659
PEACH,H,12,227,160,127,0.10007371753454208
PEACH,G,11,225,146,123,0.09999805688858032
PEACH,H,11,230,159,119,0.09997723251581192
PEACH,H,13,224,161,135,0.09851609915494919
APPLE,N,5,154,184,62,0.07010123133659363
APPLE,N,6,147,183,68,0.07006511837244034
APPLE,N,7,130,175,68,0.0699831023812294
APPLE,N,8,126,173,68,0.06971360743045807
APPLE,N,4,161,186,60,0.06956455856561661
EGG,I,17,192,196,189,0.059607457369565964
EGG,I,15,204,200,166,0.05791674554347992
EGG,I,14,209,200,158,0.057865068316459656
EGG,I,16,194,198,180,0.05719767138361931
EGG,J,10,216,207,129,0.056584496051073074
BANANA,K,7,221,217,108,0.07487742602825165
BANANA,J,8,226,213,114,0.07487525045871735
BANANA,K,8,214,213,110,0.074741892516613
BANANA,K,6,227,220,95,0.074324831366539
BANANA,J,9,220,208,118,0.07424246519804001
TOMATO,C,10,213,78,66,0.08127924054861069
TOMATO,B,12,209,65,59,0.08110406994819641
TOMATO,B,11,207,67,54,0.08082503080368042
TOMATO,C,11,211,78,73,0.08075609058141708
TOMATO,C,12,210,78,76,0.08032415807247162
BEET,A,20,175,49,110,0.09902685135602951
BEET,A,21,168,55,115,0.0985667034983635
BEET,A,19,184,48,108,0.09805692732334137
BEET,A,22,159,58,117,0.09758677333593369
BEET,A,18,192,50,97,0.09756401181221008
PEARL,I,16,194,198,180,0.0823947936296463
PEARL,I,17,192,196,189,0.08100530505180359
PEARL,I,15,204,200,166,0.08086848258972168
PEARL,I,14,209,200,158,0.0778694823384285
PEARL,J,18,180,202,194,0.07553896307945251
AMETHYST,F,23,123,87,135,0.09671200066804886
AMETHYST,E,24,119,77,129,0.09663670510053635
AMETHYST,D,25,109,64,118,0.09655579924583435
AMETHYST,E,25,106,67,121,0.0965517982840538
AMETHYST,F,22,131,95,137,0.09647948294878006
SAPPHIRE,H,30,49,56,116,0.08809361606836319
SAPPHIRE,I,30,48,65,124,0.08775775134563446
SAPPHIRE,G,30,51,47,105,0.08761833608150482
SAPPHIRE,J,30,59,68,123,0.0875488817691803
SAPPHIRE,F,30,51,44,98,0.0872223898768425
GOLD,G,1,221,168,33,0.11054612696170807
GOLD,F,1,220,158,32,0.10976743698120117
GOLD,E,1,203,141,42,0.10906563699245453
GOLD,H,1,230,186,38,0.10761131346225739
GOLD,I,1,225,191,32,0.10733549296855927
RUBY,A,17,197,53,86,0.09757297486066818
RUBY,A,18,192,50,97,0.09668200463056564
RUBY,B,16,207,57,93,0.09590057283639908
RUBY,B,15,205,59,81,0.09481475502252579
RUBY,B,17,207,55,102,0.09471410512924194
JADE,K,17,170,199,174,0.09883075207471848
JADE,L,18,147,191,160,0.09861019998788834
JADE,K,18,171,200,179,0.09853022545576096
JADE,L,17,148,189,154,0.09850459545850754
JADE,K,16,170,198,166,0.09825176000595093
TILE,I,17,192,196,189,0.07194539904594421
TILE,J,18,180,202,194,0.07161388546228409
TILE,J,19,165,194,195,0.07042007893323898
TILE,K,20,144,191,190,0.07023739814758301
TILE,J,17,181,202,191,0.07019758969545364
LAPIS LAZULI,I,30,48,65,124,0.08864887058734894
LAPIS LAZULI,H,30,49,56,116,0.08798617869615555
LAPIS LAZULI,K,30,65,82,135,0.08760643005371094
LAPIS LAZULI,I,29,62,71,129,0.08745445311069489
LAPIS LAZULI,J,29,67,79,135,0.08735378086566925
AMBER,E,1,203,141,42,0.08156035840511322
AMBER,D,2,188,118,47,0.08031496405601501
AMBER,E,2,217,140,41,0.08009593933820724
AMBER,F,1,220,158,32,0.07977400720119476
AMBER,D,1,175,118,47,0.0796997919678688
BRICK,B,5,158,65,44,0.1032903864979744
BRICK,B,6,171,61,45,0.1020045280456543
BRICK,B,4,150,70,45,0.10157431662082672
BRICK,A,5,124,45,38,0.10135158151388168
BRICK,A,4,109,44,35,0.1008870005607605
EMERALD,P,23,88,158,113,0.10130906850099564
EMERALD,P,24,87,159,119,0.10070295631885529
EMERALD,P,11,63,120,66,0.10034393519163132
EMERALD,P,12,67,127,70,0.10023685544729233
EMERALD,P,22,90,158,106,0.10010258853435516
SUNFLOWER,I,5,239,203,76,0.078087717294693
SUNFLOWER,I,6,234,202,91,0.0777847170829773
SUNFLOWER,I,4,238,198,69,0.07777504622936249
SUNFLOWER,I,7,237,198,90,0.07747796922922134
SUNFLOWER,J,4,237,216,75,0.0773141011595726
BASIL,L,13,145,178,120,0.0850665420293808
BASIL,L,14,141,180,124,0.08492649346590042
BASIL,M,13,122,170,101,0.08455082774162292
BASIL,P,3,107,142,64,0.08438378572463989
BASIL,P,4,102,139,65,0.08437170833349228
MALLOW,L,12,152,186,114,0.0690581426024437
MALLOW,K,13,175,195,138,0.06894733011722565
MALLOW,J,15,195,203,165,0.06888112425804138
MALLOW,K,14,163,183,135,0.06868360936641693
MALLOW,J,14,190,196,156,0.06861304491758347
LAVENDER,H,21,142,131,158,0.12024053931236267
LAVENDER,H,20,154,142,164,0.11981648206710815
LAVENDER,G,21,142,115,151,0.11966447532176971
LAVENDER,G,20,152,123,154,0.11894761025905609
LAVENDER,H,19,168,152,171,0.11846162378787994
POPPY,B,15,205,59,81,0.06955879926681519
POPPY,C,13,207,75,83,0.06933843344449997
POPPY,A,16,201,57,74,0.06924708187580109
POPPY,A,15,205,59,66,0.06919710338115692
POPPY,C,14,200,66,84,0.06915882229804993
WHEAT,I,13,207,190,146,0.06758707761764526
WHEAT,I,12,220,198,142,0.06720952689647675
WHEAT,I,11,225,195,128,0.06676492094993591
WHEAT,I,14,209,200,158,0.06623709201812744
WHEAT,I,10,228,200,119,0.0655510351061821
CARNATION,F,15,218,127,144,0.09450741112232208
CARNATION,E,15,214,104,131,0.09422839432954788
CARNATION,G,15,222,144,155,0.09417329728603363
CARNATION,E,16,205,110,140,0.09411045908927917
CARNATION,F,16,202,130,150,0.09355540573596954
CORAL,C,11,211,78,73,0.10762746632099152
CORAL,C,12,210,78,76,0.1069289892911911
CORAL,C,10,213,78,66,0.10673171281814575
CORAL,D,11,208,96,88,0.10506868362426758
CORAL,D,10,209,93,76,0.1048724427819252
