,Words,Stat,p-value
0,AMBER,0.8673489805063851,0.44691218864874505
1,AMETHYST,2.374427176620141,0.12502788479910631
2,APPLE,4.408183614103091,0.03274694289919411
3,ASPARAGUS,15.667910646313201,0.000828642387989853
4,AUTUMN,6.0778155082166965,0.018731794359651888
5,AXOLOTL,2.6907848060282906,0.10032340036267073
6,BANANA,1.8500034457744385,0.19367885169983978
7,BARBIE,1.7428106195073,0.21652880550454146
8,BASIL,2.187373579250225,0.1383243896122306
9,BEET,0.7713819049404936,0.4810591920850462
10,BLAS (Y EPI),2.3126450540232257,0.1547160544329681
11,BLOOD,0.8902808540291178,0.42992831400457254
12,BRICK,0.498482888774847,0.6160583662117249
13,BRUSH,34.12434474784726,1.9195670115212948e-05
14,CANARY,12.46023292522665,0.0014903181353739248
15,CARNATION,0.3089625426789063,0.7376500627482339
16,COCONUT,55.35845771689957,6.460752732806441e-08
17,COOKIE MONSTER,9.11193197376981,0.005583643091577994
18,CORAL,3.000588206349873,0.07505157042912214
19,CRICKET,1.7409787793249778,0.21123497072747788
20,CUCUMBER,6.5072600015473165,0.009232313641422296
21,DANGER,1.530140596064537,0.3030745915332034
22,DISGUST,3.1903057834423683,0.06823139695913749
23,ECOLOGY,5.090530814339842,0.029873076894042283
24,EGG,4.920404083214763,0.024079609360563525
25,EGGPLANT,3.8340328587192802,0.06246084770445337
26,ELMO,14.796470113939618,0.0007606449168471308
27,EMERALD,4.993990029017906,0.023064311553552264
28,EPI (Y BLAS),5.558232995442979,0.030671111435546905
29,FEMINISM,26.341718443525085,4.076889593840338e-05
30,FIRE,1.5981166321043156,0.2348676628148736
31,FLAMINGO,5.0319579443047,0.030755409039809667
32,FLASH,2.2566041777434833,0.1472647187833861
33,FOX,1.3499353907044984,0.2932967721219011
34,FROG,0.6211413901079277,0.5490890349340942
35,GOLD,1.82983964857165,0.18905333724899265
36,GRAPE,2.035446111970645,0.17331954677572625
37,GRASS,0.44433949570606357,0.6477431012718953
38,GRINCH,7.620950092725539,0.009758650733312835
39,GRIZZLY,0.7518329244413002,0.4884625574681255
40,HAPINESS,8.113036486811483,0.005165635664220791
41,HOPE,18.506197977984655,5.4028333060784917e-05
42,HULK,28.493608926398984,2.769973989658059e-05
43,HURRICANE,7.1723641819803685,0.006519416690421442
44,JADE,1.122447392687004,0.34980737017509766
45,KIWI,2.4176459669101487,0.13916163267919401
46,LADYBUG,1.1288430430206835,0.353146901263529
47,LAPIS LAZULI,3.7441833186891573,0.042573073844611065
48,LAVENDER,1.6315697042816257,0.22186477408049077
49,LEMON,1.0305537438427161,0.3823559295806096
50,LIME,0.5266315432923685,0.6047616876526822
51,LONELINESS,1.2307778815074693,0.32395601490026227
52,MALLOW,0.4567613671258566,0.6448202681628818
53,MINT,11.729270574978157,0.0004261362911375244
54,MOSS,12.399899829084973,0.0012023052687063496
55,MUD,3.870959136273012,0.05043724753128953
56,PEACE,14.094575185848027,0.00044308882185384313
57,PEACH,7.65320192234207,0.0051188970749364016
58,PEARL,0.09583558813716893,0.9090280945331921
59,PETER PAN,330.2681611688931,1.5093071237259892e-10
60,PIG,4.081245050769793,0.03567878748150222
61,PIKACHU,1.9553686931092271,0.19197701765459452
62,POND,13.398363301710353,0.0006944228531912122
63,POPPY,0.27229206361645764,0.7647133283330021
64,PUMPKIN,0.8719993352240132,0.44300522594014813
65,RAGE,3.258735253948256,0.0667959790768482
66,RELAX,3.1963500423390068,0.06977380759796847
67,RUBY,2.984139157852662,0.0774861484739785
68,SADNESS,48.56111750294563,3.354143233480489e-05
69,SALMON,1.526957487805193,0.24911449414584586
70,SAND,11.069572519796061,0.0008348712144434778
71,SAPPHIRE,3.551025632460924,0.05882600352859568
72,SEA,8.28962126253674,0.004777668099339438
73,SHAME,1.2493707759311976,0.31320045364195204
74,SHRECK,4.498520428591331,0.04422688282820597
75,SIMPSON,3.903696494229568,0.04316354432600622
76,SKIN,3.2755463393459494,0.0765573498031995
77,SKY,1.4032237809539247,0.27833304845810125
78,SMURF,1.8833953802494963,0.19796394604071987
79,SONIC,6.144402314909117,0.009245136776489526
80,SPRING,1.1624662298856772,0.3431951093797373
81,STITCH,17.374779617016806,0.0005572578432936348
82,SUBMARINE,21.059181266488658,0.0002600436106877657
83,SUMMER,398.36848587942455,2.2537527399890678e-14
84,SUNFLOWER,1.5988207360088662,0.2394391754269798
85,SUNRISE,0.3204130832405634,0.730138094478225
86,SUNSET,1.3288709224336828,0.3077647173492817
87,THUNDERBOLT,5.761140651373889,0.014943757524315648
88,TIGER,0.43064793772632864,0.6578766074589942
89,TILE,29.874904295122352,1.9105507977901226e-06
90,TOAD,0.3694595582006024,0.6976487185285629
91,TOMATO,1.0285294402493443,0.3960162365229307
92,TOXIC,1.3329352979958036,0.30008230298787164
93,TRACTOR,5.325886601049077,0.02662031959173583
94,WHALE,9.008253301379428,0.0017717507362376983
95,WHEAT,20.08221104884025,7.707214621022196e-05
96,WINTER,2.6436608964855326,0.10880681413569715
97,WITCHCRAFT,1.4871821261450506,0.2620465821977882
98,WOOD,1.313789597246954,0.2947464314578334
99,ZUCCHINI,19.752223693427897,8.397829822992531e-05
