word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.08440148830413818
SALMON,F,11,223,134,112,0.08330508321523666
SALMON,F,10,220,130,98,0.08276517689228058
SALMON,D,10,209,93,76,0.0822090208530426
SALMON,D,11,208,96,88,0.08120254427194595
WHALE,L,22,112,177,179,0.02469506673514843
WHALE,K,20,144,191,190,0.024226080626249313
WHALE,M,24,93,172,174,0.024190939962863922
WHALE,P,29,82,157,165,0.024055317044258118
WHALE,N,26,82,161,166,0.023989960551261902
GRIZZLY,B,1,115,71,37,0.032103829085826874
GRIZZLY,C,1,143,92,43,0.02945764549076557
GRIZZLY,A,1,82,48,27,0.02882046438753605
GRIZZLY,B,2,128,70,41,0.02789580076932907
GRIZZLY,A,2,90,47,30,0.027030009776353836
FLAMINGO,C,17,204,68,122,0.07396310567855835
FLAMINGO,C,16,209,65,110,0.07340191304683685
FLAMINGO,B,18,199,54,115,0.0729907974600792
FLAMINGO,B,17,207,55,102,0.07247890532016754
FLAMINGO,D,16,207,85,124,0.072287917137146
FOX,D,7,211,99,50,0.02560967393219471
FOX,E,6,213,114,50,0.02523808926343918
FOX,D,6,202,97,45,0.025058718398213387
FOX,D,8,205,95,49,0.024760082364082336
FOX,D,5,200,104,46,0.024552030488848686
CRICKET,P,17,81,153,68,0.028356175869703293
CRICKET,P,16,78,152,70,0.02811342477798462
CRICKET,P,18,83,155,77,0.028075631707906723
CRICKET,O,15,81,153,73,0.0280342698097229
CRICKET,O,14,77,150,66,0.027941308915615082
CANARY,L,2,228,217,53,0.0862402394413948
CANARY,L,3,227,217,60,0.08621832728385925
CANARY,L,1,229,216,45,0.0858660563826561
CANARY,K,5,230,221,85,0.0855926126241684
CANARY,L,4,223,217,68,0.08549567312002182
PIG,H,15,218,165,158,0.009437881410121918
PIG,G,16,206,150,162,0.009401082992553711
PIG,H,16,200,164,172,0.008895250037312508
PIG,G,15,222,144,155,0.007885639555752277
PIG,G,17,192,152,164,0.007605236954987049
TIGER,E,3,223,136,44,0.029299220070242882
TIGER,E,4,218,131,42,0.02872203290462494
TIGER,E,5,217,125,46,0.028660405427217484
TIGER,E,6,213,114,50,0.027780700474977493
TIGER,D,7,211,99,50,0.02771022543311119
LADYBUG,B,12,209,65,59,0.046450912952423096
LADYBUG,A,14,203,57,56,0.04630039259791374
LADYBUG,A,10,205,61,45,0.04555724561214447
LADYBUG,A,11,205,61,45,0.04555724561214447
LADYBUG,B,11,207,67,54,0.04530659317970276
FROG,M,11,128,174,91,0.064198337495327
FROG,M,10,139,180,87,0.0641242116689682
FROG,M,9,145,182,83,0.0634351596236229
FROG,N,8,126,173,68,0.06335495412349701
FROG,M,12,124,172,97,0.06324919313192368
AXOLOTL,B,18,199,54,115,0.015610178001224995
AXOLOTL,C,17,204,68,122,0.015474401414394379
AXOLOTL,F,20,152,110,146,0.015411747619509697
AXOLOTL,G,20,152,123,154,0.015347608365118504
AXOLOTL,F,18,178,127,153,0.01515146717429161
TOAD,P,3,107,142,64,0.039293110370635986
TOAD,P,4,102,139,65,0.03925530984997749
TOAD,O,7,106,155,70,0.038978785276412964
TOAD,P,2,115,145,62,0.03880887106060982
TOAD,P,1,112,140,60,0.03872554004192352
LEMON,K,5,230,221,85,0.10936279594898224
LEMON,K,6,227,220,95,0.10921715199947357
LEMON,K,4,235,222,79,0.10781724750995636
LEMON,L,4,223,217,68,0.10759373009204865
LEMON,L,3,227,217,60,0.10726021230220795
LIME,M,5,194,204,68,0.13177654147148132
LIME,M,6,182,198,73,0.13166899979114532
LIME,M,7,171,194,77,0.13129904866218567
LIME,N,3,170,189,58,0.13112255930900574
LIME,N,1,180,193,51,0.13107703626155853
KIWI,N,4,161,186,60,0.09783021360635757
KIWI,N,5,154,184,62,0.09774009883403778
KIWI,N,3,170,189,58,0.0975707396864891
KIWI,N,6,147,183,68,0.09734936058521271
KIWI,M,7,171,194,77,0.09710423648357391
PUMPKIN,E,5,217,125,46,0.08428969979286194
PUMPKIN,E,6,213,114,50,0.08354899287223816
PUMPKIN,E,4,218,131,42,0.0830061212182045
PUMPKIN,E,3,223,136,44,0.08278855681419373
PUMPKIN,D,4,202,115,45,0.08193741738796234
ZUCCHINI,O,4,132,168,64,0.07107150554656982
ZUCCHINI,O,5,126,166,66,0.07100522518157959
ZUCCHINI,N,5,154,184,62,0.07092167437076569
ZUCCHINI,N,6,147,183,68,0.07082878053188324
ZUCCHINI,N,4,161,186,60,0.07073391228914261
GRAPE,A,25,131,58,113,0.09843116998672485
GRAPE,A,26,124,59,119,0.09790849685668945
GRAPE,B,25,130,64,121,0.09789575636386871
GRAPE,B,27,111,59,115,0.09756071120500565
GRAPE,B,26,122,62,121,0.09752611070871353
CUCUMBER,K,12,178,197,132,0.07402299344539642
CUCUMBER,K,13,175,195,138,0.07375805079936981
CUCUMBER,L,12,152,186,114,0.07358292490243912
CUCUMBER,L,11,158,188,108,0.07309134304523468
CUCUMBER,K,11,185,201,122,0.07299444079399109
COCONUT,J,12,203,205,152,0.047918785363435745
COCONUT,I,15,204,200,166,0.04754406586289406
COCONUT,J,11,210,207,142,0.04741024971008301
COCONUT,J,15,195,203,165,0.047063738107681274
COCONUT,J,13,197,200,155,0.046805087476968765
EGGPLANT,B,27,111,59,115,0.10495930910110474
EGGPLANT,D,25,109,64,118,0.10427387058734894
EGGPLANT,A,25,131,58,113,0.10423819720745087
EGGPLANT,A,26,124,59,119,0.10384424775838852
EGGPLANT,D,24,121,71,123,0.10384213179349899
ASPARAGUS,J,12,203,205,152,0.08578445017337799
ASPARAGUS,K,12,178,197,132,0.08553633093833923
ASPARAGUS,J,13,197,200,155,0.08523034304380417
ASPARAGUS,K,13,175,195,138,0.08497889339923859
ASPARAGUS,K,11,185,201,122,0.08447881042957306
PEACH,H,11,230,159,119,0.08973990380764008
PEACH,H,12,227,160,127,0.08885443210601807
PEACH,H,10,235,159,109,0.08818676322698593
PEACH,G,10,227,147,113,0.08807940781116486
PEACH,G,11,225,146,123,0.08764123916625977
APPLE,N,6,147,183,68,0.04417838901281357
APPLE,N,5,154,184,62,0.044048063457012177
APPLE,N,7,130,175,68,0.04381649196147919
APPLE,N,4,161,186,60,0.04379666969180107
APPLE,M,7,171,194,77,0.043749283999204636
EGG,J,7,238,220,101,0.053042419254779816
EGG,J,6,240,218,93,0.05263476073741913
EGG,J,5,238,217,81,0.05207102373242378
EGG,K,4,235,222,79,0.05194880813360214
EGG,J,4,237,216,75,0.051737211644649506
BANANA,K,2,234,219,67,0.07489074766635895
BANANA,K,4,235,222,79,0.07483285665512085
BANANA,K,3,234,219,71,0.0748177319765091
BANANA,L,1,229,216,45,0.07455481588840485
BANANA,L,2,228,217,53,0.07450926303863525
TOMATO,C,10,213,78,66,0.07933366298675537
TOMATO,B,11,207,67,54,0.07900917530059814
TOMATO,B,10,206,66,49,0.07845698297023773
TOMATO,A,10,205,61,45,0.07825453579425812
TOMATO,A,11,205,61,45,0.07825453579425812
BEET,A,20,175,49,110,0.0913456529378891
BEET,A,21,168,55,115,0.09100799262523651
BEET,A,22,159,58,117,0.09020590782165527
BEET,A,19,184,48,108,0.08984723687171936
BEET,A,23,152,59,116,0.08954375237226486
PEARL,I,17,192,196,189,0.07177980989217758
PEARL,I,16,194,198,180,0.0693795457482338
PEARL,J,18,180,202,194,0.06517103314399719
PEARL,J,17,181,202,191,0.06477256864309311
PEARL,H,18,174,159,174,0.06332221627235413
AMETHYST,B,27,111,59,115,0.08592665940523148
AMETHYST,A,26,124,59,119,0.08550762385129929
AMETHYST,A,27,119,61,121,0.08548932522535324
AMETHYST,D,25,109,64,118,0.0854828953742981
AMETHYST,B,26,122,62,121,0.08547504246234894
SAPPHIRE,H,30,49,56,116,0.07788270711898804
SAPPHIRE,I,30,48,65,124,0.07716847211122513
SAPPHIRE,H,29,59,64,124,0.07673140615224838
SAPPHIRE,G,30,51,47,105,0.07657476514577866
SAPPHIRE,J,30,59,68,123,0.07635758817195892
GOLD,G,1,221,168,33,0.11476080864667892
GOLD,F,1,220,158,32,0.11319795250892639
GOLD,H,1,230,186,38,0.11260020732879639
GOLD,G,2,233,174,50,0.11119963228702545
GOLD,I,1,225,191,32,0.11113697290420532
RUBY,A,17,197,53,86,0.08678573369979858
RUBY,A,18,192,50,97,0.08564448356628418
RUBY,B,16,207,57,93,0.08520573377609253
RUBY,B,15,205,59,81,0.08414238691329956
RUBY,A,16,201,57,74,0.08374451100826263
JADE,K,18,171,200,179,0.08579318225383759
JADE,K,17,170,199,174,0.08561002463102341
JADE,L,18,147,191,160,0.08558185398578644
JADE,M,20,124,180,147,0.0855364054441452
JADE,N,22,105,169,137,0.08552820980548859
TILE,I,17,192,196,189,0.06280063092708588
TILE,J,18,180,202,194,0.06263157725334167
TILE,J,17,181,202,191,0.06181318312883377
TILE,J,19,165,194,195,0.06178172677755356
TILE,I,16,194,198,180,0.06088027358055115
LAPIS LAZULI,H,30,49,56,116,0.08057349920272827
LAPIS LAZULI,I,30,48,65,124,0.07999005168676376
LAPIS LAZULI,H,29,59,64,124,0.07884105294942856
LAPIS LAZULI,I,29,62,71,129,0.07802829146385193
LAPIS LAZULI,J,30,59,68,123,0.07797068357467651
AMBER,E,2,217,140,41,0.07701295614242554
AMBER,F,3,228,158,50,0.07676790654659271
AMBER,F,2,230,162,42,0.07660900801420212
AMBER,G,3,235,169,52,0.07588550448417664
