,Words,Stat,p-value
0,AMBER,0.34197061184399974,0.7176592198965275
1,AMETHYST,0.8646844671521885,0.4399604542170743
2,APPLE,4.713400680867881,0.02722107573102761
3,ASPARAGUS,49.19973129168939,6.681352028636844e-06
4,AUTUMN,0.8944605353495624,0.43916700113277307
5,AXOLOTL,0.7581424202737742,0.4856704855320697
6,BANANA,5.916312124650208,0.013731455102962031
7,BARBIE,1.9031604925855024,0.19147086258071955
8,BASIL,0.7722087263378238,0.4752831319967199
9,BEET,1.2682909171540495,0.31172816205176157
10,BLAS (Y EPI),3.0133799734854634,0.09958575580789908
11,BLOOD,2.669538698213415,0.09989753050151395
12,BRICK,0.048668073723307344,0.9526294507057724
13,BRUSH,31.962434049975908,2.6134659095622403e-05
14,CANARY,1.9328036123999974,0.19083374469272174
15,CARNATION,0.9741830297252666,0.39470988988445466
16,COCONUT,31.078358130745954,3.0848171511665967e-06
17,COOKIE MONSTER,15.381012434594732,0.0008886305750986923
18,CORAL,3.553950193025791,0.05002176060191099
19,CRICKET,3.885014882284466,0.04548655960255954
20,CUCUMBER,6.360989685189462,0.009988555174480607
21,DANGER,1.449694406908675,0.3187434611477734
22,DISGUST,2.265916446541066,0.13599974495457012
23,ECOLOGY,2.531457689298203,0.12895993885100177
24,EGG,3.4653504133401762,0.05989766033325694
25,EGGPLANT,1.587203089462492,0.25678890193323145
26,ELMO,4.516816453699236,0.036981230250237696
27,EMERALD,10.086599057849066,0.0019368539747750546
28,EPI (Y BLAS),12.021333178916807,0.003885486076153133
29,FEMINISM,23.497573609804956,7.082551496540024e-05
30,FIRE,0.9916623538076186,0.3940162152639676
31,FLAMINGO,0.7709550454359715,0.4882155022458632
32,FLASH,2.2240325242127863,0.15079904359809837
33,FOX,4.424033538786005,0.03423317315180319
34,FROG,7.573820930159329,0.004446807192835078
35,GOLD,1.8342332648774096,0.18836445273977154
36,GRAPE,2.319767190807816,0.14068262389488861
37,GRASS,0.42097164677003995,0.6623831404266971
38,GRINCH,8.06005748879064,0.00822478546039418
39,GRIZZLY,0.6383782413795923,0.5419078568394428
40,HAPINESS,21.943648198909983,6.808201140029446e-05
41,HOPE,19.475255864556946,4.003882245395829e-05
42,HULK,16.566152436646412,0.0003533152614499935
43,HURRICANE,8.995656580561104,0.0027082417340756892
44,JADE,1.2715750807745814,0.30724989240413714
45,KIWI,2.41990099766502,0.1389502935567073
46,LADYBUG,9.506195094041036,0.0028580125321635563
47,LAPIS LAZULI,4.537909928147633,0.024490686605977308
48,LAVENDER,1.0558806240165226,0.3674318367148359
49,LEMON,2.3644771971843457,0.13040718638241833
50,LIME,1.945178092255454,0.18909576092692537
51,LONELINESS,3.2611174002618872,0.07115244574385737
52,MALLOW,0.06700315033791857,0.9355709393623128
53,MINT,12.02571367365587,0.00037213464809615626
54,MOSS,12.373080447413912,0.0012128738778682813
55,MUD,0.43399035354562493,0.6576958018550358
56,PEACE,35.90636493197336,3.076339234464598e-06
57,PEACH,7.533226644662609,0.005433353199509217
58,PEARL,0.25149386977291044,0.780060768786065
59,PETER PAN,6.822874023789104,0.011832560786231627
60,PIG,0.7988467385312416,0.46602971066664556
61,PIKACHU,2.696073524359976,0.11574546427372501
62,POND,0.5164508906982549,0.6083774862799318
63,POPPY,2.4500993345391673,0.11452473499189808
64,PUMPKIN,0.6200242368922206,0.5543065692143051
65,RAGE,1.28293909690376,0.3059570332054682
66,RELAX,30.53126587803547,5.151143116277623e-06
67,RUBY,2.988253084739549,0.07725060968660458
68,SADNESS,10.310993767774468,0.006103244872680547
69,SALMON,0.024415334405491398,0.9759190077527939
70,SAND,11.057059363675874,0.0008394226033127117
71,SAPPHIRE,1.4746596393885938,0.26473282988384805
72,SEA,6.251272942638718,0.012526761109825979
73,SHAME,1.5931355800518703,0.2339027008876179
74,SHRECK,7.4454433317881925,0.01236078596203305
75,SIMPSON,3.5948353250813967,0.053033833508708605
76,SKIN,2.4569344739126255,0.1311876623259246
77,SKY,2.564378184308532,0.11248357188443103
78,SMURF,0.27088829710489354,0.7676444561720045
79,SONIC,4.265466351164279,0.030456492311582428
80,SPRING,2.9091155109604725,0.09033782226743958
81,STITCH,2.5058875454145206,0.1311715814105845
82,SUBMARINE,19.494187533335207,0.00035443355337005933
83,SUMMER,359.5255360320466,5.040412531798211e-14
84,SUNFLOWER,1.6869044295604685,0.22318172704357098
85,SUNRISE,2.6918878715955064,0.0964678034643377
86,SUNSET,1.0714912243691166,0.37876789775443565
87,THUNDERBOLT,69.07516885350682,5.584519413570632e-08
88,TIGER,2.279380595461811,0.13665463372254916
89,TILE,31.689895724747508,1.2670781238677264e-06
90,TOAD,23.686206902496775,3.21428082443731e-05
91,TOMATO,1.0226676665563497,0.39791124994411853
92,TOXIC,1.307910130949459,0.30630092931089237
93,TRACTOR,7.914506858380898,0.008698830838262506
94,WHALE,9.111249704202114,0.0016807636927607117
95,WHEAT,22.721133548528822,4.020024463136096e-05
96,WINTER,20.482736054173966,9.591309712364549e-05
97,WITCHCRAFT,3.549501393884833,0.05888402280168625
98,WOOD,1.7151028741589094,0.20965128990570403
99,ZUCCHINI,24.658200289676316,2.5839417755135763e-05
