,Words,Stat,p-value
0,AMBER,1.7424797563649932,0.22009729108939569
1,AMETHYST,2.0538832209115183,0.16071233251865924
2,APPLE,8.648645114072394,0.0035838439340056816
3,ASPARAGUS,45.67009925064215,9.356022268813824e-06
4,AUTUMN,2.090193985172168,0.17440520188440978
5,AXOLOTL,0.9797376276828117,0.3981909300902269
6,BANANA,4.318084517153971,0.03461590986373697
7,BARBIE,1.7214872463459099,0.22014141394586795
8,BASIL,1.131314890072828,0.34240122882836654
9,BEET,0.7709056765711862,0.4812655969974715
10,BLAS (Y EPI),2.5494452847409486,0.13266582551628248
11,BLOOD,2.4424850080617486,0.11865581111607293
12,BRICK,0.8663480733047175,0.4382413751408868
13,BRUSH,4.515963806306966,0.036998548498091255
14,CANARY,16.322248606968838,0.0005105608937939765
15,CARNATION,0.2664384994385455,0.7687796896705301
16,COCONUT,74.13575959689719,8.099564574592932e-09
17,COOKIE MONSTER,9.103452537629037,0.005600448590480922
18,CORAL,3.551017083175887,0.050127067517331536
19,CRICKET,3.633841853551591,0.05356176746448593
20,CUCUMBER,13.907826165470228,0.0003834115606901056
21,DANGER,533.8630327660917,1.483210964492443e-06
22,DISGUST,2.46056929953592,0.11702464392319378
23,ECOLOGY,8.37935047470396,0.007289116140944185
24,EGG,5.428288746756335,0.017980714171487056
25,EGGPLANT,3.9204854814834476,0.059626486708412196
26,ELMO,5.632834803037222,0.020685360120730523
27,EMERALD,2.07529032587073,0.16242863272578012
28,EPI (Y BLAS),3.081020179301597,0.10182552013764312
29,FEMINISM,25.76694921026654,4.539985338170016e-05
30,FIRE,2.180900594043323,0.14743183472919974
31,FLAMINGO,5.038644420906568,0.030653118557718573
32,FLASH,2.3653421834698296,0.13614611082044015
33,FOX,5.429323629148351,0.019316746651090733
34,FROG,5.179480283687711,0.01751738548964943
35,GOLD,1.7181220256662437,0.20754597261441599
36,GRAPE,1.7636389276365665,0.21306667498566156
37,GRASS,0.1216682586106376,0.8861263480005922
38,GRINCH,8.066639695081422,0.008204090499407957
39,GRIZZLY,0.6926465534751703,0.5155583596228197
40,HAPINESS,3.8969510809871464,0.04721150168373767
41,HOPE,3.2546071948353603,0.06357580113059469
42,HULK,35.670295525803695,8.911442708869899e-06
43,HURRICANE,7.418572734053769,0.005754464371398038
44,JADE,1.0659641910166333,0.36762742410703064
45,KIWI,0.6741608184595328,0.5313024506408013
46,LADYBUG,1.7801546839259874,0.20734181358643333
47,LAPIS LAZULI,3.5253433971560533,0.04987432414066062
48,LAVENDER,1.0547813236029948,0.36779555052080193
49,LEMON,1.6600293914766087,0.22545024844097405
50,LIME,0.5324609202995997,0.601554455786446
51,LONELINESS,1.1118309320512463,0.3583087800520801
52,MALLOW,0.3672195017238995,0.7008368733205086
53,MINT,12.021967994143402,0.0003727680903466979
54,MOSS,8.199272448052197,0.005692603672429963
55,MUD,7.320950084560215,0.008350188829521987
56,PEACE,2.0870829782611633,0.16095883626506713
57,PEACH,8.766241194632435,0.0030081910700237025
58,PEARL,0.30010261509288344,0.7440197876321506
59,PETER PAN,2.7563831825443805,0.10706577602215961
60,PIG,5.467105227966666,0.014677646539076328
61,PIKACHU,7.1951984234361355,0.011585256855832893
62,POND,0.06406304513342356,0.9382400871712795
63,POPPY,5.372957883820237,0.014800187179962565
64,PUMPKIN,1.5718190290592182,0.2475746359872435
65,RAGE,0.9432518466084037,0.41127887028209753
66,RELAX,4.0191685847350325,0.04002220095637343
67,RUBY,7.380945257396762,0.004927332894259617
68,SADNESS,18.25320085504903,0.001043926720373456
69,SALMON,17.29860085108407,0.00012727867258710557
70,SAND,11.064015969539945,0.0008368888756489223
71,SAPPHIRE,3.9666231228859496,0.045205783980370895
72,SEA,6.723745335845844,0.009888552370703074
73,SHAME,0.2980398007117006,0.7463040313087186
74,SHRECK,2.1683739735264145,0.17035957458520845
75,SIMPSON,3.8840125157845815,0.043726452157629936
76,SKIN,2.3360464097201588,0.14271226373620605
77,SKY,0.15280323677809585,0.8597106985891726
78,SMURF,0.6357499660635225,0.5479269944545109
79,SONIC,16.11969960070769,9.728650719420529e-05
80,SPRING,2.5765169618149857,0.11414630691492333
81,STITCH,20.166796259732426,0.00030953542218969954
82,SUBMARINE,3.741093349820417,0.061238032695294486
83,SUMMER,15.230019837694138,0.00019784416698642726
84,SUNFLOWER,0.06650013554224032,0.9359789766608292
85,SUNRISE,4.302059269507085,0.030773881967464223
86,SUNSET,5.804594176749084,0.02122304647469775
87,THUNDERBOLT,4.783627436979051,0.02610557475825337
88,TIGER,10.786077199504547,0.0012504184079735747
89,TILE,28.291138500291357,2.77799718673144e-06
90,TOAD,20.92423684637748,6.2203824817475e-05
91,TOMATO,15.09885874091647,0.0013317349259993616
92,TOXIC,1.1353383332428457,0.35352495702588516
93,TRACTOR,9.122654916150436,0.005562477725524206
94,WHALE,14.934467330309024,0.0001265747066112599
95,WHEAT,22.64425481179098,4.0935727833035784e-05
96,WINTER,18.167125765940046,0.00017185661588969836
97,WITCHCRAFT,1.6560587502082043,0.22872549319835556
98,WOOD,1.8395703066585665,0.1891427495115361
99,ZUCCHINI,13.49097760109166,0.0005429346135454871
