word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,C,10,213,78,66,0.05870555341243744
SALMON,C,11,211,78,73,0.058451585471630096
SALMON,C,12,210,78,76,0.05818476527929306
SALMON,D,10,209,93,76,0.05810879170894623
SALMON,D,11,208,96,88,0.05768599733710289
WHALE,I,18,191,193,194,0.05042821913957596
WHALE,I,17,192,196,189,0.047410085797309875
WHALE,K,20,144,191,190,0.043965183198451996
WHALE,L,22,112,177,179,0.04350121691823006
WHALE,L,23,101,176,189,0.04337488114833832
GRIZZLY,A,1,82,48,27,0.06084001809358597
GRIZZLY,B,1,115,71,37,0.05954388529062271
GRIZZLY,A,2,90,47,30,0.05826872959733009
GRIZZLY,C,1,143,92,43,0.056346118450164795
GRIZZLY,B,2,128,70,41,0.055057965219020844
FLAMINGO,C,17,204,68,122,0.06310883164405823
FLAMINGO,B,18,199,54,115,0.06280744820833206
FLAMINGO,C,16,209,65,110,0.06273949146270752
FLAMINGO,B,17,207,55,102,0.06214555352926254
FLAMINGO,D,16,207,85,124,0.06194069981575012
FOX,I,18,191,193,194,0.04827676713466644
FOX,C,9,210,75,50,0.046370066702365875
FOX,C,8,205,72,45,0.046346016228199005
FOX,A,10,205,61,45,0.04600545018911362
FOX,A,11,205,61,45,0.04600545018911362
CRICKET,N,9,116,167,70,0.048251181840896606
CRICKET,N,8,126,173,68,0.04811318591237068
CRICKET,N,10,106,159,69,0.048047199845314026
CRICKET,N,7,130,175,68,0.0479489341378212
CRICKET,N,11,100,157,71,0.04789922758936882
CANARY,L,1,229,216,45,0.08026354014873505
CANARY,L,2,228,217,53,0.08004061877727509
CANARY,L,3,227,217,60,0.07962910830974579
CANARY,K,2,234,219,67,0.07944877445697784
CANARY,M,1,211,207,48,0.07919925451278687
PIG,I,18,191,193,194,0.04344414919614792
PIG,I,17,192,196,189,0.042616214603185654
PIG,H,15,218,165,158,0.03755592554807663
PIG,G,16,206,150,162,0.036885105073451996
PIG,G,15,222,144,155,0.036635689437389374
TIGER,I,18,191,193,194,0.049921803176403046
TIGER,I,17,192,196,189,0.04556048661470413
TIGER,G,3,235,169,52,0.04056559130549431
TIGER,G,4,234,169,63,0.0402931310236454
TIGER,E,3,223,136,44,0.04016784206032753
LADYBUG,B,16,207,57,93,0.05405488610267639
LADYBUG,A,15,205,59,66,0.053977370262145996
LADYBUG,B,12,209,65,59,0.05396508425474167
LADYBUG,B,15,205,59,81,0.053939253091812134
LADYBUG,A,14,203,57,56,0.05368886515498161
FROG,N,8,126,173,68,0.060701970010995865
FROG,N,7,130,175,68,0.060582056641578674
FROG,N,9,116,167,70,0.060368575155735016
FROG,O,5,126,166,66,0.05985847860574722
FROG,N,10,106,159,69,0.05966603010892868
AXOLOTL,I,18,191,193,194,0.03751262277364731
AXOLOTL,I,17,192,196,189,0.03467841446399689
AXOLOTL,F,18,178,127,153,0.0320400707423687
AXOLOTL,G,18,185,148,162,0.031859662383794785
AXOLOTL,H,17,192,166,175,0.03181067854166031
TOAD,N,8,126,173,68,0.04211442545056343
TOAD,N,7,130,175,68,0.04209824278950691
TOAD,O,4,132,168,64,0.04194577410817146
TOAD,O,5,126,166,66,0.04193074256181717
TOAD,N,9,116,167,70,0.041655879467725754
LEMON,K,4,235,222,79,0.09447693824768066
LEMON,K,5,230,221,85,0.09447288513183594
LEMON,L,4,223,217,68,0.09390144050121307
LEMON,K,6,227,220,95,0.09385261684656143
LEMON,L,3,227,217,60,0.09376966953277588
LIME,N,6,147,183,68,0.12475854158401489
LIME,N,5,154,184,62,0.12442801892757416
LIME,N,7,130,175,68,0.12432748079299927
LIME,N,4,161,186,60,0.12399005889892578
LIME,M,8,158,189,81,0.12395425140857697
KIWI,N,6,147,183,68,0.09356475621461868
KIWI,N,7,130,175,68,0.09347890317440033
KIWI,N,5,154,184,62,0.09347552061080933
KIWI,N,8,126,173,68,0.09336552023887634
KIWI,N,4,161,186,60,0.09326382726430893
PUMPKIN,E,3,223,136,44,0.07933355867862701
PUMPKIN,E,4,218,131,42,0.07884101569652557
PUMPKIN,E,5,217,125,46,0.0788341537117958
PUMPKIN,E,2,217,140,41,0.07761526852846146
PUMPKIN,E,6,213,114,50,0.07759004831314087
ZUCCHINI,P,2,115,145,62,0.06191380321979523
ZUCCHINI,O,4,132,168,64,0.06186974048614502
ZUCCHINI,O,3,139,168,60,0.06184360012412071
ZUCCHINI,O,5,126,166,66,0.061794981360435486
ZUCCHINI,O,2,144,170,60,0.061695944517850876
GRAPE,B,27,111,59,115,0.09116746485233307
GRAPE,A,27,119,61,121,0.09077699482440948
GRAPE,A,28,116,62,121,0.09075959026813507
GRAPE,D,25,109,64,118,0.0907159149646759
GRAPE,C,26,118,63,122,0.0906972885131836
CUCUMBER,N,10,106,159,69,0.06655263900756836
CUCUMBER,N,9,116,167,70,0.06643053144216537
CUCUMBER,O,6,111,158,69,0.06636813282966614
CUCUMBER,N,11,100,157,71,0.06633012741804123
CUCUMBER,N,8,126,173,68,0.06631907820701599
COCONUT,I,16,194,198,180,0.059599682688713074
COCONUT,I,17,192,196,189,0.05928229168057442
COCONUT,I,15,204,200,166,0.05734968185424805
COCONUT,J,11,210,207,142,0.05660981684923172
COCONUT,J,12,203,205,152,0.05646992847323418
EGGPLANT,B,27,111,59,115,0.09057292342185974
EGGPLANT,D,25,109,64,118,0.09048610925674438
EGGPLANT,C,27,105,59,118,0.0900341346859932
EGGPLANT,E,25,106,67,121,0.09000515192747116
EGGPLANT,A,30,97,59,117,0.08990493416786194
ASPARAGUS,O,1,147,170,59,0.06298796087503433
ASPARAGUS,O,2,144,170,60,0.06294193118810654
ASPARAGUS,O,3,139,168,60,0.06293442100286484
ASPARAGUS,O,4,132,168,64,0.062383897602558136
