word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,14,220,142,135,0.1623765081167221
SALMON,F,14,217,130,129,0.1614214926958084
SALMON,H,15,218,165,158,0.16141675412654877
SALMON,H,14,222,163,143,0.16046296060085297
SALMON,G,13,221,143,129,0.16035591065883636
WHALE,I,19,164,176,185,0.17673641443252563
WHALE,J,20,146,185,193,0.17643791437149048
WHALE,I,20,148,161,177,0.1760987490415573
WHALE,J,21,134,171,185,0.1760629266500473
WHALE,J,19,165,194,195,0.17591913044452667
GRIZZLY,H,22,125,121,154,0.16046249866485596
GRIZZLY,H,21,142,131,158,0.15964052081108093
GRIZZLY,I,22,124,140,165,0.15882503986358643
GRIZZLY,I,21,137,147,169,0.15853893756866455
GRIZZLY,I,23,115,126,158,0.15816353261470795
FLAMINGO,E,19,169,107,142,0.16529476642608643
FLAMINGO,F,19,166,119,148,0.16526876389980316
FLAMINGO,E,18,180,109,144,0.1651282161474228
FLAMINGO,F,18,178,127,153,0.16506202518939972
FLAMINGO,F,17,189,129,153,0.16474539041519165
FOX,H,20,154,142,164,0.16588883101940155
FOX,H,21,142,131,158,0.16572044789791107
FOX,H,19,168,152,171,0.1631404161453247
FOX,H,22,125,121,154,0.16311520338058472
FOX,G,19,167,138,159,0.16244706511497498
CRICKET,H,21,142,131,158,0.16072233021259308
CRICKET,H,22,125,121,154,0.16071324050426483
CRICKET,H,20,154,142,164,0.15938164293766022
CRICKET,I,21,137,147,169,0.15805834531784058
CRICKET,I,22,124,140,165,0.15786950290203094
CANARY,K,4,235,222,79,0.16667592525482178
CANARY,K,3,234,219,71,0.16633060574531555
CANARY,K,2,234,219,67,0.16631361842155457
CANARY,J,5,238,217,81,0.16608846187591553
CANARY,K,5,230,221,85,0.16600888967514038
PIG,G,19,167,138,159,0.1737329363822937
PIG,F,19,166,119,148,0.17287686467170715
PIG,H,19,168,152,171,0.17233902215957642
PIG,H,18,174,159,174,0.17230460047721863
PIG,H,20,154,142,164,0.17185501754283905
TIGER,H,21,142,131,158,0.15995484590530396
TIGER,H,20,154,142,164,0.15962642431259155
TIGER,H,22,125,121,154,0.15803511440753937
TIGER,G,20,152,123,154,0.15710990130901337
TIGER,G,21,142,115,151,0.15670834481716156
LADYBUG,F,19,166,119,148,0.1538201868534088
LADYBUG,C,16,209,65,110,0.1535843163728714
LADYBUG,D,15,206,85,112,0.15349863469600677
LADYBUG,C,15,207,67,99,0.15349414944648743
LADYBUG,D,16,207,85,124,0.1534934937953949
FROG,L,16,146,186,143,0.16831596195697784
FROG,M,16,124,176,121,0.16776734590530396
FROG,M,17,125,177,129,0.16766802966594696
FROG,L,15,147,185,134,0.16757524013519287
FROG,L,14,141,180,124,0.16727446019649506
AXOLOTL,G,19,167,138,159,0.15578052401542664
AXOLOTL,F,19,166,119,148,0.1547941416501999
AXOLOTL,H,15,218,165,158,0.15364238619804382
AXOLOTL,H,21,142,131,158,0.1531711369752884
AXOLOTL,H,20,154,142,164,0.15302060544490814
TOAD,H,21,142,131,158,0.15274685621261597
TOAD,H,22,125,121,154,0.1525680273771286
TOAD,H,20,154,142,164,0.15206947922706604
TOAD,H,23,112,109,149,0.15082958340644836
TOAD,H,14,222,163,143,0.15059679746627808
LEMON,K,4,235,222,79,0.16537639498710632
LEMON,K,2,234,219,67,0.1650700718164444
LEMON,K,3,234,219,71,0.16505424678325653
LEMON,K,5,230,221,85,0.1649806946516037
LEMON,J,5,238,217,81,0.16472570598125458
LIME,N,6,147,183,68,0.18050408363342285
LIME,N,7,130,175,68,0.18050187826156616
LIME,O,4,132,168,64,0.18035638332366943
LIME,N,8,126,173,68,0.18032529950141907
LIME,O,5,126,166,66,0.18017858266830444
