word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,14,220,142,135,0.16322049498558044
SALMON,F,14,217,130,129,0.1628865897655487
SALMON,F,13,213,130,122,0.16234564781188965
SALMON,G,13,221,143,129,0.16227096319198608
SALMON,G,12,223,145,126,0.16110041737556458
WHALE,K,23,111,164,184,0.17440447211265564
WHALE,L,22,112,177,179,0.17435109615325928
WHALE,K,22,119,178,193,0.17424002289772034
WHALE,I,20,148,161,177,0.1740855574607849
WHALE,J,22,123,155,177,0.17408525943756104
GRIZZLY,H,23,112,109,149,0.15966659784317017
GRIZZLY,H,22,125,121,154,0.15960602462291718
GRIZZLY,I,24,103,115,151,0.1595887839794159
GRIZZLY,I,23,115,126,158,0.1593126654624939
GRIZZLY,H,24,105,103,145,0.15912887454032898
FLAMINGO,E,18,180,109,144,0.1656467467546463
FLAMINGO,E,19,169,107,142,0.1654999554157257
FLAMINGO,E,17,190,111,143,0.16543594002723694
FLAMINGO,E,16,205,110,140,0.16521093249320984
FLAMINGO,F,15,218,127,144,0.165128692984581
FOX,H,20,154,142,164,0.16497109830379486
FOX,H,21,142,131,158,0.16466782987117767
FOX,H,19,168,152,171,0.1627371907234192
FOX,H,22,125,121,154,0.16257166862487793
FOX,G,20,152,123,154,0.16221685707569122
CRICKET,M,17,125,177,129,0.15846827626228333
CRICKET,N,18,109,168,114,0.15826661884784698
CRICKET,N,19,111,170,115,0.15817035734653473
CRICKET,O,21,104,165,112,0.15814417600631714
CRICKET,M,16,124,176,121,0.1581302136182785
CANARY,K,4,235,222,79,0.1657058447599411
CANARY,K,2,234,219,67,0.16546857357025146
CANARY,H,21,142,131,158,0.16545571386814117
CANARY,K,3,234,219,71,0.16542057693004608
CANARY,J,5,238,217,81,0.16509965062141418
PIG,G,19,167,138,159,0.1715473234653473
PIG,H,18,174,159,174,0.17133988440036774
PIG,H,19,168,152,171,0.17128705978393555
PIG,H,20,154,142,164,0.17050819098949432
PIG,F,19,166,119,148,0.1704624593257904
TIGER,H,20,154,142,164,0.15717652440071106
TIGER,H,21,142,131,158,0.15690183639526367
TIGER,G,22,127,106,145,0.15605245530605316
TIGER,G,21,142,115,151,0.15595775842666626
TIGER,G,20,152,123,154,0.1555027961730957
LADYBUG,D,15,206,85,112,0.1566343903541565
LADYBUG,D,16,207,85,124,0.15661495923995972
LADYBUG,D,14,207,88,104,0.1562652289867401
LADYBUG,C,15,207,67,99,0.1560724675655365
LADYBUG,N,8,126,173,68,0.15599951148033142
FROG,M,16,124,176,121,0.1696907877922058
FROG,M,17,125,177,129,0.16954918205738068
FROG,N,18,109,168,114,0.16953864693641663
FROG,N,19,111,170,115,0.1694907397031784
FROG,O,21,104,165,112,0.16923263669013977
AXOLOTL,H,21,142,131,158,0.15793871879577637
AXOLOTL,G,19,167,138,159,0.15779376029968262
AXOLOTL,H,20,154,142,164,0.15731671452522278
AXOLOTL,F,19,166,119,148,0.15701426565647125
AXOLOTL,H,22,125,121,154,0.15635201334953308
TOAD,H,21,142,131,158,0.15233996510505676
TOAD,H,20,154,142,164,0.1520734429359436
TOAD,H,23,112,109,149,0.15174691379070282
TOAD,G,22,127,106,145,0.1517384946346283
TOAD,H,24,105,103,145,0.15173742175102234
LEMON,K,4,235,222,79,0.16472236812114716
LEMON,K,5,230,221,85,0.1644422858953476
LEMON,K,3,234,219,71,0.1643790304660797
LEMON,K,2,234,219,67,0.16437292098999023
LEMON,L,4,223,217,68,0.16435401141643524
LIME,N,7,130,175,68,0.17984898388385773
LIME,N,8,126,173,68,0.17971360683441162
LIME,O,4,132,168,64,0.17955519258975983
