,Words,Stat,p-value
0,AMBER,7.057514141248572,0.010666564768224918
1,AMETHYST,0.32197351183699263,0.729305120616837
2,APPLE,5.0758157467218314,0.021992314357181963
3,ASPARAGUS,54.751552155549625,4.103024071611117e-06
4,AUTUMN,2.60572876490407,0.12278515246994137
5,AXOLOTL,4.292287280359888,0.03357175881547636
6,BANANA,2.780449758490635,0.09619987212548975
7,BARBIE,2.3692767907345305,0.13576252765695784
8,BASIL,2.7776871464482857,0.08619409120121024
9,BEET,0.7711311367606629,0.4811678663698713
10,BLAS (Y EPI),56.02824590655564,8.329998331446653e-06
11,BLOOD,2.190566831280041,0.1442557602620218
12,BRICK,6.44901081333727,0.008238629872754588
13,BRUSH,33.668244361628815,2.045771911374228e-05
14,CANARY,3.9320855725090222,0.051481627146210185
15,CARNATION,0.53520991361901,0.5937013913468632
16,COCONUT,17.592079680641863,9.117489292276293e-05
17,COOKIE MONSTER,1.413237666195566,0.28804699486208185
18,CORAL,7.436267149120189,0.004425413550776747
19,CRICKET,3.8526948135970702,0.04644330813597908
20,CUCUMBER,22.022334751487033,3.442145489462867e-05
21,DANGER,1.274749610960671,0.3569682984477447
22,DISGUST,2.4071201780383324,0.12192010793652441
23,ECOLOGY,0.5617750168381015,0.5871957951460429
24,EGG,11.479482940109424,0.001119070821853252
25,EGGPLANT,0.21110282053258253,0.8135882897418721
26,ELMO,6.2803323820339445,0.015157525198336574
27,EMERALD,14.529048059571965,0.00038416030668131373
28,EPI (Y BLAS),13.732953859880443,0.0025889021076335172
29,FEMINISM,23.902788305551876,6.525854469718873e-05
30,FIRE,8.530693431173143,0.0033559629642552213
31,FLAMINGO,1.674375425944082,0.23593744052059495
32,FLASH,50.7729821078746,1.3933404989785458e-06
33,FOX,46.90494911229856,1.1341148364873987e-06
34,FROG,2.4692260670017796,0.11443660860294869
35,GOLD,3.219834207393192,0.063766820358241
36,GRAPE,1.8607644979310005,0.19775104634317908
37,GRASS,1.2466441714879926,0.3099431136151545
38,GRINCH,20.914691950566183,0.0002673743661771866
39,GRIZZLY,18.159783535422218,9.852854345437922e-05
40,HAPINESS,23.598281571616496,4.71428423302056e-05
41,HOPE,7.72926303312173,0.004097519947719119
42,HULK,183.4340554351555,1.009622829784007e-09
43,HURRICANE,3.6626717892537304,0.050663863931515785
44,JADE,1.2474303574693448,0.31372659890873034
45,KIWI,1.1851335517612327,0.34522688855422234
46,LADYBUG,213.79187164651654,1.1335654637179005e-10
47,LAPIS LAZULI,2.6069729297489266,0.0998932912344247
48,LAVENDER,0.4703712303227623,0.6318538355795382
49,LEMON,1.5595651519789864,0.2446382528271751
50,LIME,0.7775712470203177,0.4832153423443387
51,LONELINESS,1.072738484128012,0.3705037288969577
52,MALLOW,0.8253425075313706,0.4634816394325417
53,MINT,20.501505846703115,1.4347862031138803e-05
54,MOSS,39.32524596482511,5.381043279073516e-06
55,MUD,7.313367843190842,0.008378763129496591
56,PEACE,0.5390735662875403,0.5949225240709992
57,PEACH,14.15626439947332,0.00035162754417994435
58,PEARL,0.1854624296047942,0.8321325078583804
59,PETER PAN,96.98998649051528,1.0309720577250658e-07
60,PIG,0.806263757796295,0.46288204281902834
61,PIKACHU,2.9383948956971646,0.09912575910746291
62,POND,9.435875533126017,0.0029409881822999306
63,POPPY,0.7064826944104073,0.5065538537727179
64,PUMPKIN,3.241135789654917,0.0749126898449688
65,RAGE,100.12633951214983,2.1065423849719878e-09
66,RELAX,1.2324476238711146,0.3194769682085472
67,RUBY,2.718113877855333,0.09456756177051351
68,SADNESS,7.130117459654812,0.016681725666812253
69,SALMON,5.244698274911479,0.018749417896525844
70,SAND,8.968839620425136,0.002191878005254444
71,SAPPHIRE,3.023158247043007,0.0835334293366371
72,SEA,11.055668116391248,0.0015675592486315004
73,SHAME,6.863746243681833,0.007041961348432602
74,SHRECK,3.2236243004801644,0.08795513119582232
75,SIMPSON,11.492975943786268,0.0009408314773808879
76,SKIN,33.938974914821465,1.9697172629840054e-05
77,SKY,1.5886574306314418,0.23889624040205437
78,SMURF,0.10152297842006668,0.9042970664140164
79,SONIC,15.905079276192737,0.0001050972200505873
80,SPRING,5.457441136644701,0.01902340187382523
81,STITCH,3.0931115538914993,0.09000619209980065
82,SUBMARINE,6.645643175205055,0.014589238570376306
83,SUMMER,22.469128330867857,2.2586017278891646e-05
84,SUNFLOWER,1.7014249128689003,0.2206257925792393
85,SUNRISE,13.810255289601884,0.0002740137019848765
86,SUNSET,19.666971595308176,0.0003421927887307108
87,THUNDERBOLT,7.2276220193846425,0.006978467299220803
88,TIGER,112.00047884511143,9.609197881843556e-10
89,TILE,28.921515673102274,2.3889738736126986e-06
90,TOAD,51.10719195075035,3.681942996047738e-07
91,TOMATO,11.578283467103603,0.0032462184863875088
92,TOXIC,19.927738995591305,0.0001535746821916817
93,TRACTOR,12.148169921787018,0.0021074686852443625
94,WHALE,3.1393727978645183,0.06637152197872109
95,WHEAT,19.95671133193051,7.961922101873409e-05
96,WINTER,5.918475237910266,0.014876234862091775
97,WITCHCRAFT,5.3317328975690845,0.020376167337294082
98,WOOD,2807.485091725031,1.1102230246251565e-16
99,ZUCCHINI,22.828567105975974,3.91976057483312e-05
