word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,12,223,145,126,0.23508799076080322
SALMON,G,11,225,146,123,0.2347719967365265
SALMON,G,13,221,143,129,0.23453983664512634
SALMON,H,14,222,163,143,0.23395811021327972
SALMON,H,13,224,161,135,0.23338353633880615
WHALE,J,20,146,185,193,0.17854030430316925
WHALE,K,21,130,186,197,0.17835268378257751
WHALE,I,20,148,161,177,0.17801502346992493
WHALE,I,19,164,176,185,0.17779222130775452
WHALE,J,21,134,171,185,0.17766909301280975
GRIZZLY,A,1,82,48,27,0.18536555767059326
GRIZZLY,A,2,90,47,30,0.18435677886009216
GRIZZLY,B,1,115,71,37,0.1830212026834488
GRIZZLY,A,3,99,43,32,0.17922639846801758
GRIZZLY,B,2,128,70,41,0.17815998196601868
FLAMINGO,E,14,217,110,120,0.2184731662273407
FLAMINGO,F,15,218,127,144,0.2183675765991211
FLAMINGO,F,14,217,130,129,0.2178383767604828
FLAMINGO,G,15,222,144,155,0.21715092658996582
FLAMINGO,G,14,220,142,135,0.21645772457122803
FOX,D,6,202,97,45,0.1764450967311859
FOX,D,5,200,104,46,0.17622269690036774
FOX,D,8,205,95,49,0.1758694052696228
FOX,D,4,202,115,45,0.1757848560810089
FOX,D,7,211,99,50,0.17574171721935272
CRICKET,P,4,102,139,65,0.17505428194999695
CRICKET,P,3,107,142,64,0.17500931024551392
CRICKET,O,6,111,158,69,0.17500180006027222
CRICKET,P,5,96,142,67,0.1749284565448761
CRICKET,O,7,106,155,70,0.17492474615573883
CANARY,J,8,226,213,114,0.2332235425710678
CANARY,L,5,226,214,80,0.23250937461853027
CANARY,K,1,222,209,60,0.23244920372962952
CANARY,K,7,221,217,108,0.23136042058467865
CANARY,J,1,224,203,44,0.23129062354564667
PIG,H,15,218,165,158,0.17638657987117767
PIG,G,15,222,144,155,0.17623580992221832
PIG,G,16,206,150,162,0.17506498098373413
PIG,F,15,218,127,144,0.1739875227212906
PIG,H,16,200,164,172,0.17363376915454865
TIGER,F,4,230,160,63,0.18437129259109497
TIGER,F,3,228,158,50,0.18435940146446228
TIGER,F,5,230,158,69,0.184058278799057
TIGER,F,2,230,162,42,0.18400965631008148
TIGER,G,4,234,169,63,0.18378925323486328
LADYBUG,B,14,196,58,67,0.17644789814949036
LADYBUG,B,13,201,60,63,0.1761087328195572
LADYBUG,A,14,203,57,56,0.17588353157043457
LADYBUG,A,13,194,54,46,0.17587026953697205
LADYBUG,A,15,205,59,66,0.1756378710269928
FROG,K,13,175,195,138,0.18683746457099915
FROG,K,12,178,197,132,0.18674050271511078
FROG,K,14,163,183,135,0.18670395016670227
FROG,P,3,107,142,64,0.1865803301334381
FROG,P,2,115,145,62,0.18650218844413757
AXOLOTL,I,21,137,147,169,0.1646955907344818
AXOLOTL,I,20,148,161,177,0.16435754299163818
AXOLOTL,H,17,192,166,175,0.16382452845573425
AXOLOTL,I,16,194,198,180,0.16345705091953278
AXOLOTL,H,15,218,165,158,0.1633293479681015
TOAD,J,14,190,196,156,0.17592169344425201
TOAD,I,15,204,200,166,0.1754876971244812
TOAD,J,13,197,200,155,0.17528489232063293
TOAD,J,15,195,203,165,0.17441055178642273
TOAD,P,4,102,139,65,0.17418362200260162
LEMON,J,8,226,213,114,0.23610791563987732
LEMON,K,7,221,217,108,0.23545660078525543
LEMON,J,9,220,208,118,0.23490163683891296
LEMON,K,6,227,220,95,0.23256714642047882
LEMON,K,8,214,213,110,0.23206007480621338
LIME,K,11,185,201,122,0.22776897251605988
LIME,L,9,174,194,96,0.227420374751091
LIME,K,10,194,204,116,0.22741267085075378
LIME,L,8,185,199,94,0.22719401121139526
LIME,L,10,165,191,101,0.22621329128742218
KIWI,K,12,178,197,132,0.22499632835388184
KIWI,L,11,158,188,108,0.22454924881458282
KIWI,K,11,185,201,122,0.22444012761116028
KIWI,L,10,165,191,101,0.22402173280715942
KIWI,K,13,175,195,138,0.22395312786102295
PUMPKIN,D,3,191,112,45,0.2119109034538269
PUMPKIN,D,4,202,115,45,0.21079789102077484
PUMPKIN,D,2,188,118,47,0.21020019054412842
PUMPKIN,D,5,200,104,46,0.20984391868114471
PUMPKIN,F,8,215,132,84,0.20708885788917542
ZUCCHINI,K,14,163,183,135,0.1867232471704483
ZUCCHINI,K,15,163,188,147,0.18520915508270264
ZUCCHINI,K,13,175,195,138,0.18505913019180298
ZUCCHINI,J,15,195,203,165,0.1844807118177414
ZUCCHINI,L,13,145,178,120,0.18447409570217133
GRAPE,F,25,102,72,124,0.22638647258281708
GRAPE,G,25,94,81,128,0.22609081864356995
GRAPE,G,24,108,89,137,0.2258569896221161
GRAPE,F,24,112,82,132,0.22567570209503174
GRAPE,G,23,118,98,141,0.22543379664421082
CUCUMBER,K,14,163,183,135,0.20725934207439423
CUCUMBER,J,15,195,203,165,0.20721665024757385
CUCUMBER,K,13,175,195,138,0.20678606629371643
CUCUMBER,K,15,163,188,147,0.20671376585960388
CUCUMBER,K,12,178,197,132,0.20519641041755676
COCONUT,I,13,207,190,146,0.19534915685653687
COCONUT,I,15,204,200,166,0.1946796178817749
COCONUT,I,14,209,200,158,0.19445759057998657
COCONUT,I,12,220,198,142,0.1920899897813797
COCONUT,B,1,115,71,37,0.19157886505126953
EGGPLANT,F,25,102,72,124,0.22214454412460327
EGGPLANT,G,25,94,81,128,0.22153106331825256
EGGPLANT,E,25,106,67,121,0.2208442986011505
EGGPLANT,A,30,97,59,117,0.2208038717508316
EGGPLANT,D,25,109,64,118,0.2199978083372116
ASPARAGUS,J,14,190,196,156,0.20102660357952118
ASPARAGUS,J,13,197,200,155,0.20024605095386505
ASPARAGUS,J,15,195,203,165,0.19997432827949524
ASPARAGUS,J,12,203,205,152,0.19754637777805328
ASPARAGUS,I,15,204,200,166,0.19662508368492126
PEACH,H,13,224,161,135,0.24595379829406738
PEACH,H,14,222,163,143,0.24508966505527496
PEACH,H,12,227,160,127,0.24488723278045654
PEACH,H,11,230,159,119,0.24228301644325256
PEACH,G,11,225,146,123,0.24091920256614685
APPLE,C,12,210,78,76,0.18807819485664368
APPLE,C,11,211,78,73,0.18797585368156433
APPLE,D,11,208,96,88,0.18767067790031433
APPLE,D,12,207,96,91,0.18766272068023682
APPLE,C,10,213,78,66,0.18718424439430237
EGG,J,7,238,220,101,0.17453357577323914
EGG,J,8,226,213,114,0.1744585484266281
EGG,J,6,240,218,93,0.1733694225549698
EGG,I,10,228,200,119,0.1730489432811737
EGG,I,9,231,195,106,0.17233213782310486
BANANA,J,8,226,213,114,0.2092907726764679
BANANA,J,7,238,220,101,0.20743557810783386
BANANA,J,9,220,208,118,0.2067529559135437
BANANA,K,6,227,220,95,0.20618802309036255
BANANA,J,6,240,218,93,0.20588946342468262
TOMATO,B,7,183,61,45,0.22257713973522186
TOMATO,B,6,171,61,45,0.22157496213912964
TOMATO,B,8,196,61,46,0.22071358561515808
TOMATO,A,9,192,58,44,0.22056043148040771
TOMATO,B,9,202,63,44,0.22043642401695251
BEET,A,18,192,50,97,0.19926321506500244
BEET,A,17,197,53,86,0.19874358177185059
BEET,B,19,190,61,118,0.19747665524482727
BEET,C,15,207,67,99,0.19736889004707336
BEET,B,20,179,66,121,0.19733986258506775
PEARL,I,15,204,200,166,0.20290571451187134
PEARL,H,14,222,163,143,0.20154859125614166
PEARL,I,14,209,200,158,0.20105841755867004
PEARL,H,15,218,165,158,0.200959712266922
PEARL,H,13,224,161,135,0.19983580708503723
AMETHYST,H,20,154,142,164,0.2290588915348053
AMETHYST,H,19,168,152,171,0.22882184386253357
AMETHYST,H,18,174,159,174,0.2284245789051056
AMETHYST,H,21,142,131,158,0.2280827760696411
AMETHYST,G,19,167,138,159,0.22750847041606903
SAPPHIRE,K,30,65,82,135,0.22758355736732483
SAPPHIRE,K,29,68,88,139,0.22742268443107605
SAPPHIRE,L,30,66,90,141,0.22714738547801971
SAPPHIRE,J,28,70,87,138,0.2271386682987213
SAPPHIRE,K,28,68,91,135,0.2269970327615738
GOLD,I,13,207,190,146,0.22671297192573547
GOLD,D,1,175,118,47,0.2237984538078308
GOLD,I,12,220,198,142,0.22294992208480835
GOLD,I,11,225,195,128,0.2220960557460785
GOLD,E,1,203,141,42,0.22191834449768066
RUBY,A,5,124,45,38,0.22053375840187073
RUBY,A,6,130,45,39,0.22019022703170776
RUBY,A,4,109,44,35,0.21973685920238495
RUBY,A,7,143,48,41,0.21793416142463684
RUBY,A,3,99,43,32,0.21644268929958344
JADE,L,20,134,188,172,0.22177407145500183
JADE,K,18,171,200,179,0.22159764170646667
JADE,L,19,140,190,165,0.22157220542430878
JADE,K,17,170,199,174,0.2211594581604004
JADE,K,19,156,197,185,0.22090595960617065
TILE,I,18,191,193,194,0.18923038244247437
TILE,J,25,91,118,155,0.1890157163143158
TILE,K,26,85,118,157,0.18881186842918396
TILE,I,30,48,65,124,0.18877598643302917
TILE,K,27,77,109,149,0.1887749582529068
LAPIS LAZULI,K,30,65,82,135,0.21277305483818054
LAPIS LAZULI,J,30,59,68,123,0.21275484561920166
LAPIS LAZULI,J,28,70,87,138,0.21265888214111328
LAPIS LAZULI,K,29,68,88,139,0.21260569989681244
LAPIS LAZULI,J,27,77,95,143,0.2117496281862259
AMBER,D,2,188,118,47,0.21919861435890198
AMBER,D,1,175,118,47,0.21905472874641418
AMBER,E,1,203,141,42,0.2180730402469635
AMBER,C,1,143,92,43,0.21663875877857208
AMBER,C,2,150,87,44,0.216184601187706
BRICK,A,4,109,44,35,0.224688321352005
BRICK,B,4,150,70,45,0.22453570365905762
BRICK,A,3,99,43,32,0.22353491187095642
BRICK,B,5,158,65,44,0.22268441319465637
BRICK,B,3,136,67,39,0.2225353717803955
EMERALD,P,10,65,118,66,0.2281976044178009
EMERALD,P,11,63,120,66,0.22813871502876282
EMERALD,P,25,85,160,130,0.2275570183992386
EMERALD,P,12,67,127,70,0.22750096023082733
EMERALD,P,26,83,161,137,0.22734783589839935
SUNFLOWER,I,9,231,195,106,0.20961862802505493
SUNFLOWER,I,10,228,200,119,0.20924943685531616
SUNFLOWER,I,6,234,202,91,0.20922231674194336
SUNFLOWER,I,8,235,194,96,0.2080356627702713
SUNFLOWER,I,7,237,198,90,0.20772182941436768
BASIL,K,14,163,183,135,0.20336446166038513
BASIL,J,16,187,201,178,0.20325523614883423
BASIL,K,15,163,188,147,0.20313557982444763
BASIL,J,14,190,196,156,0.202068030834198
BASIL,J,15,195,203,165,0.20195135474205017
MALLOW,H,17,192,166,175,0.21005581319332123
MALLOW,H,16,200,164,172,0.20974215865135193
MALLOW,G,17,192,152,164,0.209284707903862
MALLOW,G,18,185,148,162,0.2088012844324112
MALLOW,G,16,206,150,162,0.206339493393898
LAVENDER,H,19,168,152,171,0.23849782347679138
LAVENDER,H,18,174,159,174,0.2383800745010376
LAVENDER,H,20,154,142,164,0.23762381076812744
LAVENDER,H,21,142,131,158,0.235122948884964
LAVENDER,G,19,167,138,159,0.23221006989479065
POPPY,D,12,207,96,91,0.21106725931167603
POPPY,D,11,208,96,88,0.2110445201396942
POPPY,D,13,203,89,93,0.2103637456893921
POPPY,D,10,209,93,76,0.21034640073776245
POPPY,C,12,210,78,76,0.20967750251293182
WHEAT,I,13,207,190,146,0.2294197529554367
WHEAT,I,12,220,198,142,0.2265908271074295
WHEAT,I,11,225,195,128,0.2240646779537201
WHEAT,I,14,209,200,158,0.22105643153190613
WHEAT,I,10,228,200,119,0.2156354784965515
CARNATION,H,15,218,165,158,0.22599250078201294
CARNATION,G,15,222,144,155,0.2253820151090622
CARNATION,G,16,206,150,162,0.2244054675102234
CARNATION,F,14,217,130,129,0.2243722379207611
CARNATION,G,14,220,142,135,0.22395727038383484
CORAL,F,12,219,133,119,0.24660106003284454
CORAL,G,13,221,143,129,0.24578779935836792
CORAL,G,12,223,145,126,0.24557889997959137
CORAL,F,11,223,134,112,0.2451695203781128
CORAL,E,12,211,111,104,0.24471914768218994
MINT,K,18,171,200,179,0.240586519241333
MINT,K,17,170,199,174,0.2398737221956253
MINT,L,19,140,190,165,0.23706978559494019
MINT,K,19,156,197,185,0.23698690533638
MINT,L,18,147,191,160,0.23690204322338104
WOOD,B,1,115,71,37,0.19357319176197052
WOOD,I,13,207,190,146,0.19318275153636932
WOOD,A,1,82,48,27,0.1915324181318283
WOOD,C,1,143,92,43,0.19071432948112488
WOOD,A,2,90,47,30,0.1895238310098648
HURRICANE,I,20,148,161,177,0.1678236722946167
HURRICANE,L,27,77,112,147,0.1676255613565445
HURRICANE,I,22,124,140,165,0.1665622442960739
HURRICANE,I,19,164,176,185,0.16655008494853973
HURRICANE,K,27,77,109,149,0.16650307178497314
SKIN,H,14,222,163,143,0.1969708949327469
SKIN,H,13,224,161,135,0.19570355117321014
SKIN,H,15,218,165,158,0.1939881443977356
SKIN,H,12,227,160,127,0.1932298243045807
SKIN,H,11,230,159,119,0.19013464450836182
FIRE,C,9,210,75,50,0.19517174363136292
FIRE,C,8,205,72,45,0.19514445960521698
FIRE,C,7,199,74,46,0.19500072300434113
FIRE,B,9,202,63,44,0.19448880851268768
FIRE,B,10,206,66,49,0.19408085942268372
SAND,I,13,207,190,146,0.22800560295581818
SAND,I,14,209,200,158,0.22293183207511902
SAND,I,15,204,200,166,0.22077184915542603
SAND,I,12,220,198,142,0.21771599352359772
SAND,I,11,225,195,128,0.21080359816551208
SEA,J,19,165,194,195,0.20269647240638733
SEA,K,20,144,191,190,0.2026900053024292
SEA,J,20,146,185,193,0.202025905251503
SEA,L,22,112,177,179,0.20122407376766205
SEA,K,21,130,186,197,0.2007751166820526
MUD,B,1,115,71,37,0.20276281237602234
MUD,A,1,82,48,27,0.20132705569267273
MUD,A,2,90,47,30,0.20093263685703278
MUD,B,2,128,70,41,0.19776298105716705
MUD,C,1,143,92,43,0.19752714037895203
GRASS,J,15,195,203,165,0.20248493552207947
GRASS,J,14,190,196,156,0.20237721502780914
GRASS,P,4,102,139,65,0.20221266150474548
GRASS,K,14,163,183,135,0.20216922461986542
GRASS,P,3,107,142,64,0.20151174068450928
POND,J,19,165,194,195,0.18684282898902893
POND,J,21,134,171,185,0.18634185194969177
POND,J,20,146,185,193,0.1862223893404007
POND,J,18,180,202,194,0.18559768795967102
POND,J,22,123,155,177,0.18550236523151398
