word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.20965108275413513
SALMON,F,11,223,134,112,0.20944082736968994
SALMON,G,11,225,146,123,0.2074379026889801
SALMON,G,12,223,145,126,0.20686261355876923
SALMON,E,11,211,117,103,0.2058071345090866
WHALE,J,19,165,194,195,0.21220168471336365
WHALE,J,20,146,185,193,0.2069539725780487
WHALE,J,21,134,171,185,0.20125816762447357
WHALE,N,27,77,147,166,0.19738683104515076
WHALE,K,23,111,164,184,0.1972758173942566
GRIZZLY,C,1,143,92,43,0.16917677223682404
GRIZZLY,J,19,165,194,195,0.1683507114648819
GRIZZLY,D,1,175,118,47,0.16784244775772095
GRIZZLY,B,1,115,71,37,0.1674785614013672
GRIZZLY,A,1,82,48,27,0.16553884744644165
FLAMINGO,E,15,214,104,131,0.20617681741714478
FLAMINGO,F,15,218,127,144,0.20438136160373688
FLAMINGO,D,15,206,85,112,0.20386642217636108
FLAMINGO,E,14,217,110,120,0.2036614716053009
FLAMINGO,G,15,222,144,155,0.20307914912700653
FOX,O,29,75,143,168,0.18073056638240814
FOX,M,27,75,130,160,0.1802986115217209
FOX,O,30,75,135,167,0.18002933263778687
FOX,D,7,211,99,50,0.1799960732460022
FOX,C,8,205,72,45,0.17943808436393738
CRICKET,N,1,180,193,51,0.20639964938163757
CRICKET,N,2,178,191,54,0.20600828528404236
CRICKET,N,3,170,189,58,0.20526853203773499
CRICKET,M,3,206,206,55,0.20496827363967896
CRICKET,M,4,202,207,62,0.20479333400726318
CANARY,L,1,229,216,45,0.23568256199359894
CANARY,L,2,228,217,53,0.23524987697601318
CANARY,K,2,234,219,67,0.2347266674041748
CANARY,L,3,227,217,60,0.23438090085983276
CANARY,K,3,234,219,71,0.23430795967578888
PIG,G,15,222,144,155,0.19332650303840637
PIG,I,18,191,193,194,0.19323670864105225
PIG,H,15,218,165,158,0.19279496371746063
PIG,F,15,218,127,144,0.192624032497406
PIG,G,16,206,150,162,0.19207195937633514
TIGER,E,2,217,140,41,0.19572705030441284
TIGER,E,3,223,136,44,0.19544565677642822
TIGER,E,4,218,131,42,0.19499839842319489
TIGER,F,5,230,158,69,0.19440415501594543
TIGER,F,4,230,160,63,0.19374462962150574
LADYBUG,A,10,205,61,45,0.18196916580200195
LADYBUG,A,11,205,61,45,0.18196916580200195
LADYBUG,A,12,195,57,41,0.18179084360599518
LADYBUG,A,13,194,54,46,0.18157438933849335
LADYBUG,A,9,192,58,44,0.1811545491218567
FROG,M,10,139,180,87,0.18709272146224976
FROG,M,9,145,182,83,0.18653269112110138
FROG,L,11,158,188,108,0.18617083132266998
FROG,L,10,165,191,101,0.18605175614356995
FROG,M,8,158,189,81,0.18586862087249756
AXOLOTL,G,15,222,144,155,0.16833460330963135
AXOLOTL,F,15,218,127,144,0.1681291162967682
AXOLOTL,E,14,217,110,120,0.16660752892494202
AXOLOTL,E,15,214,104,131,0.16510125994682312
AXOLOTL,H,17,192,166,175,0.16436439752578735
TOAD,I,18,191,193,194,0.16155752539634705
TOAD,D,1,175,118,47,0.15367284417152405
TOAD,J,19,165,194,195,0.15363460779190063
TOAD,J,20,146,185,193,0.15310542285442352
TOAD,I,15,204,200,166,0.15303699672222137
LEMON,M,1,211,207,48,0.24386121332645416
LEMON,L,2,228,217,53,0.24356383085250854
LEMON,L,1,229,216,45,0.24338051676750183
LEMON,L,3,227,217,60,0.24328845739364624
LEMON,L,4,223,217,68,0.24328717589378357
LIME,M,6,182,198,73,0.2795344591140747
LIME,N,1,180,193,51,0.2794792056083679
LIME,M,5,194,204,68,0.2791527509689331
LIME,N,3,170,189,58,0.27893105149269104
LIME,M,7,171,194,77,0.27886128425598145
KIWI,M,8,158,189,81,0.22565975785255432
KIWI,M,7,171,194,77,0.22562472522258759
KIWI,N,4,161,186,60,0.22537854313850403
KIWI,N,5,154,184,62,0.22529220581054688
KIWI,N,3,170,189,58,0.22505611181259155
PUMPKIN,E,3,223,136,44,0.22935715317726135
PUMPKIN,E,4,218,131,42,0.22881437838077545
PUMPKIN,E,5,217,125,46,0.22660571336746216
PUMPKIN,E,2,217,140,41,0.2250358909368515
PUMPKIN,E,6,213,114,50,0.22332444787025452
ZUCCHINI,P,3,107,142,64,0.18083670735359192
ZUCCHINI,M,11,128,174,91,0.18079940974712372
ZUCCHINI,O,6,111,158,69,0.1807207614183426
ZUCCHINI,O,7,106,155,70,0.18051767349243164
ZUCCHINI,P,4,102,139,65,0.18048366904258728
GRAPE,B,27,111,59,115,0.2291797399520874
GRAPE,A,25,131,58,113,0.22892490029335022
GRAPE,A,26,124,59,119,0.22883541882038116
GRAPE,B,26,122,62,121,0.2286427766084671
GRAPE,B,25,130,64,121,0.22862134873867035
CUCUMBER,N,9,116,167,70,0.17955195903778076
CUCUMBER,N,10,106,159,69,0.17922785878181458
CUCUMBER,N,8,126,173,68,0.17880398035049438
CUCUMBER,N,11,100,157,71,0.1787581443786621
CUCUMBER,M,11,128,174,91,0.17868833243846893
COCONUT,J,19,165,194,195,0.19581089913845062
COCONUT,J,18,180,202,194,0.1945500373840332
COCONUT,B,3,136,67,39,0.19326218962669373
COCONUT,K,20,144,191,190,0.1932271271944046
COCONUT,C,3,164,89,46,0.1926984339952469
EGGPLANT,A,30,97,59,117,0.21686288714408875
EGGPLANT,B,27,111,59,115,0.21641366183757782
EGGPLANT,D,25,109,64,118,0.21636244654655457
EGGPLANT,C,27,105,59,118,0.21633930504322052
EGGPLANT,D,28,91,56,119,0.21622911095619202
ASPARAGUS,P,2,115,145,62,0.19437234103679657
ASPARAGUS,P,1,112,140,60,0.19411788880825043
ASPARAGUS,O,1,147,170,59,0.1932990849018097
ASPARAGUS,O,2,144,170,60,0.19318030774593353
ASPARAGUS,O,3,139,168,60,0.19313757121562958
PEACH,G,10,227,147,113,0.25082695484161377
PEACH,H,10,235,159,109,0.24991263449192047
PEACH,H,11,230,159,119,0.2478349655866623
PEACH,F,10,220,130,98,0.24699047207832336
PEACH,G,11,225,146,123,0.24687322974205017
APPLE,N,7,130,175,68,0.19950377941131592
APPLE,N,8,126,173,68,0.19947879016399384
APPLE,N,6,147,183,68,0.1991613656282425
APPLE,N,5,154,184,62,0.1987822949886322
APPLE,N,9,116,167,70,0.19870701432228088
EGG,P,2,115,145,62,0.21426162123680115
EGG,P,1,112,140,60,0.21392428874969482
EGG,O,3,139,168,60,0.21374760568141937
EGG,O,4,132,168,64,0.21359126269817352
EGG,O,5,126,166,66,0.21351732313632965
BANANA,M,1,211,207,48,0.2095632255077362
BANANA,L,5,226,214,80,0.20911633968353271
BANANA,K,1,222,209,60,0.20910343527793884
BANANA,M,2,208,206,51,0.2090795338153839
BANANA,J,6,240,218,93,0.20893029868602753
TOMATO,B,9,202,63,44,0.22442218661308289
TOMATO,C,8,205,72,45,0.2239028960466385
TOMATO,B,10,206,66,49,0.22352613508701324
TOMATO,B,8,196,61,46,0.22350384294986725
TOMATO,C,9,210,75,50,0.2234789878129959
BEET,A,20,175,49,110,0.23745597898960114
