,Words,Stat,p-value
0,AMBER,0.874360645345977,0.44421510387597773
1,AMETHYST,1.8787992460413685,0.1849637477635374
2,APPLE,3.1988825568084214,0.07174937868258424
3,ASPARAGUS,6.5400176734569975,0.015269248109223255
4,AUTUMN,1.7629320002917526,0.2208894216498104
5,AXOLOTL,2.954815555121743,0.08281073899685643
6,BANANA,4.311589607284672,0.034755280551567846
7,BARBIE,0.6370308488915485,0.5458389022191175
8,BASIL,0.9735533759175393,0.39493642978325916
9,BEET,1.2711864605997996,0.3109650641284759
10,BLAS (Y EPI),2.5292239922865773,0.1343918987260716
11,BLOOD,0.013034316567672009,0.9870607317805122
12,BRICK,0.019034515726935694,0.9811663764452728
13,BRUSH,31.703170581766354,2.71522014934078e-05
14,CANARY,1.109039136530287,0.3641111784640647
15,CARNATION,0.5939968710154723,0.5615670229918619
16,COCONUT,77.63690593487499,5.800055546956173e-09
17,COOKIE MONSTER,10.61870278065554,0.0033622129706857296
18,CORAL,1.9567501628925366,0.17023417666002882
19,CRICKET,3.5784481282878087,0.055556202770638996
20,CUCUMBER,3.048791350204225,0.07743533977005346
21,DANGER,2.7557557029553337,0.15604939746441804
22,DISGUST,0.36541942139463185,0.6995489895044007
23,ECOLOGY,0.4587971658602649,0.6447112293948605
24,EGG,8.594220697099539,0.003672320238974569
25,EGGPLANT,2.1664315140397963,0.17058306508071341
26,ELMO,5.632319791990714,0.02069062395070309
27,EMERALD,5.941889694364556,0.01354261157918224
28,EPI (Y BLAS),6.8039336082849635,0.018789375182959867
29,FEMINISM,26.353186667100097,4.0682264716651595e-05
30,FIRE,1.46763399561141,0.2617432046014758
31,FLAMINGO,2.695643300915251,0.11577782152992344
32,FLASH,1.9262296552626015,0.1881514603629022
33,FOX,3.6761384115075706,0.05428093037547821
34,FROG,1.20982207154117,0.32267480702304363
35,GOLD,1.7222725576758249,0.20682403215809542
36,GRAPE,1.9616078667897012,0.18319043821134406
37,GRASS,0.47052917904324254,0.6317587512616467
38,GRINCH,7.48598731222111,0.010297589500403936
39,GRIZZLY,0.6949888648581573,0.5144541997609098
40,HAPINESS,3.2035879481494147,0.07393950970003316
41,HOPE,0.46286742827713695,0.6371792148083071
42,HULK,8.223205033816372,0.005635373151023804
43,HURRICANE,6.423212404510473,0.009658587341028091
44,JADE,0.7225631419958937,0.5006876973667083
45,KIWI,0.6865311334929657,0.5255486387376697
46,LADYBUG,2.520967069303025,0.11879322829469663
47,LAPIS LAZULI,3.7427800437871594,0.042615950193761964
48,LAVENDER,1.0573844321718378,0.3669349314578374
49,LEMON,3.4080451496215645,0.062244661221303454
50,LIME,2.59782152371753,0.11911588684885688
51,LONELINESS,0.7633171411505438,0.48591384156995354
52,MALLOW,25.064029571317686,8.004540947625927e-05
53,MINT,12.418936909705797,0.0003117811480811694
54,MOSS,8.207585504569007,0.005672647952263188
55,MUD,7.494823105692889,0.007725103840793501
56,PEACE,3.0628260823949636,0.07882182983842834
57,PEACH,8.758802628454351,0.0030185285140382767
58,PEARL,0.04797979653756497,0.9532624112964548
59,PETER PAN,1.0894311037364068,0.3701103445063061
60,PIG,15.533074058829776,0.00014560678346509093
61,PIKACHU,2.568916335137239,0.12580024828732472
62,POND,14.126898851469766,0.0005496879480425543
63,POPPY,2.0500966560595386,0.15772040853897795
64,PUMPKIN,1.5555392593508257,0.25079259139468535
65,RAGE,5.138855026583191,0.019959583890171273
66,RELAX,2.719701264211179,0.09821390255743612
67,RUBY,2.98894046123567,0.07721133270513392
68,SADNESS,7.335062995177637,0.015507586524297734
69,SALMON,0.6256141063782553,0.5483249718043297
70,SAND,11.050264701018564,0.0008419056273222258
71,SAPPHIRE,3.2032349136383056,0.07395699745230488
72,SEA,7.202127223667479,0.00784900935538535
73,SHAME,2.6893461919709316,0.09842620826955162
74,SHRECK,0.8443819163496149,0.46123008311754465
75,SIMPSON,2.082990093089972,0.15911154089629098
76,SKIN,2.3482473840756546,0.14149628268853132
77,SKY,4.794631442500702,0.02593556166616695
78,SMURF,0.5122467677302192,0.6127628193978112
79,SONIC,10.984244393134224,0.0007620667187373531
80,SPRING,2.343060436416167,0.1352134713990285
81,STITCH,4.035746393698883,0.05188357059318971
82,SUBMARINE,1.9772273138860483,0.18898862285415285
83,SUMMER,9.170341752655764,0.002220692273704472
84,SUNFLOWER,1.252437513462784,0.31811784702735324
85,SUNRISE,0.7577377374704634,0.48391540079041173
86,SUNSET,0.9135630432188196,0.43211950131396837
87,THUNDERBOLT,0.43841319360582615,0.653618274353515
88,TIGER,13.380099272937214,0.0004623440593499728
89,TILE,27.22278807082361,3.6086578789618073e-06
90,TOAD,0.4674932036791718,0.636007779672694
91,TOMATO,1.0113792761500533,0.40159192079055184
92,TOXIC,1.240919483105672,0.3237018583158856
93,TRACTOR,18.73907983512904,0.000414505804668841
94,WHALE,10.34134241036443,0.0009150593363210779
95,WHEAT,19.87937848343722,8.123659694370122e-05
96,WINTER,19.96112964271415,0.00010888858257518397
97,WITCHCRAFT,0.7394159229144514,0.4964367020351317
98,WOOD,1.8423677888323005,0.18870832382998737
99,ZUCCHINI,4.1153273941184185,0.03928533552422819
