word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,10,220,130,98,0.21444207429885864
SALMON,E,10,215,114,90,0.21431267261505127
SALMON,F,9,219,128,88,0.2137487232685089
SALMON,G,10,227,147,113,0.21340411901474
SALMON,G,9,225,149,105,0.21323636174201965
WHALE,K,19,156,197,185,0.21056321263313293
WHALE,J,18,180,202,194,0.2101818323135376
WHALE,J,17,181,202,191,0.21004626154899597
WHALE,H,27,76,80,134,0.20986348390579224
WHALE,H,26,84,86,138,0.209844708442688
GRIZZLY,B,1,115,71,37,0.19497838616371155
GRIZZLY,A,1,82,48,27,0.194077268242836
GRIZZLY,K,28,68,91,135,0.1938067078590393
GRIZZLY,C,1,143,92,43,0.19362841546535492
GRIZZLY,K,30,65,82,135,0.1936032474040985
FLAMINGO,D,15,206,85,112,0.21440944075584412
FLAMINGO,D,14,207,88,104,0.21426048874855042
FLAMINGO,E,15,214,104,131,0.21400511264801025
FLAMINGO,D,16,207,85,124,0.2137363851070404
FLAMINGO,E,16,205,110,140,0.2135627418756485
FOX,E,9,212,109,77,0.20300307869911194
FOX,E,8,211,105,66,0.2024138867855072
FOX,E,7,212,113,63,0.20194697380065918
FOX,D,9,206,89,63,0.20162194967269897
FOX,D,10,209,93,76,0.20136865973472595
CRICKET,J,13,197,200,155,0.2057570517063141
CRICKET,J,12,203,205,152,0.20543408393859863
CRICKET,J,14,190,196,156,0.20531585812568665
CRICKET,J,15,195,203,165,0.20526649057865143
CRICKET,K,9,204,207,111,0.2048788070678711
CANARY,L,1,229,216,45,0.2416069507598877
CANARY,L,2,228,217,53,0.2411973476409912
CANARY,J,1,224,203,44,0.24112629890441895
CANARY,K,1,222,209,60,0.24085396528244019
CANARY,L,3,227,217,60,0.24074777960777283
PIG,F,16,202,130,150,0.20700976252555847
PIG,F,17,189,129,153,0.20675909519195557
PIG,F,15,218,127,144,0.20668014883995056
PIG,G,15,222,144,155,0.20654863119125366
PIG,G,16,206,150,162,0.20654818415641785
TIGER,K,22,119,178,193,0.1913854479789734
TIGER,K,21,130,186,197,0.19136756658554077
TIGER,F,4,230,160,63,0.19124439358711243
TIGER,K,23,111,164,184,0.19121579825878143
TIGER,L,24,96,164,187,0.19113002717494965
LADYBUG,G,16,206,150,162,0.19578208029270172
LADYBUG,D,12,207,96,91,0.19542405009269714
LADYBUG,F,16,202,130,150,0.1953526735305786
LADYBUG,G,15,222,144,155,0.19521576166152954
LADYBUG,D,13,203,89,93,0.19517715275287628
FROG,P,1,112,140,60,0.20557665824890137
FROG,O,21,104,165,112,0.20547182857990265
FROG,N,18,109,168,114,0.205162912607193
FROG,O,22,100,163,117,0.20510351657867432
FROG,N,19,111,170,115,0.20468884706497192
AXOLOTL,K,19,156,197,185,0.2114635407924652
AXOLOTL,H,17,192,166,175,0.21114972233772278
AXOLOTL,L,20,134,188,172,0.2107807993888855
AXOLOTL,G,16,206,150,162,0.21074461936950684
AXOLOTL,K,20,144,191,190,0.21066828072071075
TOAD,G,22,127,106,145,0.19062191247940063
TOAD,H,25,90,92,138,0.19057849049568176
TOAD,H,21,142,131,158,0.19016510248184204
TOAD,H,26,84,86,138,0.19014999270439148
TOAD,N,29,75,128,163,0.1900428831577301
LEMON,L,2,228,217,53,0.2322004735469818
