word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,13,221,143,129,0.15398037433624268
SALMON,G,12,223,145,126,0.15394388139247894
SALMON,G,11,225,146,123,0.15369156002998352
SALMON,F,12,219,133,119,0.15340667963027954
SALMON,F,11,223,134,112,0.15314413607120514
WHALE,K,20,144,191,190,0.17025645077228546
WHALE,K,21,130,186,197,0.16948001086711884
WHALE,L,22,112,177,179,0.16928087174892426
WHALE,J,20,146,185,193,0.16923090815544128
WHALE,L,21,122,182,175,0.16891315579414368
GRIZZLY,I,9,231,195,106,0.13755927979946136
GRIZZLY,I,8,235,194,96,0.13732507824897766
GRIZZLY,A,1,82,48,27,0.1372699737548828
GRIZZLY,J,16,187,201,178,0.13717009127140045
GRIZZLY,I,11,225,195,128,0.13712936639785767
FLAMINGO,E,15,214,104,131,0.1647319197654724
FLAMINGO,E,14,217,110,120,0.16435420513153076
FLAMINGO,F,15,218,127,144,0.1642964780330658
FLAMINGO,E,16,205,110,140,0.16400590538978577
FLAMINGO,E,13,211,112,112,0.16354556381702423
FOX,F,4,230,160,63,0.15720728039741516
FOX,G,4,234,169,63,0.15720528364181519
FOX,G,3,235,169,52,0.15713311731815338
FOX,F,5,230,158,69,0.15710517764091492
FOX,F,3,228,158,50,0.15705183148384094
CRICKET,K,15,163,188,147,0.1517118215560913
CRICKET,K,14,163,183,135,0.15047495067119598
CRICKET,K,13,175,195,138,0.15010538697242737
CRICKET,J,15,195,203,165,0.1498415172100067
CRICKET,K,12,178,197,132,0.14972452819347382
CANARY,K,5,230,221,85,0.19034768640995026
CANARY,K,6,227,220,95,0.19026291370391846
CANARY,L,4,223,217,68,0.19020336866378784
CANARY,M,1,211,207,48,0.19017472863197327
CANARY,L,6,215,214,82,0.19009365141391754
PIG,G,17,192,152,164,0.17096593976020813
PIG,G,18,185,148,162,0.17088797688484192
PIG,F,17,189,129,153,0.1699894368648529
PIG,H,16,200,164,172,0.16987480223178864
PIG,G,16,206,150,162,0.16978707909584045
TIGER,G,2,233,174,50,0.14519910514354706
TIGER,G,3,235,169,52,0.14513221383094788
TIGER,G,4,234,169,63,0.1450408697128296
TIGER,H,3,237,186,58,0.1447915881872177
TIGER,H,4,237,185,68,0.14473393559455872
LADYBUG,E,15,214,104,131,0.15272796154022217
LADYBUG,D,15,206,85,112,0.15255916118621826
LADYBUG,D,16,207,85,124,0.15230195224285126
LADYBUG,E,16,205,110,140,0.1522640734910965
LADYBUG,D,14,207,88,104,0.1522301882505417
FROG,K,15,163,188,147,0.1556185483932495
FROG,K,14,163,183,135,0.15458929538726807
FROG,L,15,147,185,134,0.1543014943599701
FROG,L,16,146,186,143,0.15375959873199463
FROG,L,13,145,178,120,0.1537400335073471
AXOLOTL,H,16,200,164,172,0.1427425593137741
AXOLOTL,G,18,185,148,162,0.142740398645401
AXOLOTL,H,17,192,166,175,0.14269903302192688
AXOLOTL,H,18,174,159,174,0.14269126951694489
AXOLOTL,G,17,192,152,164,0.1424112319946289
TOAD,J,15,195,203,165,0.1306351125240326
TOAD,I,15,204,200,166,0.13061970472335815
TOAD,J,14,190,196,156,0.13040387630462646
TOAD,J,13,197,200,155,0.13012707233428955
TOAD,J,12,203,205,152,0.12963652610778809
LEMON,M,3,206,206,55,0.1796601116657257
LEMON,M,2,208,206,51,0.179598867893219
LEMON,M,1,211,207,48,0.17935572564601898
LEMON,M,4,202,207,62,0.17908839881420135
LEMON,L,6,215,214,82,0.17901062965393066
LIME,M,8,158,189,81,0.18426308035850525
LIME,N,6,147,183,68,0.1840798258781433
LIME,M,9,145,182,83,0.18386898934841156
LIME,L,11,158,188,108,0.18379944562911987
LIME,L,10,165,191,101,0.18377655744552612
