word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,H,15,218,165,158,0.14753344655036926
SALMON,G,14,220,142,135,0.14701148867607117
SALMON,H,14,222,163,143,0.1468023806810379
SALMON,G,13,221,143,129,0.1461832970380783
SALMON,F,14,217,130,129,0.14618054032325745
WHALE,K,20,144,191,190,0.16732895374298096
WHALE,K,19,156,197,185,0.1666330099105835
WHALE,L,22,112,177,179,0.16652175784111023
WHALE,L,21,122,182,175,0.1663963496685028
WHALE,M,23,103,174,165,0.16616953909397125
GRIZZLY,J,16,187,201,178,0.1400226354598999
GRIZZLY,I,15,204,200,166,0.1397964060306549
GRIZZLY,I,13,207,190,146,0.13956095278263092
GRIZZLY,I,14,209,200,158,0.13951259851455688
GRIZZLY,I,12,220,198,142,0.13936904072761536
FLAMINGO,E,17,190,111,143,0.16129499673843384
FLAMINGO,E,16,205,110,140,0.16126178205013275
FLAMINGO,E,15,214,104,131,0.1604505181312561
FLAMINGO,F,16,202,130,150,0.16039645671844482
FLAMINGO,E,18,180,109,144,0.16024070978164673
FOX,G,3,235,169,52,0.15622083842754364
FOX,G,4,234,169,63,0.15617825090885162
FOX,F,3,228,158,50,0.15603333711624146
FOX,F,2,230,162,42,0.1560293585062027
FOX,F,4,230,160,63,0.1560181826353073
CRICKET,K,15,163,188,147,0.15190522372722626
CRICKET,J,16,187,201,178,0.15131089091300964
CRICKET,K,16,170,198,166,0.1505367010831833
CRICKET,K,14,163,183,135,0.15046477317810059
CRICKET,K,13,175,195,138,0.15005066990852356
CANARY,N,4,161,186,60,0.18640261888504028
CANARY,N,3,170,189,58,0.1862458884716034
CANARY,N,5,154,184,62,0.1860259473323822
CANARY,M,7,171,194,77,0.18599539995193481
CANARY,N,2,178,191,54,0.18592889606952667
PIG,F,18,178,127,153,0.1724049299955368
PIG,F,17,189,129,153,0.1716434359550476
PIG,G,18,185,148,162,0.1715085655450821
PIG,F,19,166,119,148,0.1712561398744583
PIG,G,17,192,152,164,0.17073523998260498
TIGER,I,2,235,196,46,0.14492376148700714
TIGER,H,1,230,186,38,0.14484018087387085
TIGER,I,3,235,197,59,0.14481595158576965
TIGER,I,1,225,191,32,0.1447834074497223
TIGER,H,2,237,188,52,0.1447780728340149
LADYBUG,E,16,205,110,140,0.1545141339302063
LADYBUG,D,16,207,85,124,0.1544932872056961
LADYBUG,D,17,191,88,127,0.15449059009552002
LADYBUG,E,15,214,104,131,0.15441003441810608
LADYBUG,E,17,190,111,143,0.15436521172523499
FROG,K,15,163,188,147,0.16083166003227234
FROG,L,16,146,186,143,0.1597573161125183
FROG,L,15,147,185,134,0.15956902503967285
FROG,K,16,170,198,166,0.15873122215270996
FROG,P,1,112,140,60,0.15825356543064117
AXOLOTL,G,18,185,148,162,0.1464439481496811
AXOLOTL,G,19,167,138,159,0.14626210927963257
AXOLOTL,G,17,192,152,164,0.14615309238433838
AXOLOTL,H,17,192,166,175,0.1461297571659088
AXOLOTL,H,16,200,164,172,0.1460905522108078
TOAD,I,15,204,200,166,0.1386193335056305
TOAD,J,15,195,203,165,0.1364414244890213
TOAD,I,16,194,198,180,0.13610193133354187
TOAD,J,13,197,200,155,0.1360325962305069
TOAD,J,14,190,196,156,0.13598600029945374
LEMON,N,4,161,186,60,0.17663918435573578
LEMON,N,5,154,184,62,0.17656409740447998
LEMON,N,3,170,189,58,0.17630800604820251
LEMON,M,7,171,194,77,0.17626053094863892
LEMON,O,1,147,170,59,0.17624053359031677
LIME,P,2,115,145,62,0.17942923307418823
LIME,P,1,112,140,60,0.17907637357711792
