,Words,Stat,p-value
0,AMBER,0.7284590540775397,0.5045467541902666
1,AMETHYST,2.7279659497000677,0.09562706018650358
2,APPLE,18.491976480612234,0.00011772310716073875
3,ASPARAGUS,18.158587192287218,0.0004691262285273501
4,AUTUMN,96.05877021080396,2.964694698626147e-07
5,AXOLOTL,1.5840268910885615,0.2376136533033677
6,BANANA,2.830416380061796,0.09282883215647675
7,BARBIE,20.207106305915445,0.00014401014249532107
8,BASIL,1.6970413738875945,0.20856418819955147
9,BEET,1.0673963962932334,0.37029896878093893
10,BLAS (Y EPI),1.7264433890460107,0.2319402466797973
11,BLOOD,4.223885272211468,0.0336547039567241
12,BRICK,6.350069350859437,0.00871703466209961
13,BRUSH,25.979780071194227,6.804880447108808e-05
14,CANARY,21.74522704646553,0.00015062512467634015
15,CARNATION,3.256522737449999,0.059662821752494044
16,COCONUT,97.92506957954818,1.0585949894448277e-09
17,COOKIE MONSTER,10.626033758786157,0.0033543334302340577
18,CORAL,5.532225982065272,0.013402730984482858
19,CRICKET,1.9270182847018869,0.18228096114274273
20,CUCUMBER,5.514814352131059,0.01602044752371712
21,DANGER,3.7679898180288878,0.10046836064987663
22,DISGUST,1.2491951941513566,0.3132480218429786
23,ECOLOGY,5.649408093323587,0.022815115539493336
24,EGG,3.522444076241821,0.05765937043725
25,EGGPLANT,0.14892192017884232,0.8637164225533098
26,ELMO,0.7249688536531794,0.5061046025316227
27,EMERALD,2.1744481760358836,0.15053123249689682
28,EPI (Y BLAS),1.736852581623101,0.2363443393341117
29,FEMINISM,14.208125993485964,0.0006850957234816324
30,FIRE,6.9568486101212965,0.0072846254468474925
31,FLAMINGO,25.007293811456872,0.0001284446053132493
32,FLASH,2.192455744548309,0.1543202357977752
33,FOX,0.21056137296849453,0.8128385190598847
34,FROG,2.454790466137567,0.11572474425440793
35,GOLD,15.785018461179709,0.0001097689132125712
36,GRAPE,5.930784850955987,0.016176829855564345
37,GRASS,0.6607025520072631,0.5279572287346409
38,GRINCH,8.609560420589094,0.006693134180327798
39,GRIZZLY,4.314288588873949,0.03310569132256358
40,HAPINESS,338.50812013351344,6.138312080850028e-12
41,HOPE,6.847617796827656,0.006587377890148405
42,HULK,46.64484236650675,2.191656685246457e-06
43,HURRICANE,4.472983472914194,0.02995308802535368
44,JADE,0.23663398799658472,0.7919937509180885
45,KIWI,0.20652879404790891,0.8167866841612587
46,LADYBUG,230.94077973041902,6.963496446132922e-11
47,LAPIS LAZULI,10.661106430479235,0.00078611812326701
48,LAVENDER,0.11806281952999634,0.8892870372979966
49,LEMON,1.819440282256822,0.19842624448349777
50,LIME,0.192950088722984,0.8272546608179341
51,LONELINESS,1.976233834791538,0.17808107916633342
52,MALLOW,1.092681434256759,0.36910786016749764
53,MINT,8.674537255480278,0.0019386593743290215
54,MOSS,1.9357723523024672,0.18679803184885335
55,MUD,2.8279801855828,0.09856878516197665
56,PEACE,1.9168916177685242,0.18373498762454998
57,PEACH,7.525610686466814,0.005454042085878186
58,PEARL,1.465936886760246,0.2546270455334412
59,PETER PAN,3.8887473176368546,0.0528022844324636
60,PIG,6.119324241971735,0.009958153856284069
61,PIKACHU,1.2348581753276122,0.3316783518182087
62,POND,10.991458526176013,0.0016053423318459492
63,POPPY,0.5199834522720024,0.6031937647290946
64,PUMPKIN,0.46726952678263517,0.6376490803788175
65,RAGE,198.16051478132027,1.6380563572226947e-11
66,RELAX,1.9826734362249685,0.1721783397948481
67,RUBY,1.1400818486383217,0.3430636766938171
68,SADNESS,10.689566971900051,0.00549799057478928
69,SALMON,1.0139596780053857,0.38634256396853817
70,SAND,3.5414380258759715,0.05179583666298393
71,SAPPHIRE,2.3623631191476417,0.13331063743343396
72,SEA,9.155348791210363,0.003300874077287852
73,SHAME,2.1557100869300414,0.14826462335689516
74,SHRECK,1.2901713671105326,0.3216213968034809
75,SIMPSON,5.168643802125019,0.01961026824601153
76,SKIN,1.230418753551113,0.3294301311021284
77,SKY,6.657160639501487,0.009293158748070574
78,SMURF,0.12443208041753044,0.8842235355821776
79,SONIC,37.62248431870213,3.722407212469747e-07
80,SPRING,2.1954176296116956,0.1508512533340427
81,STITCH,23.680252102114512,0.00016104053295995513
82,SUBMARINE,4.254231942339346,0.04604135757388794
83,SUMMER,200.76262306400568,4.650502205549856e-12
84,SUNFLOWER,9.113028848427263,0.00335946610842619
85,SUNRISE,3.0398437081621035,0.07436378554720458
86,SUNSET,6.322586973523244,0.016792745063391346
87,THUNDERBOLT,3.3403963500501983,0.06515173420498133
88,TIGER,5.894817884839719,0.012910212043124702
89,TILE,4.754046947030763,0.021994194605183703
90,TOAD,151.01854781217037,3.347571109202363e-10
91,TOMATO,3.138857781466286,0.0924332879681593
92,TOXIC,1.4368977482093186,0.2757761094782988
93,TRACTOR,151.2670369842749,3.353614463907917e-08
94,WHALE,6.769683698124174,0.0060293807070314065
95,WHEAT,4.623609000959787,0.02872759913420475
96,WINTER,2.363064766905251,0.13324205406154643
97,WITCHCRAFT,16.78343679819086,0.0002501098303813176
98,WOOD,19.119006526087336,4.464701424888862e-05
99,ZUCCHINI,16.01453126263676,0.0002408082390416011
