word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,10,227,147,113,0.2025761604309082
SALMON,F,11,223,134,112,0.20223450660705566
SALMON,F,10,220,130,98,0.20147743821144104
SALMON,H,11,230,159,119,0.20123174786567688
SALMON,G,11,225,146,123,0.20122897624969482
WHALE,K,20,144,191,190,0.1992177516222
WHALE,K,21,130,186,197,0.19899609684944153
WHALE,L,22,112,177,179,0.19861413538455963
WHALE,I,17,192,196,189,0.1985529065132141
WHALE,K,22,119,178,193,0.19815665483474731
GRIZZLY,A,1,82,48,27,0.1907292902469635
GRIZZLY,B,1,115,71,37,0.1876761019229889
GRIZZLY,A,2,90,47,30,0.18722113966941833
GRIZZLY,I,17,192,196,189,0.18254674971103668
GRIZZLY,I,18,191,193,194,0.18150979280471802
FLAMINGO,F,14,217,130,129,0.20647656917572021
FLAMINGO,G,14,220,142,135,0.20636728405952454
FLAMINGO,F,13,213,130,122,0.20631538331508636
FLAMINGO,G,15,222,144,155,0.20628240704536438
FLAMINGO,G,16,206,150,162,0.20580333471298218
FOX,D,7,211,99,50,0.20085835456848145
FOX,D,8,205,95,49,0.20080508291721344
FOX,E,8,211,105,66,0.20064638555049896
FOX,D,6,202,97,45,0.20054277777671814
FOX,D,5,200,104,46,0.20032501220703125
CRICKET,M,9,145,182,83,0.19129349291324615
CRICKET,M,10,139,180,87,0.19118726253509521
CRICKET,M,8,158,189,81,0.1911851465702057
CRICKET,N,7,130,175,68,0.19101496040821075
CRICKET,N,6,147,183,68,0.1910141557455063
CANARY,J,1,224,203,44,0.22919714450836182
CANARY,I,1,225,191,32,0.2291877567768097
CANARY,L,1,229,216,45,0.22844818234443665
CANARY,J,2,235,211,51,0.2281823456287384
CANARY,L,2,228,217,53,0.22768792510032654
PIG,H,15,218,165,158,0.19734716415405273
PIG,H,16,200,164,172,0.19708052277565002
PIG,H,17,192,166,175,0.19696229696273804
PIG,G,17,192,152,164,0.19573232531547546
PIG,G,18,185,148,162,0.1953074038028717
TIGER,F,2,230,162,42,0.17630824446678162
TIGER,F,3,228,158,50,0.17611178755760193
TIGER,E,1,203,141,42,0.17605243623256683
TIGER,G,3,235,169,52,0.17566046118736267
TIGER,F,1,220,158,32,0.17553061246871948
LADYBUG,H,16,200,164,172,0.1811765879392624
LADYBUG,H,17,192,166,175,0.18092595040798187
LADYBUG,G,17,192,152,164,0.18062379956245422
LADYBUG,G,18,185,148,162,0.18033252656459808
LADYBUG,G,16,206,150,162,0.18001028895378113
FROG,N,8,126,173,68,0.20092929899692535
FROG,M,11,128,174,91,0.200886070728302
FROG,N,7,130,175,68,0.20081976056098938
FROG,M,10,139,180,87,0.2008131742477417
FROG,O,5,126,166,66,0.20066511631011963
AXOLOTL,H,18,174,159,174,0.18410654366016388
AXOLOTL,H,19,168,152,171,0.18319956958293915
AXOLOTL,H,20,154,142,164,0.18045270442962646
AXOLOTL,G,19,167,138,159,0.17797601222991943
AXOLOTL,H,17,192,166,175,0.17792047560214996
TOAD,H,20,154,142,164,0.17857725918293
TOAD,H,19,168,152,171,0.1769515573978424
TOAD,H,21,142,131,158,0.17643573880195618
TOAD,H,18,174,159,174,0.1763685941696167
TOAD,I,16,194,198,180,0.17478719353675842
LEMON,M,2,208,206,51,0.2214553952217102
LEMON,M,1,211,207,48,0.2214493304491043
LEMON,M,3,206,206,55,0.22112062573432922
LEMON,L,4,223,217,68,0.22065246105194092
LEMON,L,3,227,217,60,0.22038063406944275
LIME,M,7,171,194,77,0.2573739290237427
LIME,M,8,158,189,81,0.2571108043193817
LIME,N,3,170,189,58,0.2566826343536377
LIME,N,4,161,186,60,0.2563309073448181
LIME,M,6,182,198,73,0.2563268542289734
KIWI,O,1,147,170,59,0.2095494568347931
KIWI,O,2,144,170,60,0.20928001403808594
KIWI,O,3,139,168,60,0.20897197723388672
KIWI,K,10,194,204,116,0.20890550315380096
KIWI,K,11,185,201,122,0.2089017927646637
PUMPKIN,E,5,217,125,46,0.21542313694953918
PUMPKIN,D,4,202,115,45,0.21524913609027863
PUMPKIN,E,4,218,131,42,0.21513235569000244
PUMPKIN,E,6,213,114,50,0.21504075825214386
PUMPKIN,D,3,191,112,45,0.21490132808685303
ZUCCHINI,P,2,115,145,62,0.18802432715892792
ZUCCHINI,P,1,112,140,60,0.18788957595825195
ZUCCHINI,O,3,139,168,60,0.18771781027317047
ZUCCHINI,O,4,132,168,64,0.1875428408384323
ZUCCHINI,O,2,144,170,60,0.18743368983268738
GRAPE,A,30,97,59,117,0.21789973974227905
GRAPE,B,29,100,61,121,0.21772870421409607
GRAPE,C,27,105,59,118,0.21766087412834167
GRAPE,C,28,102,62,123,0.21760588884353638
GRAPE,E,25,106,67,121,0.21756094694137573
CUCUMBER,J,16,187,201,178,0.19004619121551514
CUCUMBER,I,16,194,198,180,0.18981432914733887
CUCUMBER,L,11,158,188,108,0.188774973154068
CUCUMBER,L,12,152,186,114,0.18857228755950928
CUCUMBER,O,5,126,166,66,0.18850761651992798
COCONUT,I,16,194,198,180,0.17684215307235718
COCONUT,J,16,187,201,178,0.17482773959636688
COCONUT,I,17,192,196,189,0.17473191022872925
COCONUT,J,15,195,203,165,0.17247819900512695
COCONUT,H,18,174,159,174,0.1713288426399231
EGGPLANT,A,30,97,59,117,0.1991189569234848
EGGPLANT,B,30,94,58,120,0.19898031651973724
EGGPLANT,B,29,100,61,121,0.19893282651901245
EGGPLANT,C,29,95,58,123,0.19887074828147888
EGGPLANT,D,28,91,56,119,0.1988551765680313
ASPARAGUS,L,11,158,188,108,0.1944054365158081
ASPARAGUS,L,10,165,191,101,0.194330632686615
ASPARAGUS,L,12,152,186,114,0.19396132230758667
ASPARAGUS,L,9,174,194,96,0.19385260343551636
ASPARAGUS,K,11,185,201,122,0.19351445138454437
PEACH,G,11,225,146,123,0.23376119136810303
PEACH,F,11,223,134,112,0.2334120273590088
PEACH,G,10,227,147,113,0.23323234915733337
PEACH,G,12,223,145,126,0.23267672955989838
PEACH,H,12,227,160,127,0.2325558215379715
APPLE,M,13,122,170,101,0.19241537153720856
APPLE,M,12,124,172,97,0.19234639406204224
APPLE,M,11,128,174,91,0.19226107001304626
APPLE,M,10,139,180,87,0.1921757012605667
APPLE,M,14,116,169,105,0.19195421040058136
EGG,I,16,194,198,180,0.19614097476005554
EGG,I,15,204,200,166,0.19606652855873108
EGG,J,16,187,201,178,0.19529947638511658
EGG,J,5,238,217,81,0.194585382938385
EGG,J,4,237,216,75,0.19458475708961487
BANANA,J,2,235,211,51,0.21082517504692078
BANANA,J,3,239,213,61,0.21070468425750732
BANANA,I,2,235,196,46,0.21033892035484314
BANANA,J,1,224,203,44,0.2103234827518463
BANANA,I,1,225,191,32,0.20992502570152283
TOMATO,C,10,213,78,66,0.20482538640499115
TOMATO,B,10,206,66,49,0.20445764064788818
TOMATO,C,9,210,75,50,0.20437651872634888
TOMATO,C,8,205,72,45,0.2040850669145584
TOMATO,B,11,207,67,54,0.20408262312412262
BEET,A,24,142,61,120,0.2105579972267151
BEET,B,23,145,64,120,0.21027666330337524
BEET,B,24,137,65,122,0.20953920483589172
BEET,A,23,152,59,116,0.20951859652996063
BEET,C,23,139,71,124,0.2092840075492859
PEARL,H,15,218,165,158,0.1971803903579712
PEARL,I,17,192,196,189,0.1963953971862793
PEARL,H,17,192,166,175,0.19585323333740234
PEARL,H,16,200,164,172,0.1954263150691986
PEARL,H,18,174,159,174,0.19482560455799103
AMETHYST,C,30,85,50,118,0.22079747915267944
AMETHYST,D,28,91,56,119,0.22072334587574005
AMETHYST,A,30,97,59,117,0.22067791223526
AMETHYST,B,30,94,58,120,0.22062283754348755
AMETHYST,C,29,95,58,123,0.2203417420387268
SAPPHIRE,G,26,85,77,131,0.21016517281532288
SAPPHIRE,G,25,94,81,128,0.20977389812469482
SAPPHIRE,H,30,49,56,116,0.2084006667137146
SAPPHIRE,J,30,59,68,123,0.20830564200878143
SAPPHIRE,I,30,48,65,124,0.20826543867588043
GOLD,I,9,231,195,106,0.26334911584854126
GOLD,I,8,235,194,96,0.2629402279853821
GOLD,I,10,228,200,119,0.26146984100341797
GOLD,I,7,237,198,90,0.2605244517326355
GOLD,H,5,237,185,78,0.26030343770980835
RUBY,A,17,197,53,86,0.21779745817184448
RUBY,B,15,205,59,81,0.21749672293663025
RUBY,C,14,200,66,84,0.21690508723258972
RUBY,A,6,130,45,39,0.21666544675827026
RUBY,A,16,201,57,74,0.2164054661989212
JADE,L,16,146,186,143,0.22023850679397583
JADE,P,10,65,118,66,0.2197532057762146
JADE,P,11,63,120,66,0.2196744680404663
JADE,L,17,148,189,154,0.21920913457870483
JADE,P,12,67,127,70,0.21882294118404388
TILE,G,8,224,149,97,0.20652678608894348
TILE,F,7,223,142,80,0.20624850690364838
TILE,H,9,229,163,106,0.20618367195129395
TILE,G,7,230,158,91,0.20613792538642883
TILE,H,10,235,159,109,0.20605811476707458
LAPIS LAZULI,G,26,85,77,131,0.21744775772094727
LAPIS LAZULI,G,25,94,81,128,0.21633321046829224
LAPIS LAZULI,G,27,79,69,127,0.2148410677909851
LAPIS LAZULI,H,30,49,56,116,0.21387748420238495
LAPIS LAZULI,H,29,59,64,124,0.21386687457561493
AMBER,F,4,230,160,63,0.22249308228492737
AMBER,F,5,230,158,69,0.22208908200263977
AMBER,G,4,234,169,63,0.22183464467525482
AMBER,D,1,175,118,47,0.22098787128925323
AMBER,F,3,228,158,50,0.22097629308700562
BRICK,H,10,235,159,109,0.20828229188919067
BRICK,H,11,230,159,119,0.20807501673698425
BRICK,G,9,225,149,105,0.20769380033016205
BRICK,H,9,229,163,106,0.20725898444652557
BRICK,H,12,227,160,127,0.20706745982170105
EMERALD,P,11,63,120,66,0.2426798939704895
EMERALD,P,10,65,118,66,0.2426338940858841
EMERALD,P,12,67,127,70,0.2412714660167694
EMERALD,P,9,70,126,68,0.2397756278514862
EMERALD,P,13,70,136,71,0.23775550723075867
SUNFLOWER,G,1,221,168,33,0.19173529744148254
SUNFLOWER,H,1,230,186,38,0.19139276444911957
SUNFLOWER,H,2,237,188,52,0.19132795929908752
SUNFLOWER,H,3,237,186,58,0.19075334072113037
SUNFLOWER,I,2,235,196,46,0.1907193660736084
BASIL,P,10,65,118,66,0.1850896179676056
BASIL,P,11,63,120,66,0.1850012093782425
BASIL,J,16,187,201,178,0.18495509028434753
BASIL,I,16,194,198,180,0.18444380164146423
BASIL,P,12,67,127,70,0.18421626091003418
MALLOW,G,17,192,152,164,0.20770782232284546
MALLOW,G,18,185,148,162,0.20768529176712036
MALLOW,H,16,200,164,172,0.2074507623910904
MALLOW,G,16,206,150,162,0.2074006199836731
MALLOW,H,17,192,166,175,0.20726092159748077
LAVENDER,F,21,140,104,143,0.23115918040275574
LAVENDER,F,22,131,95,137,0.23044422268867493
LAVENDER,G,23,118,98,141,0.2299438714981079
LAVENDER,G,22,127,106,145,0.22964170575141907
LAVENDER,G,21,142,115,151,0.2288476526737213
POPPY,D,11,208,96,88,0.19979152083396912
POPPY,D,10,209,93,76,0.199764221906662
POPPY,D,12,207,96,91,0.19930732250213623
POPPY,E,11,211,117,103,0.1991104781627655
POPPY,C,10,213,78,66,0.19860491156578064
WHEAT,H,6,234,177,86,0.19487673044204712
WHEAT,G,5,232,172,88,0.19485808908939362
WHEAT,H,7,230,170,89,0.1947018951177597
WHEAT,I,11,225,195,128,0.19396734237670898
WHEAT,H,8,230,167,96,0.19380511343479156
CARNATION,H,16,200,164,172,0.19007135927677155
CARNATION,H,17,192,166,175,0.18959710001945496
CARNATION,G,17,192,152,164,0.18901827931404114
CARNATION,G,18,185,148,162,0.1884150505065918
CARNATION,G,16,206,150,162,0.18827825784683228
CORAL,E,11,211,117,103,0.23768717050552368
CORAL,F,11,223,134,112,0.23662400245666504
CORAL,E,12,211,111,104,0.2356383502483368
CORAL,E,10,215,114,90,0.23519378900527954
CORAL,F,10,220,130,98,0.2348041832447052
MINT,K,18,171,200,179,0.23557698726654053
MINT,K,17,170,199,174,0.2354736030101776
MINT,M,18,128,180,138,0.23540657758712769
MINT,M,19,130,182,141,0.23536083102226257
MINT,N,21,111,173,130,0.23521922528743744
WOOD,H,8,230,167,96,0.21415448188781738
WOOD,H,9,229,163,106,0.21292230486869812
WOOD,H,7,230,170,89,0.21174964308738708
WOOD,G,5,232,172,88,0.2111424058675766
WOOD,I,13,207,190,146,0.21111524105072021
HURRICANE,I,18,191,193,194,0.19426444172859192
HURRICANE,I,17,192,196,189,0.18910305202007294
HURRICANE,I,19,164,176,185,0.18663258850574493
HURRICANE,J,19,165,194,195,0.18591096997261047
HURRICANE,J,20,146,185,193,0.18565955758094788
SKIN,H,11,230,159,119,0.21917416155338287
SKIN,H,10,235,159,109,0.21875953674316406
SKIN,H,12,227,160,127,0.21848700940608978
SKIN,H,9,229,163,106,0.21844172477722168
SKIN,G,9,225,149,105,0.21698115766048431
FIRE,D,10,209,93,76,0.19301745295524597
FIRE,D,9,206,89,63,0.1918049454689026
FIRE,C,9,210,75,50,0.19116368889808655
FIRE,E,10,215,114,90,0.19110530614852905
FIRE,D,11,208,96,88,0.19091826677322388
SAND,I,11,225,195,128,0.22852762043476105
SAND,I,12,220,198,142,0.22790834307670593
SAND,I,13,207,190,146,0.22770872712135315
SAND,H,8,230,167,96,0.22732028365135193
SAND,H,7,230,170,89,0.22621622681617737
SEA,L,21,122,182,175,0.21215815842151642
SEA,M,23,103,174,165,0.2118440866470337
SEA,N,24,92,166,153,0.2118363082408905
SEA,O,26,89,163,153,0.2114676833152771
SEA,P,27,85,162,147,0.2112155556678772
MUD,A,1,82,48,27,0.2164096087217331
MUD,A,2,90,47,30,0.21361903846263885
MUD,B,1,115,71,37,0.21308493614196777
MUD,A,3,99,43,32,0.2064005732536316
MUD,H,9,229,163,106,0.20634698867797852
GRASS,P,6,88,138,67,0.21105992794036865
