,Words,Stat,p-value
0,AMBER,1.1623859942292525,0.3483621356798574
1,AMETHYST,2.9360057867818194,0.08200683388483643
2,APPLE,2.954898813600989,0.08500184063413374
3,ASPARAGUS,15.972824908492202,0.0007701323486503098
4,AUTUMN,10.6584510762504,0.0033197549189541986
5,AXOLOTL,1.3481487445176366,0.2894452080689238
6,BANANA,3.4188009184381443,0.06179624731031097
7,BARBIE,15.34219449859245,0.0004937112933367516
8,BASIL,1.9893589249279575,0.16294475347384152
9,BEET,1.5236732214215236,0.2519409367145291
10,BLAS (Y EPI),1.0504325033473985,0.38903224212984455
11,BLOOD,5.11264792661614,0.01919537898886381
12,BRICK,2.205614359393191,0.14072210101545846
13,BRUSH,10.485799222464417,0.0028278465874032044
14,CANARY,12.772073094924052,0.0013556942708853326
15,CARNATION,1.681597545606042,0.21133800407007497
16,COCONUT,15.140009301271752,0.0002040852710043506
17,COOKIE MONSTER,14.967585945377134,0.0009845147102514051
18,CORAL,4.309898210602433,0.029553571866702377
19,CRICKET,1.4015428035015531,0.2787231039069813
20,CUCUMBER,2.5221940514838606,0.11369422879544067
21,DANGER,0.984362868558132,0.436055309783572
22,DISGUST,1.4316837383715981,0.2679205701899954
23,ECOLOGY,6.035186632050386,0.019096404660057575
24,EGG,2.39442871011793,0.12752450730713172
25,EGGPLANT,0.7566649292440598,0.4968896883473999
26,ELMO,2.3550244155511684,0.14082615640322116
27,EMERALD,2.1738808880519143,0.1505964036961439
28,EPI (Y BLAS),1.3896053846589156,0.3033975660012056
29,FEMINISM,2.960233556415832,0.09015535375573891
30,FIRE,1.1828808075862574,0.33341158038471574
31,FLAMINGO,30.80680926333349,5.3091122467430196e-05
32,FLASH,2.211782216849401,0.15215385641883383
33,FOX,4.526320970842726,0.03222090395802657
34,FROG,1.4185755214457996,0.2693033654214956
35,GOLD,5.850272447497614,0.011029930911864327
36,GRAPE,6.05523878288757,0.01520031542070488
37,GRASS,1.4538289048950541,0.2585221122578236
38,GRINCH,11.167942037909466,0.0028286310469273213
39,GRIZZLY,18.82137879015126,8.140380623533616e-05
40,HAPINESS,68.68602421230389,1.227567937300833e-07
41,HOPE,13.340426992298937,0.00032835324126323506
42,HULK,60.64631375752626,5.324155143426879e-07
43,HURRICANE,3.746810690383838,0.04788936602046323
44,JADE,0.6935100562175808,0.5142314204815516
45,KIWI,0.9079092851883467,0.43419111367229146
46,LADYBUG,7.630276854202424,0.006426247624369719
47,LAPIS LAZULI,14.423535970437765,0.00015471528953470148
48,LAVENDER,1.3119283629282457,0.29261341648117045
49,LEMON,3.4918099996527046,0.05884822389015609
50,LIME,1.8934981232369335,0.1964807349112241
51,LONELINESS,0.31505676003724103,0.7351656655369461
52,MALLOW,3.383078805070195,0.07159710467978286
53,MINT,13.03411585260679,0.00023783980033975638
54,MOSS,12.542086917109266,0.0011480368467189361
55,MUD,0.6910691577922369,0.5199174454443031
56,PEACE,3.4494017482423684,0.060540540272005616
57,PEACH,10.234977053286979,0.0015730036985711626
58,PEARL,0.05501721828721228,0.9466115818300653
59,PETER PAN,1.404022678192769,0.28637337723380196
60,PIG,3.927534373771157,0.03960851842305935
61,PIKACHU,3.684596510868633,0.06325600974911127
62,POND,22.02284221737107,6.686265557276361e-05
63,POPPY,1.842967543140268,0.18700325455854783
64,PUMPKIN,2.276040364838173,0.14520176690764797
65,RAGE,3.7906605163791705,0.04651192938201576
66,RELAX,0.7655308673808439,0.4824239217108942
67,RUBY,1.133879194201614,0.3449456731756748
68,SADNESS,1.9909395439046422,0.19872852867381074
69,SALMON,1.3968393557520469,0.27777385038758595
70,SAND,2.7034538906955525,0.09562456096328853
71,SAPPHIRE,2.3506984850013515,0.13445679946430356
72,SEA,11.190736067551885,0.0014913804555252153
73,SHAME,12.595505078211483,0.0005182512048756971
74,SHRECK,1.9390885458668214,0.19940981214712794
75,SIMPSON,6.674957766767442,0.008443960115860016
76,SKIN,1.1358042507746164,0.3561067267960294
77,SKY,5.974729335238066,0.013304486962138373
78,SMURF,0.47467437604487633,0.6342587498671025
79,SONIC,10.333076803381473,0.0010267714841025732
80,SPRING,1.0844013363763767,0.36681604895130127
81,STITCH,11.834797459160647,0.002311056393355382
82,SUBMARINE,13.450110915410727,0.001461689459018145
83,SUMMER,185.52444512589673,8.52773407444829e-12
84,SUNFLOWER,5.223508410584139,0.021630294002093264
85,SUNRISE,1.3473104167103294,0.2863261588980526
86,SUNSET,7.860821731484566,0.008881911262126119
87,THUNDERBOLT,10.460385629684207,0.001664598354725988
88,TIGER,4.002433409270471,0.040460991196233476
89,TILE,3.334548511939137,0.05862370581952081
90,TOAD,51.20059476654121,3.640779022706653e-07
91,TOMATO,1.411856847876768,0.29288607227979235
92,TOXIC,1.0831604864585826,0.36944093165021985
93,TRACTOR,14.39798032288586,0.0011378039822024233
94,WHALE,4.797389458153444,0.020579515669478687
95,WHEAT,3.538692872061365,0.05703993781726502
96,WINTER,0.11474690660916169,0.8924847644335067
97,WITCHCRAFT,7.744247709212028,0.006099299428901306
98,WOOD,1.82910849391049,0.1907773165669442
99,ZUCCHINI,3.802219204093104,0.047983881776575865
