,Words,Stat,p-value
0,AMBER,1.1597224240826531,0.34912913056724915
1,AMETHYST,1.3744765341371066,0.2812831296549003
2,APPLE,43.84206197662114,9.378301489837426e-07
3,ASPARAGUS,11.034931722344918,0.002947911535798209
4,AUTUMN,118.42321585706536,1.0911029546534223e-07
5,AXOLOTL,0.44761982416208673,0.6474128909415715
6,BANANA,23.284748770033364,3.52466992732392e-05
7,BARBIE,20.129361486550916,0.00014660025283430578
8,BASIL,6.285200278180585,0.007622000279887575
9,BEET,0.6781546037145532,0.5234657987041115
10,BLAS (Y EPI),3.098646253764575,0.09465494139593011
11,BLOOD,8.536372075132498,0.0030005302651213706
12,BRICK,15.440031514012686,0.0001504876178527459
13,BRUSH,53.44411571832665,2.160589593236395e-06
14,CANARY,3.246368328179772,0.07797261484137141
15,CARNATION,2.3151836953338893,0.12462095001942464
16,COCONUT,66.90017807308944,1.6937803604122337e-08
17,COOKIE MONSTER,17.970273354033967,0.0004886739677938401
18,CORAL,3.693768562023939,0.04527593237860783
19,CRICKET,8.81750672306145,0.0033244521473622113
20,CUCUMBER,29.256787042282447,6.651627335263477e-06
21,DANGER,570.1234026835835,1.2594394370735174e-06
22,DISGUST,1.297142293707358,0.30055507975753226
23,ECOLOGY,1.1255217071519785,0.3623552896929959
24,EGG,5.44015630004743,0.017860985651099948
25,EGGPLANT,34.16306474369427,6.260702494143011e-05
26,ELMO,24.000720048329402,9.72557758213144e-05
27,EMERALD,2.173522665579976,0.1506375736335206
28,EPI (Y BLAS),1.0173846668607416,0.4039525669263022
29,FEMINISM,6.9247892396836574,0.010008446747688637
30,FIRE,48.23058067132506,2.932632982011185e-07
31,FLAMINGO,16.673285902959197,0.0006534708533399991
32,FLASH,66.9506614561408,3.0955091911977206e-07
33,FOX,21.81531406327145,7.011288349911826e-05
34,FROG,5.0926458441152125,0.018491700707063963
35,GOLD,0.9322365024225427,0.4118690089118082
36,GRAPE,3.886688516243632,0.04995769494030422
37,GRASS,6.7094752198345775,0.006245528281591306
38,GRINCH,17.42158019261242,0.0005514662485287536
39,GRIZZLY,50.45272420051431,2.1872859190530392e-07
40,HAPINESS,407.2415914610625,1.8844925619987407e-12
41,HOPE,34.65228877919934,1.005838528467251e-06
42,HULK,1.6980418414497955,0.22419498748971356
43,HURRICANE,3.6495438814656582,0.05111298176451562
44,JADE,0.7074731868207986,0.5076714370945721
45,KIWI,7.5013263806584485,0.010234568873843108
46,LADYBUG,82.01765709202178,4.248566309872359e-08
47,LAPIS LAZULI,18.705024497974648,3.237968937219726e-05
48,LAVENDER,1.8838343609714898,0.17932170292161065
49,LEMON,1.7921503307293023,0.20277786394453623
50,LIME,0.07763444706821608,0.9258050179406423
51,LONELINESS,0.7025606214755606,0.5131824826063757
52,MALLOW,0.46755093145360666,0.6384340679481735
53,MINT,10.364397716364007,0.0008152377803795074
54,MOSS,0.5577150657131417,0.5866677931979867
55,MUD,65.96146933700538,3.359753137921473e-07
56,PEACE,0.6182798774620242,0.5529524862886419
57,PEACH,6.969543529989181,0.007236827911655919
58,PEARL,4.661256906061474,0.021791541937037473
59,PETER PAN,2.0924301814493873,0.16978540470162207
60,PIG,4.511904729713069,0.026801767327464643
61,PIKACHU,18.053728809343234,0.00047989267540093916
62,POND,26.01803489363947,2.851864685193828e-05
63,POPPY,6.0374551211339265,0.00985402108155653
64,PUMPKIN,25.65603304755532,4.6362682773803954e-05
65,RAGE,60.35714212565834,6.698734089649605e-08
66,RELAX,2.5471036345975433,0.11159708756307929
67,RUBY,8.420095063310779,0.002874994904585315
68,SADNESS,1.2678771004799025,0.332427870856719
69,SALMON,0.376582220724671,0.692509753326991
70,SAND,8.259385503337903,0.003117935283115103
71,SAPPHIRE,2.553576404165738,0.11603946201711957
72,SEA,13.48952803762755,0.000674093758503469
73,SHAME,8.05916238302155,0.0037925977216105577
74,SHRECK,2.3839231254626876,0.14763667608769437
75,SIMPSON,6.890282625783438,0.007541184193495587
76,SKIN,7.098283331962976,0.010478093032636693
77,SKY,7.70260212645603,0.005545322988442569
78,SMURF,12.753931650329726,0.0013631212307663176
79,SONIC,15.345744033134592,0.00012893627538190788
80,SPRING,0.5710067831056221,0.5785070663132243
81,STITCH,19.87260057931036,0.00032827971145132917
82,SUBMARINE,2.7280314608997442,0.11337194946792972
83,SUMMER,59.26021728318425,4.0054726313520916e-08
84,SUNFLOWER,3.139103880265799,0.07721443960017171
85,SUNRISE,0.790432751664832,0.4696294725137419
86,SUNSET,9.037159734833216,0.005733948815518253
87,THUNDERBOLT,30.756240352239917,7.529481757306833e-06
88,TIGER,31.015111498823455,4.6851745932885436e-06
89,TILE,21.104349087337013,1.9077409961876235e-05
90,TOAD,64.94320760294342,8.255772199206035e-08
91,TOMATO,13.157751583494946,0.0021293497442478326
92,TOXIC,0.5466520894568231,0.5926413255988456
93,TRACTOR,53.47542174976575,4.570705162465494e-06
94,WHALE,16.463347184117115,7.111280060267955e-05
95,WHEAT,19.82408881425948,8.241598083169599e-05
96,WINTER,2.9850585840025277,0.08573866234638072
97,WITCHCRAFT,2.8794140712626857,0.09221354321261988
98,WOOD,277.3191202116312,1.0547118733938987e-13
99,ZUCCHINI,29.306225383936514,9.904181365483211e-06
