word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.21906934678554535
SALMON,G,11,225,146,123,0.21893168985843658
SALMON,F,10,220,130,98,0.21891885995864868
SALMON,F,12,219,133,119,0.2187872678041458
SALMON,G,12,223,145,126,0.21877777576446533
WHALE,L,20,134,188,172,0.21812200546264648
WHALE,K,19,156,197,185,0.21806374192237854
WHALE,J,18,180,202,194,0.21715795993804932
WHALE,L,19,140,190,165,0.2169482707977295
WHALE,M,22,109,175,158,0.2167588472366333
GRIZZLY,I,28,70,80,134,0.20378971099853516
GRIZZLY,I,29,62,71,129,0.2035948634147644
GRIZZLY,J,29,67,79,135,0.2035539597272873
GRIZZLY,H,27,76,80,134,0.20298045873641968
GRIZZLY,H,13,224,161,135,0.20278729498386383
FLAMINGO,G,17,192,152,164,0.2159893810749054
FLAMINGO,H,16,200,164,172,0.21588446199893951
FLAMINGO,F,15,218,127,144,0.2157686948776245
FLAMINGO,G,16,206,150,162,0.21571868658065796
FLAMINGO,F,16,202,130,150,0.21562480926513672
FOX,F,8,215,132,84,0.2182406485080719
FOX,F,7,223,142,80,0.21823111176490784
FOX,F,9,219,128,88,0.21786156296730042
FOX,G,8,224,149,97,0.21770355105400085
FOX,G,7,230,158,91,0.21752715110778809
CRICKET,J,12,203,205,152,0.2322496622800827
CRICKET,J,13,197,200,155,0.2321224957704544
CRICKET,J,14,190,196,156,0.23072367906570435
CRICKET,I,15,204,200,166,0.23002290725708008
CRICKET,J,15,195,203,165,0.2300218641757965
CANARY,K,4,235,222,79,0.2472386360168457
CANARY,L,5,226,214,80,0.24722565710544586
CANARY,K,3,234,219,71,0.2471432089805603
CANARY,K,5,230,221,85,0.24709613621234894
CANARY,J,1,224,203,44,0.24708527326583862
PIG,H,16,200,164,172,0.23304378986358643
PIG,G,17,192,152,164,0.23275351524353027
PIG,G,18,185,148,162,0.23183438181877136
PIG,G,16,206,150,162,0.23174932599067688
PIG,G,15,222,144,155,0.2308681607246399
TIGER,F,6,229,154,76,0.21774929761886597
TIGER,G,6,228,159,82,0.217619389295578
TIGER,F,5,230,158,69,0.21737250685691833
TIGER,F,7,223,142,80,0.21717454493045807
TIGER,G,7,230,158,91,0.21701200306415558
