,Words,Stat,p-value
0,AMBER,0.4788806936047259,0.6318084237773391
1,AMETHYST,1.9072679832251784,0.18075428948153627
2,APPLE,2.4059901954370995,0.12643130716680118
3,ASPARAGUS,37.11539373589677,2.358553301406996e-05
4,AUTUMN,77.84368275425454,8.008534249093202e-07
5,AXOLOTL,0.8511434128934712,0.446544671882373
6,BANANA,1.8108835044618437,0.19977910636635077
7,BARBIE,3.8289686518923562,0.05174397669301167
8,BASIL,0.37917737173937266,0.6892402994410202
9,BEET,0.9451290103477525,0.412078167323379
10,BLAS (Y EPI),3.918566085216618,0.05968768672408997
11,BLOOD,0.8917448399405432,0.4293623540742594
12,BRICK,4.5252021810698615,0.02657007900432473
13,BRUSH,33.148322828264924,2.2017915742078564e-05
14,CANARY,12.135192332351634,0.0016477969299285578
15,CARNATION,0.2774072846370655,0.7606140164027093
16,COCONUT,1.0071420587917055,0.3872788648945171
17,COOKIE MONSTER,12.00818282140877,0.002195636513218191
18,CORAL,4.6016122415324014,0.024314709076807772
19,CRICKET,0.3435053921274914,0.715092714547824
20,CUCUMBER,14.14022154259821,0.0003535873394018285
21,DANGER,12.419728829156467,0.011493378186014036
22,DISGUST,1.9352418653936028,0.17672270196446482
23,ECOLOGY,9.542682119062798,0.004804270651370901
24,EGG,2.7400641308215232,0.09902698700797163
25,EGGPLANT,0.5397746487856165,0.6006289799441373
26,ELMO,3.275368813190187,0.07656586836579815
27,EMERALD,4.00727070171097,0.042065760963692966
28,EPI (Y BLAS),0.3741780362670697,0.699284888162274
29,FEMINISM,4.405349160419291,0.03675932727106679
30,FIRE,0.5405957137190259,0.5933320113818963
31,FLAMINGO,7.498452629551529,0.010246340383784025
32,FLASH,2.476266920466554,0.125799743704876
33,FOX,6.414923865080554,0.011530278338876654
34,FROG,5.030187555112349,0.019229961981337196
35,GOLD,9.168427909376955,0.0017960831354442153
36,GRAPE,2.3199583617630717,0.14066322988912594
37,GRASS,8.76011916747173,0.0020141415069074853
38,GRINCH,11.55313898910253,0.0025144801613111722
39,GRIZZLY,22.595262160774787,2.980049611456259e-05
40,HAPINESS,467.7536748560127,7.760458942129844e-13
41,HOPE,8.261072038752179,0.0031152695551637244
42,HULK,120.42856143020504,1.1424476920041116e-08
43,HURRICANE,1.92358264137823,0.18044263027509122
44,JADE,1.0401672641200188,0.3761041866692426
45,KIWI,1.1170396936100926,0.3648745130589147
46,LADYBUG,1.4494063597077118,0.2702472489748826
47,LAPIS LAZULI,5.461176315354587,0.013372102906762828
48,LAVENDER,1.5621187773323377,0.23545625697379546
49,LEMON,0.08357569976853758,0.9202768645382683
50,LIME,1.7675105995428273,0.2159601328801175
51,LONELINESS,0.5544205666934315,0.5874055675170506
52,MALLOW,0.39672123347491967,0.6817678357780212
53,MINT,10.718630487438963,0.0006861033672500572
54,MOSS,24.946643444884817,5.31161018798576e-05
55,MUD,10.504656132580028,0.002308174399054397
56,PEACE,1.3569728350542987,0.28929661151326935
57,PEACH,12.32063858765064,0.0006832460912584715
58,PEARL,6.769568735744879,0.005685662288835491
59,PETER PAN,3.055544299485753,0.08803041480047114
60,PIG,7.464376998160574,0.004712692251733541
61,PIKACHU,1.8706232112301038,0.20411238645661023
62,POND,20.611199893281803,9.299723023126205e-05
63,POPPY,0.8737152388205994,0.43436738085222204
64,PUMPKIN,1.8895370434286336,0.19346320778834358
65,RAGE,1.5313665216993226,0.24820382370744276
66,RELAX,0.4523260121509002,0.6445448687750381
67,RUBY,3.6755754879494678,0.0471411462899608
68,SADNESS,19.99022844257551,0.0007728628487281286
69,SALMON,3.264602726160102,0.0665233982142791
70,SAND,7.204263597522007,0.00541890415689017
71,SAPPHIRE,3.7729769713976924,0.05104001266347913
72,SEA,7.415442041569908,0.0070991487146057075
73,SHAME,2.9730226774494644,0.07981962480504312
74,SHRECK,7.869170434365607,0.010566319300848948
75,SIMPSON,1.7856036601058691,0.20155027998715025
76,SKIN,1.573333059807313,0.2506468193773641
77,SKY,49.20636937266877,4.647159175252824e-07
78,SMURF,0.5141642483645913,0.6116890790941527
79,SONIC,12.834631536399442,0.0003434549478930071
80,SPRING,0.6701294785189159,0.5284590376617126
81,STITCH,33.5789286268362,3.656783158634269e-05
82,SUBMARINE,1.2648762273110792,0.3238079786019479
83,SUMMER,290.2324966077778,2.681188604469753e-13
84,SUNFLOWER,0.4829620546370981,0.627594146855883
85,SUNRISE,0.48756245738612036,0.622450093121377
86,SUNSET,6.521330984051611,0.01539347801402613
87,THUNDERBOLT,6.900421312380297,0.008212786531856864
88,TIGER,3.29669116952584,0.06505480562386601
89,TILE,22.7377435669964,1.1857637339129923e-05
90,TOAD,262.19042969713576,8.040235144335384e-12
91,TOMATO,1.0202571466582768,0.3986937457387266
92,TOXIC,1.3446321156026646,0.29722628835573706
93,TRACTOR,31.494679530572512,4.82727732912247e-05
94,WHALE,1.3396657761081239,0.2855770347070036
95,WHEAT,4.4643583059435255,0.031640112798327125
96,WINTER,11.103188807881638,0.001540256540822793
97,WITCHCRAFT,11.8065632953151,0.0011939674253772514
98,WOOD,2.0536663610035877,0.15890307614886479
99,ZUCCHINI,2.155035506810797,0.15277983936390604
