word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,11,225,146,123,0.2235332727432251
SALMON,H,12,227,160,127,0.2232372760772705
SALMON,G,10,227,147,113,0.2230377197265625
SALMON,G,12,223,145,126,0.2226988673210144
SALMON,H,11,230,159,119,0.22264240682125092
WHALE,I,19,164,176,185,0.2115289270877838
WHALE,I,20,148,161,177,0.20952102541923523
WHALE,N,28,77,141,173,0.2067795842885971
WHALE,O,30,75,135,167,0.20669132471084595
WHALE,M,26,81,147,175,0.20667213201522827
GRIZZLY,I,19,164,176,185,0.2096865028142929
GRIZZLY,I,20,148,161,177,0.20963217318058014
GRIZZLY,I,21,137,147,169,0.20892713963985443
GRIZZLY,I,22,124,140,165,0.20645269751548767
GRIZZLY,A,1,82,48,27,0.20451973378658295
FLAMINGO,E,14,217,110,120,0.22249789535999298
FLAMINGO,F,14,217,130,129,0.2207368016242981
FLAMINGO,E,15,214,104,131,0.22051313519477844
FLAMINGO,F,15,218,127,144,0.22022798657417297
FLAMINGO,G,14,220,142,135,0.21983811259269714
FOX,E,5,217,125,46,0.21356280148029327
FOX,F,7,223,142,80,0.2133847177028656
FOX,I,19,164,176,185,0.21328899264335632
FOX,G,7,230,158,91,0.2131798267364502
FOX,E,3,223,136,44,0.21310365200042725
CRICKET,I,19,164,176,185,0.1997838318347931
CRICKET,K,11,185,201,122,0.19870102405548096
CRICKET,P,1,112,140,60,0.1986972987651825
CRICKET,P,2,115,145,62,0.19856616854667664
CRICKET,L,10,165,191,101,0.1983494758605957
CANARY,L,1,229,216,45,0.2643982768058777
CANARY,J,2,235,211,51,0.263899564743042
CANARY,K,2,234,219,67,0.26389753818511963
CANARY,L,2,228,217,53,0.2637132406234741
CANARY,K,3,234,219,71,0.2636292576789856
PIG,I,19,164,176,185,0.19663269817829132
PIG,I,20,148,161,177,0.19545748829841614
PIG,G,15,222,144,155,0.1936919093132019
PIG,I,21,137,147,169,0.19252456724643707
PIG,H,15,218,165,158,0.19238591194152832
TIGER,E,3,223,136,44,0.20012766122817993
TIGER,E,4,218,131,42,0.199222594499588
TIGER,F,5,230,158,69,0.1992173194885254
TIGER,F,6,229,154,76,0.19881202280521393
TIGER,F,4,230,160,63,0.19863837957382202
LADYBUG,A,14,203,57,56,0.2037108838558197
LADYBUG,B,12,209,65,59,0.20315659046173096
LADYBUG,A,15,205,59,66,0.2030375897884369
LADYBUG,B,13,201,60,63,0.20287935435771942
LADYBUG,A,13,194,54,46,0.20279565453529358
FROG,N,6,147,183,68,0.21197599172592163
FROG,N,7,130,175,68,0.21183708310127258
FROG,M,8,158,189,81,0.21179282665252686
FROG,N,8,126,173,68,0.21169781684875488
FROG,M,9,145,182,83,0.21161675453186035
AXOLOTL,H,16,200,164,172,0.19333885610103607
AXOLOTL,I,19,164,176,185,0.19328412413597107
AXOLOTL,G,17,192,152,164,0.1930999755859375
AXOLOTL,G,16,206,150,162,0.1929323822259903
AXOLOTL,G,18,185,148,162,0.19214889407157898
TOAD,I,19,164,176,185,0.1827830672264099
TOAD,I,20,148,161,177,0.18192613124847412
TOAD,I,21,137,147,169,0.17904816567897797
TOAD,I,22,124,140,165,0.17409001290798187
TOAD,I,23,115,126,158,0.16642020642757416
LEMON,K,4,235,222,79,0.25121966004371643
LEMON,K,2,234,219,67,0.2507511377334595
LEMON,L,2,228,217,53,0.2504699230194092
LEMON,K,3,234,219,71,0.25046002864837646
LEMON,L,1,229,216,45,0.2504400610923767
LIME,M,5,194,204,68,0.28617122769355774
LIME,M,6,182,198,73,0.2859598994255066
LIME,N,1,180,193,51,0.28595131635665894
LIME,N,3,170,189,58,0.28517353534698486
LIME,N,2,178,191,54,0.28510403633117676
KIWI,M,8,158,189,81,0.23805288970470428
KIWI,M,7,171,194,77,0.238052099943161
KIWI,N,5,154,184,62,0.2376653552055359
KIWI,N,4,161,186,60,0.23761004209518433
KIWI,N,6,147,183,68,0.23757368326187134
PUMPKIN,E,3,223,136,44,0.22646699845790863
PUMPKIN,F,6,229,154,76,0.225750133395195
PUMPKIN,E,5,217,125,46,0.2256929725408554
PUMPKIN,E,4,218,131,42,0.2251739203929901
PUMPKIN,F,5,230,158,69,0.22463500499725342
ZUCCHINI,N,13,95,158,79,0.19920435547828674
ZUCCHINI,N,12,97,156,76,0.19917458295822144
ZUCCHINI,N,11,100,157,71,0.19890986382961273
ZUCCHINI,M,10,139,180,87,0.1986764669418335
ZUCCHINI,M,9,145,182,83,0.19861207902431488
GRAPE,B,27,111,59,115,0.2504480481147766
GRAPE,C,27,105,59,118,0.25002560019493103
GRAPE,D,25,109,64,118,0.25001564621925354
GRAPE,A,28,116,62,121,0.24988915026187897
GRAPE,A,27,119,61,121,0.24985426664352417
CUCUMBER,M,10,139,180,87,0.1998452991247177
CUCUMBER,M,9,145,182,83,0.19956137239933014
CUCUMBER,M,8,158,189,81,0.1993718147277832
CUCUMBER,N,8,126,173,68,0.19930273294448853
CUCUMBER,N,7,130,175,68,0.19927643239498138
COCONUT,A,1,82,48,27,0.18902930617332458
COCONUT,A,2,90,47,30,0.18533900380134583
COCONUT,B,1,115,71,37,0.18528985977172852
COCONUT,C,1,143,92,43,0.18038339912891388
COCONUT,B,2,128,70,41,0.1803656816482544
EGGPLANT,C,30,85,50,118,0.2523626983165741
EGGPLANT,A,30,97,59,117,0.251958966255188
EGGPLANT,D,28,91,56,119,0.2518964409828186
EGGPLANT,C,27,105,59,118,0.2518680691719055
EGGPLANT,D,29,82,52,118,0.2516612410545349
ASPARAGUS,K,11,185,201,122,0.20839285850524902
ASPARAGUS,L,10,165,191,101,0.20827418565750122
ASPARAGUS,P,1,112,140,60,0.2081274688243866
ASPARAGUS,L,9,174,194,96,0.20791158080101013
ASPARAGUS,P,2,115,145,62,0.2074708342552185
PEACH,G,11,225,146,123,0.2600129246711731
PEACH,G,12,223,145,126,0.2595745325088501
PEACH,H,13,224,161,135,0.2590593099594116
PEACH,G,13,221,143,129,0.25884950160980225
PEACH,H,12,227,160,127,0.2588295340538025
APPLE,I,19,164,176,185,0.2027316689491272
APPLE,M,7,171,194,77,0.20222389698028564
APPLE,N,4,161,186,60,0.20188625156879425
APPLE,M,6,182,198,73,0.2018859088420868
APPLE,N,5,154,184,62,0.20178474485874176
EGG,I,19,164,176,185,0.21190431714057922
EGG,H,8,230,167,96,0.2095644474029541
EGG,I,20,148,161,177,0.20932288467884064
EGG,H,9,229,163,106,0.20912492275238037
EGG,H,11,230,159,119,0.20902903378009796
BANANA,L,1,229,216,45,0.22763928771018982
BANANA,K,2,234,219,67,0.2270556390285492
BANANA,L,2,228,217,53,0.22692517936229706
BANANA,J,2,235,211,51,0.22673122584819794
BANANA,J,3,239,213,61,0.22666442394256592
TOMATO,A,10,205,61,45,0.24497073888778687
TOMATO,A,11,205,61,45,0.24497073888778687
TOMATO,B,10,206,66,49,0.2448837161064148
TOMATO,C,10,213,78,66,0.24449652433395386
TOMATO,B,11,207,67,54,0.24449151754379272
BEET,A,18,192,50,97,0.2570074796676636
BEET,A,20,175,49,110,0.2567717134952545
BEET,A,19,184,48,108,0.2563132643699646
BEET,A,21,168,55,115,0.2555616796016693
BEET,A,22,159,58,117,0.2538207471370697
PEARL,H,16,200,164,172,0.2279554009437561
PEARL,F,18,178,127,153,0.22793138027191162
PEARL,G,16,206,150,162,0.2279301881790161
PEARL,G,17,192,152,164,0.2278980165719986
PEARL,F,17,189,129,153,0.2278737872838974
AMETHYST,A,30,97,59,117,0.2506718039512634
AMETHYST,D,25,109,64,118,0.2504258155822754
AMETHYST,C,27,105,59,118,0.2504189908504486
AMETHYST,E,25,106,67,121,0.2503167986869812
AMETHYST,B,27,111,59,115,0.25021448731422424
SAPPHIRE,H,30,49,56,116,0.2611317038536072
SAPPHIRE,G,30,51,47,105,0.2605195641517639
SAPPHIRE,H,29,59,64,124,0.25995492935180664
SAPPHIRE,G,29,57,53,119,0.25871163606643677
SAPPHIRE,J,30,59,68,123,0.2583944797515869
GOLD,I,10,228,200,119,0.2624756693840027
GOLD,I,9,231,195,106,0.2610185742378235
GOLD,I,11,225,195,128,0.25958287715911865
GOLD,I,8,235,194,96,0.25827017426490784
GOLD,G,1,221,168,33,0.2573462724685669
RUBY,A,17,197,53,86,0.26089805364608765
RUBY,B,16,207,57,93,0.25788256525993347
RUBY,A,18,192,50,97,0.25755393505096436
RUBY,C,15,207,67,99,0.25676584243774414
RUBY,B,15,205,59,81,0.2555285692214966
JADE,P,24,87,159,119,0.23091056942939758
JADE,P,25,85,160,130,0.2308618277311325
JADE,P,23,88,158,113,0.2307574450969696
JADE,O,24,93,164,133,0.23071806132793427
JADE,N,21,111,173,130,0.23058302700519562
TILE,L,15,147,185,134,0.20801031589508057
TILE,L,14,141,180,124,0.20787915587425232
TILE,L,13,145,178,120,0.20785297453403473
TILE,L,16,146,186,143,0.20783963799476624
TILE,L,17,148,189,154,0.20765259861946106
LAPIS LAZULI,H,30,49,56,116,0.2598360478878021
LAPIS LAZULI,H,29,59,64,124,0.25776901841163635
LAPIS LAZULI,I,30,48,65,124,0.2575887441635132
LAPIS LAZULI,G,30,51,47,105,0.2573834955692291
LAPIS LAZULI,G,29,57,53,119,0.25653642416000366
AMBER,E,2,217,140,41,0.249164879322052
AMBER,F,3,228,158,50,0.24854886531829834
AMBER,F,4,230,160,63,0.24838681519031525
AMBER,F,5,230,158,69,0.24799129366874695
AMBER,F,2,230,162,42,0.24702352285385132
BRICK,F,11,223,134,112,0.20615920424461365
BRICK,G,11,225,146,123,0.20594589412212372
BRICK,F,10,220,130,98,0.20585331320762634
BRICK,E,10,215,114,90,0.20576725900173187
BRICK,E,11,211,117,103,0.2054491490125656
EMERALD,P,11,63,120,66,0.27256616950035095
EMERALD,P,12,67,127,70,0.27236631512641907
EMERALD,P,13,70,136,71,0.2719078063964844
EMERALD,P,24,87,159,119,0.271741658449173
EMERALD,P,23,88,158,113,0.27173101902008057
SUNFLOWER,H,3,237,186,58,0.19130298495292664
SUNFLOWER,H,4,237,185,68,0.19126777350902557
SUNFLOWER,H,2,237,188,52,0.19119150936603546
SUNFLOWER,I,4,238,198,69,0.19113358855247498
SUNFLOWER,I,7,237,198,90,0.1908235251903534
BASIL,P,7,81,133,67,0.2410416603088379
BASIL,P,6,88,138,67,0.24095340073108673
BASIL,P,8,77,130,68,0.24087218940258026
BASIL,O,10,83,138,68,0.24076543748378754
BASIL,O,11,78,135,69,0.24059495329856873
MALLOW,G,16,206,150,162,0.2177852839231491
MALLOW,F,17,189,129,153,0.21739311516284943
MALLOW,F,18,178,127,153,0.21728172898292542
MALLOW,H,16,200,164,172,0.21716919541358948
MALLOW,E,18,180,109,144,0.21688896417617798
LAVENDER,H,21,142,131,158,0.272410124540329
LAVENDER,H,20,154,142,164,0.2720497250556946
LAVENDER,H,22,125,121,154,0.2709391713142395
LAVENDER,H,19,168,152,171,0.27047738432884216
LAVENDER,H,18,174,159,174,0.2687920331954956
POPPY,C,10,213,78,66,0.21782958507537842
POPPY,C,11,211,78,73,0.21741388738155365
POPPY,B,11,207,67,54,0.21736131608486176
POPPY,A,10,205,61,45,0.2173101007938385
POPPY,A,11,205,61,45,0.2173101007938385
WHEAT,H,7,230,170,89,0.23332542181015015
WHEAT,I,11,225,195,128,0.233221635222435
WHEAT,G,5,232,172,88,0.23296919465065002
WHEAT,I,9,231,195,106,0.23232299089431763
WHEAT,H,6,234,177,86,0.23229308426380157
