,Words,Stat,p-value
0,AMBER,310.1573395670784,2.1198609534422985e-10
1,AMETHYST,0.680269145234503,0.5205403084090158
2,APPLE,538.6451799202042,5.717648576819556e-14
3,ASPARAGUS,1.8514890022975756,0.20697848173710476
4,AUTUMN,2232.968601608151,5.562217353372034e-14
5,AXOLOTL,3.461511906886931,0.05806721885072674
6,BANANA,593.3140010803544,2.930988785010413e-14
7,BARBIE,231.77306640972063,2.5818536197874664e-10
8,BASIL,71.58505778763774,7.654092915032606e-10
9,BEET,11.241106139704687,0.0012255416840841749
10,BLAS (Y EPI),143.81430400282778,1.476157307500614e-07
11,BLOOD,14.572058500714308,0.00024897202896212445
12,BRICK,1.4661332368268538,0.2585734991631634
13,BRUSH,47.36640441205936,3.931027083514671e-06
14,CANARY,49.37129614644767,3.203288742814614e-06
15,CARNATION,33.6159475871565,4.0137181955834933e-07
16,COCONUT,413.09661019979984,1.6986412276764895e-14
17,COOKIE MONSTER,6.987524308377402,0.012624160792401029
18,CORAL,6.746415334698799,0.006509494483324274
19,CRICKET,132.08149377646802,8.180895960663292e-10
20,CUCUMBER,209.856524626781,1.0818457241157375e-11
21,DANGER,21.307384483931447,0.003573310925836126
22,DISGUST,16.846865541670294,0.00011549070099559078
23,ECOLOGY,47.93329067702373,7.519787267429301e-06
24,EGG,68.95465748770877,5.646839096318246e-08
25,EGGPLANT,18.503744008073387,0.0006476836664318641
26,ELMO,1556.5610134601,3.2085445411667024e-14
27,EMERALD,26.968929895508715,1.5780226040651435e-05
28,EPI (Y BLAS),17.0783224013436,0.0012968680577369884
29,FEMINISM,59.46212328139513,5.928802403465383e-07
30,FIRE,1376.514015783368,1.1102230246251565e-16
31,FLAMINGO,8.79248921526221,0.006260899844881651
32,FLASH,8.623952696769228,0.004770005289892465
33,FOX,415.8847436570856,1.6475709685437323e-12
34,FROG,142.74476990935716,2.3592683362494427e-11
35,GOLD,1338.6538398588555,1.1102230246251565e-16
36,GRAPE,9.936979998837948,0.0028475498568484303
37,GRASS,284.6042961046102,6.8833827526759706e-15
38,GRINCH,192.92270608914296,1.0288970453409263e-08
39,GRIZZLY,464.54324829206774,3.219646771412954e-14
40,HAPINESS,830.523679086866,1.9317880628477724e-14
41,HOPE,16.59477664048716,0.00010083296202068048
42,HULK,273.8592094252311,9.71113189862649e-11
43,HURRICANE,1.2358239659151988,0.31855206155193694
44,JADE,13.295522552559607,0.00039665550439305086
45,KIWI,236.59277697758853,3.796909897602063e-09
46,LADYBUG,8.26669072367371,0.004826098199150919
47,LAPIS LAZULI,0.2623662895145159,0.7719706936854707
48,LAVENDER,23.001625738090347,8.419299181383622e-06
49,LEMON,1940.5094532648707,1.1102230246251565e-16
50,LIME,325.954969987814,1.6205403685631836e-10
51,LONELINESS,2.6983332203888026,0.10467125200053817
52,MALLOW,5.250776014172609,0.025065467949006548
53,MINT,31.67279613157944,6.331018547189871e-07
54,MOSS,76.61145221659261,1.4677968873666458e-07
55,MUD,954.2568943124198,5.950795411990839e-14
56,PEACE,0.17954681581202908,0.8375428930056374
57,PEACH,144.7312547579918,1.5637979799976165e-10
58,PEARL,1.2188438550979652,0.31660587165468024
59,PETER PAN,177.47336207795442,4.254627206101702e-09
60,PIG,23.11052097084936,1.41739799478513e-05
61,PIKACHU,409.1390958909895,2.565185841518769e-10
62,POND,8.332858048512259,0.0046878677885660025
63,POPPY,15.84670983523959,0.00010734024712033552
64,PUMPKIN,2752.7943454529345,1.1102230246251565e-16
65,RAGE,379.0066132955864,1.4432899320127035e-13
66,RELAX,22.539273939725824,3.021960197591156e-05
67,RUBY,16.6077100290495,0.0001003923180039612
68,SADNESS,1.473674632501196,0.28518327475219785
69,SALMON,63.30737650067952,4.868225633725132e-08
70,SAND,8.046518606502728,0.0034757977400881046
71,SAPPHIRE,0.32844334903424155,0.7258480234543881
72,SEA,55.48673765887319,4.3052140308308395e-07
73,SHAME,8.388155466160919,0.0032246255746407604
74,SHRECK,35.511866112667256,5.3654565335015114e-05
75,SIMPSON,114.10163258177359,8.431676468134697e-10
76,SKIN,53.04446205678982,2.24296648043687e-06
77,SKY,15.741130558912529,0.00026181945796466266
78,SMURF,10.11599787910954,0.003216334541768062
79,SONIC,9.39555944982078,0.001606074115913847
80,SPRING,14.274857989066792,0.0005247342400400701
81,STITCH,1.4475268502962104,0.2804685857908338
82,SUBMARINE,4.308860683392007,0.04470616001326089
83,SUMMER,404.65157762765443,1.9984014443252818e-14
84,SUNFLOWER,249.31912794457247,4.289157917725106e-11
85,SUNRISE,11.832954413976534,0.0006030547315788448
86,SUNSET,72.76235739430882,1.0990132592869628e-06
87,THUNDERBOLT,19.944349840334198,7.98752663812019e-05
88,TIGER,2061.8678809113426,1.1102230246251565e-16
89,TILE,65.54767945404217,5.448480777658915e-09
90,TOAD,262.9978201519797,7.873479646036685e-12
91,TOMATO,2320.292176169769,6.176170685989746e-13
92,TOXIC,7.516025078234881,0.007652680269947809
93,TRACTOR,335.13446348104475,6.86430912111291e-10
94,WHALE,5.683686849136528,0.011622257335969444
95,WHEAT,335.5958974155424,1.4866996522755471e-12
96,WINTER,17.780536249459065,0.00019043994010115028
97,WITCHCRAFT,150.91731967583408,1.007153027643426e-09
98,WOOD,758.2212519271394,1.1102230246251565e-16
99,ZUCCHINI,318.5558700162512,2.1247448245276246e-12
