word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,I,30,48,65,124,0.09988388419151306
SALMON,H,30,49,56,116,0.09851987659931183
SALMON,L,30,66,90,141,0.09791368246078491
SALMON,K,28,68,91,135,0.09774540364742279
SALMON,K,29,68,88,139,0.09768442809581757
WHALE,F,30,51,44,98,0.0352596640586853
WHALE,I,17,192,196,189,0.035162925720214844
WHALE,H,30,49,56,116,0.03499004989862442
WHALE,I,30,48,65,124,0.03469027206301689
WHALE,I,18,191,193,194,0.03467315435409546
GRIZZLY,I,22,124,140,165,0.08387207239866257
GRIZZLY,J,24,102,130,162,0.08351746201515198
GRIZZLY,J,26,82,103,143,0.08350037038326263
GRIZZLY,J,25,91,118,155,0.083372101187706
GRIZZLY,I,25,88,101,141,0.08295542746782303
FLAMINGO,A,6,130,45,39,0.06720501184463501
FLAMINGO,A,7,143,48,41,0.0668974295258522
FLAMINGO,A,5,124,45,38,0.06644123792648315
FLAMINGO,A,8,165,53,45,0.0660741925239563
FLAMINGO,A,13,194,54,46,0.0649547129869461
FOX,I,21,137,147,169,0.06530692428350449
FOX,I,20,148,161,177,0.06517890840768814
FOX,I,19,164,176,185,0.06490001082420349
FOX,I,22,124,140,165,0.0640842542052269
FOX,I,23,115,126,158,0.06289531290531158
CRICKET,F,30,51,44,98,0.06439193338155746
CRICKET,H,30,49,56,116,0.0637432262301445
CRICKET,G,30,51,47,105,0.06358124315738678
CRICKET,I,30,48,65,124,0.06292319297790527
CRICKET,J,30,59,68,123,0.06216574087738991
CANARY,I,13,207,190,146,0.04954639822244644
CANARY,I,14,209,200,158,0.048785001039505005
CANARY,I,12,220,198,142,0.04852639511227608
CANARY,I,15,204,200,166,0.04846813529729843
CANARY,I,10,228,200,119,0.048208191990852356
PIG,A,6,130,45,39,0.05096106976270676
PIG,A,7,143,48,41,0.050407785922288895
PIG,A,5,124,45,38,0.050202902406454086
PIG,A,8,165,53,45,0.049531660974025726
PIG,I,6,234,202,91,0.0492156445980072
TIGER,L,28,74,106,150,0.0980730727314949
TIGER,M,30,67,101,147,0.09806276857852936
TIGER,K,27,77,109,149,0.0980483889579773
TIGER,K,26,85,118,157,0.09793402254581451
TIGER,K,28,68,91,135,0.09783050417900085
LADYBUG,A,6,130,45,39,0.09831444919109344
LADYBUG,A,5,124,45,38,0.09788107126951218
LADYBUG,A,7,143,48,41,0.09735701978206635
LADYBUG,A,4,109,44,35,0.0966780036687851
LADYBUG,I,30,48,65,124,0.09585912525653839
FROG,F,30,51,44,98,0.06717172265052795
FROG,H,30,49,56,116,0.06686641275882721
FROG,I,30,48,65,124,0.06677364557981491
FROG,G,30,51,47,105,0.06675708293914795
FROG,E,30,56,47,109,0.065217025578022
AXOLOTL,I,20,148,161,177,0.141500324010849
AXOLOTL,I,21,137,147,169,0.14137065410614014
AXOLOTL,I,22,124,140,165,0.13992539048194885
AXOLOTL,I,19,164,176,185,0.13878214359283447
AXOLOTL,I,23,115,126,158,0.1364854872226715
TOAD,I,21,137,147,169,0.08103715628385544
TOAD,I,20,148,161,177,0.08091608434915543
TOAD,I,19,164,176,185,0.0800158903002739
TOAD,I,22,124,140,165,0.07888065278530121
TOAD,I,23,115,126,158,0.07680556178092957
LEMON,H,30,49,56,116,0.04700520262122154
LEMON,I,30,48,65,124,0.04645330831408501
LEMON,F,30,51,44,98,0.04607881233096123
LEMON,G,30,51,47,105,0.04590415954589844
LEMON,J,30,59,68,123,0.04548214375972748
LIME,I,22,124,140,165,0.10842715948820114
LIME,J,22,123,155,177,0.10837642848491669
LIME,J,23,112,144,171,0.10791575908660889
LIME,I,20,148,161,177,0.10747788101434708
LIME,J,21,134,171,185,0.10714355856180191
KIWI,L,29,73,99,146,0.09730962663888931
KIWI,L,28,74,106,150,0.09724237769842148
KIWI,M,30,67,101,147,0.09707576781511307
KIWI,L,30,66,90,141,0.09695100784301758
KIWI,K,27,77,109,149,0.09694772958755493
PUMPKIN,H,30,49,56,116,0.08156098425388336
PUMPKIN,F,30,51,44,98,0.08142273873090744
PUMPKIN,I,30,48,65,124,0.08130233734846115
PUMPKIN,G,30,51,47,105,0.08114872872829437
PUMPKIN,J,30,59,68,123,0.08014240860939026
ZUCCHINI,I,30,48,65,124,0.11266683787107468
ZUCCHINI,H,30,49,56,116,0.11129672080278397
ZUCCHINI,K,30,65,82,135,0.1108095645904541
ZUCCHINI,L,30,66,90,141,0.11055771261453629
ZUCCHINI,K,29,68,88,139,0.11055445671081543
GRAPE,I,22,124,140,165,0.09559167176485062
GRAPE,I,20,148,161,177,0.0944032371044159
GRAPE,I,21,137,147,169,0.0942087396979332
GRAPE,J,24,102,130,162,0.09344876557588577
GRAPE,J,23,112,144,171,0.09322034567594528
CUCUMBER,I,30,48,65,124,0.08647504448890686
CUCUMBER,M,30,67,101,147,0.08576850593090057
CUCUMBER,L,30,66,90,141,0.08550603687763214
CUCUMBER,K,28,68,91,135,0.08531992137432098
CUCUMBER,N,30,69,114,155,0.08514565229415894
COCONUT,J,26,82,103,143,0.09116525948047638
COCONUT,J,25,91,118,155,0.09106478095054626
COCONUT,L,29,73,99,146,0.09095004200935364
