word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.2602536082267761
SALMON,G,11,225,146,123,0.2590705454349518
SALMON,G,12,223,145,126,0.2584158778190613
SALMON,F,12,219,133,119,0.2579522132873535
SALMON,G,13,221,143,129,0.25677400827407837
WHALE,J,19,165,194,195,0.25615695118904114
WHALE,J,21,134,171,185,0.2519952058792114
WHALE,J,20,146,185,193,0.251342236995697
WHALE,I,19,164,176,185,0.24964547157287598
WHALE,J,18,180,202,194,0.24945779144763947
GRIZZLY,I,19,164,176,185,0.24017752707004547
GRIZZLY,I,20,148,161,177,0.23830799758434296
GRIZZLY,I,22,124,140,165,0.23651458323001862
GRIZZLY,J,22,123,155,177,0.23582902550697327
GRIZZLY,I,21,137,147,169,0.23572704195976257
FLAMINGO,E,15,214,104,131,0.26837220788002014
FLAMINGO,D,16,207,85,124,0.2677709460258484
FLAMINGO,F,15,218,127,144,0.2676820755004883
FLAMINGO,C,17,204,68,122,0.2672925889492035
FLAMINGO,E,14,217,110,120,0.26725438237190247
FOX,J,17,181,202,191,0.2614876627922058
FOX,J,18,180,202,194,0.26132065057754517
FOX,K,18,171,200,179,0.25832661986351013
FOX,N,23,99,168,142,0.2576693892478943
FOX,O,25,90,163,142,0.25760510563850403
CRICKET,J,19,165,194,195,0.25176405906677246
CRICKET,J,18,180,202,194,0.25112566351890564
CRICKET,J,17,181,202,191,0.2503451406955719
CRICKET,I,19,164,176,185,0.25019004940986633
CRICKET,J,20,146,185,193,0.24926094710826874
CANARY,L,3,227,217,60,0.2955501079559326
CANARY,L,2,228,217,53,0.29534757137298584
CANARY,K,4,235,222,79,0.295326292514801
CANARY,K,3,234,219,71,0.2950485348701477
CANARY,K,2,234,219,67,0.2949858605861664
PIG,I,20,148,161,177,0.2628094255924225
PIG,I,19,164,176,185,0.2626035213470459
PIG,J,22,123,155,177,0.26172053813934326
PIG,I,21,137,147,169,0.2616226077079773
PIG,I,22,124,140,165,0.2616170346736908
TIGER,E,3,223,136,44,0.25957411527633667
TIGER,E,4,218,131,42,0.25917690992355347
TIGER,E,2,217,140,41,0.25889062881469727
TIGER,F,5,230,158,69,0.25732845067977905
TIGER,E,5,217,125,46,0.25728750228881836
LADYBUG,B,12,209,65,59,0.251569002866745
LADYBUG,C,12,210,78,76,0.2515631318092346
LADYBUG,A,14,203,57,56,0.25152239203453064
LADYBUG,C,11,211,78,73,0.2514975368976593
LADYBUG,C,13,207,75,83,0.25142186880111694
FROG,N,7,130,175,68,0.24914945662021637
FROG,N,8,126,173,68,0.2491203248500824
FROG,N,9,116,167,70,0.24831725656986237
FROG,N,6,147,183,68,0.2480383664369583
FROG,M,10,139,180,87,0.24783551692962646
AXOLOTL,H,16,200,164,172,0.22629569470882416
AXOLOTL,G,16,206,150,162,0.22410693764686584
AXOLOTL,H,15,218,165,158,0.22395271062850952
AXOLOTL,G,17,192,152,164,0.2237730622291565
AXOLOTL,H,17,192,166,175,0.2237527072429657
TOAD,I,19,164,176,185,0.22743181884288788
TOAD,I,20,148,161,177,0.22650901973247528
TOAD,I,21,137,147,169,0.2259545922279358
TOAD,I,18,191,193,194,0.2237175852060318
TOAD,I,22,124,140,165,0.22330953180789948
LEMON,L,4,223,217,68,0.29648256301879883
LEMON,K,5,230,221,85,0.29605257511138916
LEMON,L,3,227,217,60,0.29550492763519287
LEMON,K,4,235,222,79,0.2951183319091797
LEMON,L,2,228,217,53,0.2948814034461975
LIME,N,6,147,183,68,0.3320760130882263
LIME,N,5,154,184,62,0.3318261504173279
LIME,N,4,161,186,60,0.33026665449142456
LIME,N,7,130,175,68,0.32876673340797424
LIME,N,1,180,193,51,0.328633576631546
KIWI,O,1,147,170,59,0.28915935754776
KIWI,O,2,144,170,60,0.2888314425945282
KIWI,O,3,139,168,60,0.2884250283241272
KIWI,L,9,174,194,96,0.28813257813453674
KIWI,N,3,170,189,58,0.288117378950119
PUMPKIN,E,3,223,136,44,0.27539554238319397
PUMPKIN,E,4,218,131,42,0.27485573291778564
PUMPKIN,E,5,217,125,46,0.2742573320865631
PUMPKIN,F,6,229,154,76,0.27287518978118896
PUMPKIN,E,6,213,114,50,0.2727821469306946
ZUCCHINI,N,10,106,159,69,0.24009519815444946
ZUCCHINI,N,11,100,157,71,0.24002058804035187
ZUCCHINI,O,6,111,158,69,0.23979516327381134
ZUCCHINI,N,9,116,167,70,0.23978766798973083
ZUCCHINI,O,7,106,155,70,0.23966628313064575
GRAPE,A,27,119,61,121,0.2925174832344055
GRAPE,C,26,118,63,122,0.29249319434165955
GRAPE,A,28,116,62,121,0.29243212938308716
GRAPE,A,29,109,61,122,0.29239553213119507
GRAPE,B,28,109,61,122,0.29239553213119507
CUCUMBER,N,8,126,173,68,0.26044130325317383
CUCUMBER,N,9,116,167,70,0.2603945732116699
CUCUMBER,N,7,130,175,68,0.260204017162323
CUCUMBER,N,10,106,159,69,0.2595687210559845
CUCUMBER,M,11,128,174,91,0.25943517684936523
COCONUT,J,19,165,194,195,0.24162347614765167
COCONUT,J,18,180,202,194,0.23771771788597107
COCONUT,J,20,146,185,193,0.23748424649238586
COCONUT,A,1,82,48,27,0.236787810921669
COCONUT,K,20,144,191,190,0.2367853820323944
EGGPLANT,D,25,109,64,118,0.2733028531074524
EGGPLANT,E,25,106,67,121,0.27308031916618347
EGGPLANT,B,27,111,59,115,0.2729876637458801
EGGPLANT,A,30,97,59,117,0.2728945314884186
EGGPLANT,D,24,121,71,123,0.27286845445632935
ASPARAGUS,K,14,163,183,135,0.23691384494304657
ASPARAGUS,K,13,175,195,138,0.23589612543582916
ASPARAGUS,J,18,180,202,194,0.23576486110687256
ASPARAGUS,K,15,163,188,147,0.23521296679973602
ASPARAGUS,L,13,145,178,120,0.2349521517753601
PEACH,H,10,235,159,109,0.3235779404640198
PEACH,G,10,227,147,113,0.3235388398170471
PEACH,H,11,230,159,119,0.3231008052825928
PEACH,H,12,227,160,127,0.3224099278450012
PEACH,G,11,225,146,123,0.32073017954826355
APPLE,N,5,154,184,62,0.2709638774394989
APPLE,N,6,147,183,68,0.2709183096885681
APPLE,M,8,158,189,81,0.2708534598350525
APPLE,M,7,171,194,77,0.2706897556781769
APPLE,N,4,161,186,60,0.27064597606658936
EGG,J,19,165,194,195,0.2805362641811371
EGG,J,18,180,202,194,0.2803221344947815
EGG,J,17,181,202,191,0.27849531173706055
EGG,K,19,156,197,185,0.27581286430358887
EGG,J,20,146,185,193,0.275365948677063
BANANA,K,2,234,219,67,0.27410298585891724
BANANA,K,4,235,222,79,0.2740098834037781
BANANA,K,3,234,219,71,0.27398473024368286
BANANA,L,2,228,217,53,0.27355891466140747
BANANA,L,1,229,216,45,0.273543119430542
TOMATO,C,10,213,78,66,0.27475953102111816
TOMATO,A,10,205,61,45,0.27451348304748535
TOMATO,A,11,205,61,45,0.27451348304748535
TOMATO,B,10,206,66,49,0.2743854820728302
TOMATO,C,9,210,75,50,0.2741661071777344
BEET,A,18,192,50,97,0.2721386253833771
BEET,A,20,175,49,110,0.2709594964981079
BEET,A,19,184,48,108,0.27067816257476807
BEET,A,21,168,55,115,0.2699616849422455
BEET,B,20,179,66,121,0.2693672776222229
PEARL,H,17,192,166,175,0.27981460094451904
PEARL,H,16,200,164,172,0.27861088514328003
PEARL,H,14,222,163,143,0.27830326557159424
PEARL,H,15,218,165,158,0.27805817127227783
PEARL,G,17,192,152,164,0.2769986391067505
AMETHYST,C,29,95,58,123,0.3008877635002136
AMETHYST,C,30,85,50,118,0.30066871643066406
AMETHYST,E,28,83,52,121,0.3006550073623657
AMETHYST,D,28,91,56,119,0.30062031745910645
AMETHYST,D,27,97,61,123,0.30061084032058716
SAPPHIRE,H,30,49,56,116,0.3001060485839844
SAPPHIRE,I,30,48,65,124,0.29817384481430054
SAPPHIRE,H,29,59,64,124,0.2972140908241272
SAPPHIRE,J,30,59,68,123,0.29672008752822876
SAPPHIRE,I,29,62,71,129,0.2964472472667694
GOLD,G,1,221,168,33,0.3136708438396454
GOLD,F,1,220,158,32,0.3108692169189453
GOLD,E,1,203,141,42,0.31004175543785095
GOLD,I,10,228,200,119,0.30979061126708984
GOLD,I,9,231,195,106,0.30940163135528564
RUBY,A,17,197,53,86,0.2923046052455902
RUBY,B,16,207,57,93,0.2908799648284912
RUBY,A,18,192,50,97,0.2902945876121521
RUBY,C,15,207,67,99,0.2898043394088745
RUBY,C,14,200,66,84,0.28936251997947693
JADE,P,26,83,161,137,0.2822979986667633
JADE,O,25,90,163,142,0.28178924322128296
JADE,P,27,85,162,147,0.28147459030151367
JADE,P,25,85,160,130,0.2813956141471863
JADE,N,23,99,168,142,0.28099969029426575
TILE,J,19,165,194,195,0.26785993576049805
TILE,J,21,134,171,185,0.2671722173690796
TILE,J,22,123,155,177,0.2669033110141754
TILE,J,18,180,202,194,0.26606085896492004
TILE,I,20,148,161,177,0.2658109664916992
LAPIS LAZULI,H,30,49,56,116,0.30637985467910767
LAPIS LAZULI,I,30,48,65,124,0.3062450885772705
LAPIS LAZULI,H,29,59,64,124,0.30473989248275757
LAPIS LAZULI,I,29,62,71,129,0.3047162592411041
LAPIS LAZULI,J,30,59,68,123,0.30396080017089844
AMBER,E,2,217,140,41,0.285142719745636
AMBER,E,4,218,131,42,0.2842695116996765
AMBER,E,3,223,136,44,0.28399407863616943
AMBER,D,4,202,115,45,0.28283822536468506
AMBER,E,5,217,125,46,0.2827763855457306
BRICK,C,5,180,80,46,0.26524606347084045
BRICK,B,5,158,65,44,0.26473310589790344
BRICK,B,4,150,70,45,0.26423579454421997
BRICK,C,4,170,82,47,0.26393502950668335
BRICK,C,6,188,76,47,0.2634830176830292
EMERALD,P,26,83,161,137,0.3070122003555298
EMERALD,P,25,85,160,130,0.30678799748420715
EMERALD,O,25,90,163,142,0.3050491213798523
EMERALD,O,24,93,164,133,0.3049828112125397
EMERALD,P,24,87,159,119,0.30416232347488403
SUNFLOWER,H,3,237,186,58,0.24443432688713074
SUNFLOWER,H,2,237,188,52,0.24425604939460754
SUNFLOWER,H,4,237,185,68,0.24361339211463928
SUNFLOWER,I,4,238,198,69,0.24305126070976257
SUNFLOWER,H,5,237,185,78,0.24304677546024323
BASIL,O,9,93,145,69,0.2677355706691742
BASIL,O,8,97,147,69,0.2677304744720459
BASIL,P,5,96,142,67,0.26764678955078125
BASIL,P,6,88,138,67,0.2675134539604187
BASIL,P,4,102,139,65,0.26701128482818604
MALLOW,F,17,189,129,153,0.2588618993759155
MALLOW,E,17,190,111,143,0.2586038112640381
MALLOW,G,17,192,152,164,0.25855615735054016
MALLOW,H,16,200,164,172,0.2583256959915161
MALLOW,E,18,180,109,144,0.25819921493530273
LAVENDER,H,21,142,131,158,0.3100520670413971
LAVENDER,G,21,142,115,151,0.3099060654640198
LAVENDER,G,22,127,106,145,0.30983659625053406
LAVENDER,H,20,154,142,164,0.30944448709487915
LAVENDER,H,19,168,152,171,0.3092675805091858
POPPY,C,10,213,78,66,0.2614736258983612
POPPY,C,11,211,78,73,0.2612762153148651
POPPY,C,12,210,78,76,0.26099640130996704
POPPY,A,10,205,61,45,0.260934442281723
POPPY,A,11,205,61,45,0.260934442281723
WHEAT,H,7,230,170,89,0.28362417221069336
WHEAT,G,5,232,172,88,0.2831602692604065
WHEAT,H,6,234,177,86,0.2818942070007324
WHEAT,I,11,225,195,128,0.2817942202091217
WHEAT,H,8,230,167,96,0.2798534333705902
CARNATION,E,14,217,110,120,0.248785138130188
CARNATION,E,15,214,104,131,0.24835044145584106
CARNATION,D,15,206,85,112,0.2473451942205429
CARNATION,D,14,207,88,104,0.2473393976688385
CARNATION,E,13,211,112,112,0.2467210590839386
CORAL,F,11,223,134,112,0.3164920210838318
CORAL,F,12,219,133,119,0.3136478662490845
CORAL,E,12,211,111,104,0.31336939334869385
CORAL,E,11,211,117,103,0.31286537647247314
CORAL,G,11,225,146,123,0.31272077560424805
MINT,M,21,117,180,153,0.30371955037117004
MINT,L,19,140,190,165,0.30371469259262085
MINT,L,20,134,188,172,0.30177825689315796
MINT,M,20,124,180,147,0.30162131786346436
MINT,N,23,99,168,142,0.300987184047699
WOOD,A,1,82,48,27,0.2748616635799408
WOOD,A,2,90,47,30,0.2731161117553711
WOOD,B,1,115,71,37,0.2727137506008148
WOOD,C,1,143,92,43,0.2722209692001343
WOOD,A,3,99,43,32,0.27109625935554504
HURRICANE,I,19,164,176,185,0.2575457990169525
HURRICANE,I,20,148,161,177,0.25686222314834595
HURRICANE,J,21,134,171,185,0.2563132345676422
HURRICANE,J,19,165,194,195,0.25629788637161255
HURRICANE,J,20,146,185,193,0.25483429431915283
SKIN,J,19,165,194,195,0.2708650827407837
SKIN,J,18,180,202,194,0.26950952410697937
SKIN,I,19,164,176,185,0.26806747913360596
SKIN,J,17,181,202,191,0.26765596866607666
SKIN,I,20,148,161,177,0.267417311668396
FIRE,C,9,210,75,50,0.2577812075614929
FIRE,A,10,205,61,45,0.25774824619293213
FIRE,A,11,205,61,45,0.25774824619293213
FIRE,B,9,202,63,44,0.2574092149734497
FIRE,C,8,205,72,45,0.2573290467262268
SAND,I,13,207,190,146,0.28067612648010254
SAND,I,12,220,198,142,0.27820467948913574
SAND,I,11,225,195,128,0.2770720422267914
SAND,I,14,209,200,158,0.2762913107872009
SAND,D,1,175,118,47,0.27449625730514526
SEA,J,19,165,194,195,0.2806568145751953
SEA,J,18,180,202,194,0.28052687644958496
SEA,J,17,181,202,191,0.27774161100387573
SEA,K,20,144,191,190,0.27598050236701965
SEA,J,20,146,185,193,0.2752929925918579
MUD,C,1,143,92,43,0.25965529680252075
MUD,A,1,82,48,27,0.2592064440250397
MUD,B,1,115,71,37,0.2590741515159607
MUD,D,1,175,118,47,0.2585388422012329
MUD,C,2,150,87,44,0.2584722340106964
GRASS,N,11,100,157,71,0.27251869440078735
GRASS,N,10,106,159,69,0.2725129723548889
GRASS,O,7,106,155,70,0.2721610963344574
GRASS,O,8,97,147,69,0.2721130847930908
GRASS,O,6,111,158,69,0.27185943722724915
POND,J,19,165,194,195,0.2699702978134155
POND,J,18,180,202,194,0.26758381724357605
POND,J,20,146,185,193,0.2664281129837036
POND,J,21,134,171,185,0.2664105296134949
POND,J,17,181,202,191,0.2656764090061188
SUNRISE,I,20,148,161,177,0.27080148458480835
SUNRISE,I,19,164,176,185,0.2703036069869995
SUNRISE,I,21,137,147,169,0.2678662836551666
SUNRISE,I,22,124,140,165,0.267567902803421
SUNRISE,G,3,235,169,52,0.2674192488193512
MOSS,P,1,112,140,60,0.2799149751663208
MOSS,P,2,115,145,62,0.2792326807975769
MOSS,P,3,107,142,64,0.2778550982475281
MOSS,O,1,147,170,59,0.2775576114654541
MOSS,O,2,144,170,60,0.2772083282470703
SKY,J,18,180,202,194,0.27401959896087646
SKY,J,19,165,194,195,0.27336961030960083
SKY,J,17,181,202,191,0.27243348956108093
SKY,J,20,146,185,193,0.27001631259918213
SKY,K,20,144,191,190,0.26999756693840027
THUNDERBOLT,I,19,164,176,185,0.24359537661075592
THUNDERBOLT,I,20,148,161,177,0.24332723021507263
THUNDERBOLT,I,21,137,147,169,0.2401162087917328
THUNDERBOLT,I,22,124,140,165,0.2394297868013382
THUNDERBOLT,J,22,123,155,177,0.2369852215051651
BLOOD,A,13,194,54,46,0.26925128698349
BLOOD,A,14,203,57,56,0.26873666048049927
BLOOD,A,8,165,53,45,0.26866933703422546
BLOOD,A,12,195,57,41,0.2681872844696045
BLOOD,A,7,143,48,41,0.26803746819496155
SUNSET,H,10,235,159,109,0.2649800479412079
SUNSET,F,4,230,160,63,0.2637529969215393
