,Words,Stat,p-value
0,AMBER,0.5585936001350548,0.5874214115567855
1,AMETHYST,2.17507624671365,0.14602207570542747
2,APPLE,4.4010098240427515,0.03289145161350249
3,ASPARAGUS,5.661073209418072,0.02269056935555558
4,AUTUMN,1.1391577441935448,0.3583488859017031
5,AXOLOTL,0.04044883434702477,0.9604626811852951
6,BANANA,1.0390387033648518,0.3795399038825409
7,BARBIE,1.2612738755010577,0.318295572390241
8,BASIL,0.559767730980206,0.5800378617468103
9,BEET,0.9111113857294778,0.4246428199003067
10,BLAS (Y EPI),0.721948732502449,0.5119288382760399
11,BLOOD,5.108941445150922,0.01923884108799212
12,BRICK,0.11954549515524181,0.8880629573581389
13,BRUSH,31.224059776689487,2.9158556560049398e-05
14,CANARY,4.874064869523491,0.030498291840405534
15,CARNATION,0.10829417503022924,0.8978861567203437
16,COCONUT,5.6566534547239025,0.013866459364091255
17,COOKIE MONSTER,1.6950475718572007,0.23231737155275978
18,CORAL,3.497233738936334,0.052102378724409926
19,CRICKET,1.0090160764809657,0.38961181834885283
20,CUCUMBER,7.534699918612274,0.005429361299647106
21,DANGER,950.3602272022675,3.525957087413545e-07
22,DISGUST,1.935468396709199,0.1766904699407449
23,ECOLOGY,3.703235717086891,0.06258154654715398
24,EGG,24.264888722828243,2.8202529948062605e-05
25,EGGPLANT,2.8909977796936333,0.10722411955669509
26,ELMO,1.7617631357311392,0.21690190073292914
27,EMERALD,4.820184819921792,0.025545617766655537
28,EPI (Y BLAS),0.139797997637233,0.8716123290164742
29,FEMINISM,3.8558206837987616,0.05090386308443384
30,FIRE,1.4137464422523474,0.2738466323761741
31,FLAMINGO,0.3303085199176294,0.7262535819933044
32,FLASH,2.2759618058736084,0.14521003700707324
33,FOX,0.6651319815856737,0.5308594513859624
34,FROG,1.2089956549231504,0.3229083395333202
35,GOLD,2.8454436424249754,0.08437632535492923
36,GRAPE,3.0924092140698507,0.08257216312916693
37,GRASS,0.6640694047942213,0.5262981479956311
38,GRINCH,2.9217944660897555,0.10016873062487364
39,GRIZZLY,286.15871981649514,1.1327605520250472e-12
40,HAPINESS,340.1097671989746,5.956235504811502e-12
41,HOPE,9.713194652736094,0.0015373713061688221
42,HULK,31.457726216416816,1.689114290592819e-05
43,HURRICANE,2.108988702020175,0.15591103507931892
44,JADE,1.8094892765792014,0.19568102826040934
45,KIWI,1.4208314308374093,0.28634768742517935
46,LADYBUG,1.5052633452054598,0.2582232048822397
47,LAPIS LAZULI,3.038298785304767,0.07163205488736224
48,LAVENDER,0.3598139232521709,0.7024597108555931
49,LEMON,2.336936947118596,0.13312367496594346
50,LIME,2.683557145036165,0.11241211927271011
51,LONELINESS,0.42822858108430534,0.6605298787179265
52,MALLOW,1.3141101413437941,0.3077828892324028
53,MINT,14.110551844876397,0.0001506359023376591
54,MOSS,8.145634672360064,0.005823349768202646
55,MUD,0.7328821035896329,0.500842809970207
56,PEACE,2.020870463460092,0.16941316429006748
57,PEACH,7.631943816523158,0.005173078568048939
58,PEARL,5.90878497782689,0.009630079672803493
59,PETER PAN,41.05260070921984,7.912306031809813e-06
60,PIG,21.82953290635381,2.0146621714789426e-05
61,PIKACHU,5.386375015832091,0.025854135742467532
62,POND,8.29801439879569,0.004760081866422294
63,POPPY,0.8738147704748183,0.43432797520648736
64,PUMPKIN,0.37531831226381335,0.6948583192227946
65,RAGE,206.5909442379028,1.2119194536808209e-11
66,RELAX,0.8684153969529133,0.4396785223796188
67,RUBY,3.1430102460199034,0.06894551049219566
68,SADNESS,1.1947135829011741,0.3515552084583501
69,SALMON,0.028278920590545053,0.9721688835865702
70,SAND,1.4295581559937818,0.2667819954756443
71,SAPPHIRE,3.1992385338964957,0.07415529340656046
72,SEA,8.67763701230131,0.004037474243930972
73,SHAME,2.808431453554033,0.09007795434941668
74,SHRECK,3.8197750665743913,0.0629439770800806
75,SIMPSON,3.888411612278309,0.043599931725623375
76,SKIN,36.74030207885139,1.3505050350803849e-05
77,SKY,17.69943240789121,0.00014685118892898696
78,SMURF,3.210465163158711,0.07975673690067664
79,SONIC,12.526954527631005,0.00039024670426479613
80,SPRING,1.4798088874486044,0.26362441620961063
81,STITCH,2.6075860528112362,0.12263534407134125
82,SUBMARINE,1.3050824444088713,0.31361452811928436
83,SUMMER,264.6274370149454,5.497824417943775e-13
84,SUNFLOWER,0.9362708029567575,0.4169923028339383
85,SUNRISE,4.766596069142441,0.02273029463383025
86,SUNSET,3.7350134060624214,0.06145145106389682
87,THUNDERBOLT,5.983883619893517,0.013238963402726234
88,TIGER,1.2990992750571335,0.30176776289583096
89,TILE,56.33220837897237,1.7866378820841078e-08
90,TOAD,223.22379905550932,2.4023449896048987e-11
91,TOMATO,1.7687921758828664,0.224972216305365
92,TOXIC,1.2836798154141862,0.3124657528953547
93,TRACTOR,129.8129277590187,7.017659942043508e-08
94,WHALE,25.74617451391295,3.8977176145538195e-06
95,WHEAT,2.600685039827364,0.1095394920982592
96,WINTER,14.135762312295853,0.000548155098838432
97,WITCHCRAFT,27.619688835075625,2.0864304689505175e-05
98,WOOD,1.6968856088816267,0.212856401813448
99,ZUCCHINI,2.727567041488584,0.0999209724161697
