,Words,Stat,p-value
0,AMBER,1.739460674088047,0.22060259613733924
1,AMETHYST,0.8718000242059608,0.4371454314854403
2,APPLE,6.603253203677452,0.009554034541353729
3,ASPARAGUS,36.06049303630387,2.6774984140942593e-05
4,AUTUMN,26.016077613284622,0.00010887186132280124
5,AXOLOTL,0.4473077035817343,0.647603612776791
6,BANANA,1.0390779742221823,0.3795269257184716
7,BARBIE,1.7306910847221684,0.21857353992997175
8,BASIL,0.2389324435579668,0.7896837925539668
9,BEET,0.9436024635537082,0.4126328194114067
10,BLAS (Y EPI),0.7187369847751619,0.5133481109661358
11,BLOOD,5.11414681652505,0.01917783442225629
12,BRICK,0.05061846853735866,0.9507840253870012
13,BRUSH,19.57981347498067,0.00023752598626247678
14,CANARY,2.874672084100414,0.0990083520634305
15,CARNATION,0.5321505910893642,0.5954281992280319
16,COCONUT,7.580648928530041,0.004830983570722869
17,COOKIE MONSTER,11.162693239353423,0.0028332269890983808
18,CORAL,4.316405793771217,0.02942384306948498
19,CRICKET,2.5963592408826193,0.10988560353264165
20,CUCUMBER,2.1039474192772856,0.15652588678210055
21,DANGER,6755.785695562908,2.6318349721776713e-09
22,DISGUST,2.230358632553237,0.13982764011054538
23,ECOLOGY,0.6164534109440387,0.5591640194757574
24,EGG,14.292034321393942,0.0004151128498512957
25,EGGPLANT,16.511148209587965,0.0009737159274604279
26,ELMO,1.5314444932660196,0.25897017605877837
27,EMERALD,2.540074638130311,0.11450484751097045
28,EPI (Y BLAS),0.6695100453989686,0.5384615651191882
29,FEMINISM,13.473084619655621,0.0008556555977927705
30,FIRE,0.7311928746178191,0.49772406388223767
31,FLAMINGO,26.14488515305249,0.00010663907098085179
32,FLASH,2.4759538517703015,0.12582762559239702
33,FOX,4.778392183926208,0.027818266831471816
34,FROG,2.3640240010386737,0.12420520022079207
35,GOLD,1.9676139863760167,0.16872256707021793
36,GRAPE,1.288807671753856,0.31114910625192127
37,GRASS,0.23684170200823296,0.7914112332711883
38,GRINCH,8.051870024101278,0.00825061496936097
39,GRIZZLY,0.6830006015182907,0.5201338306763699
40,HAPINESS,671.8485897172953,7.571721027943568e-14
41,HOPE,22.201888810315463,1.8161744643196975e-05
42,HULK,20.972946162775507,0.00012115384146826891
43,HURRICANE,13.25120369113789,0.00048432264449860263
44,JADE,0.5520088414135628,0.5863740824772024
45,KIWI,1.2457040269792907,0.32880848950587327
46,LADYBUG,3.4169714276191,0.06419081879396249
47,LAPIS LAZULI,4.545072992660786,0.024372284816844725
48,LAVENDER,0.6178744040086024,0.549573839379942
49,LEMON,0.08351637711407803,0.9203308154923119
50,LIME,0.4500506066650887,0.6488303625096269
51,LONELINESS,0.672256449051407,0.527441205466656
52,MALLOW,1.5490914975540597,0.25542445740835107
53,MINT,10.7188361480892,0.0006860352658561997
54,MOSS,12.546728385377872,0.001146314092021039
55,MUD,0.689302759841614,0.5207417354784105
56,PEACE,11.464351831922817,0.001125505993126663
57,PEACH,9.003362469958352,0.002698771950856327
58,PEARL,7.155098616297336,0.0045296830063763505
59,PETER PAN,4.199957181557798,0.044132730463277814
60,PIG,2.0641579700603723,0.1575666606851407
61,PIKACHU,2.7372492754825553,0.11269822518650319
62,POND,45.073881878181076,1.422797128780573e-06
63,POPPY,1.120842158049654,0.34772244045960354
64,PUMPKIN,1.568850126137426,0.2481578787896206
65,RAGE,0.3698324576480344,0.6969768051236753
66,RELAX,3.5498452788244803,0.05467490004685449
67,RUBY,2.9807261872802426,0.07768216395614425
68,SADNESS,2.7784361182450543,0.1212612205532193
69,SALMON,0.6268212816989522,0.5477143964460053
70,SAND,7.204637884532322,0.005417806495446209
71,SAPPHIRE,2.014149409002013,0.1729890375341494
72,SEA,8.433419973215459,0.00448643629101575
73,SHAME,14.430373958282537,0.0002618350502670008
74,SHRECK,1.3238482734644006,0.31333656511400054
75,SIMPSON,1.7987773640924996,0.19941857215238978
76,SKIN,1.9752859612871136,0.18494467531421477
77,SKY,3.78991665903311,0.048368169143503836
78,SMURF,0.5140798352129453,0.611736301494427
79,SONIC,22.97082855126531,1.110190639264097e-05
80,SPRING,28.07066704749383,1.915739182689613e-05
81,STITCH,3.587515419993838,0.06691328820287912
82,SUBMARINE,0.5952003076093942,0.5698647942554651
83,SUMMER,404.3290884925229,2.0095036745715333e-14
84,SUNFLOWER,7.392907704992411,0.007174329839937266
85,SUNRISE,3.8271752372081553,0.042434640350420105
86,SUNSET,4.563222823029749,0.03906867179588047
87,THUNDERBOLT,6.91514125851283,0.008152164682402208
88,TIGER,2.1682076309151768,0.14888971926328198
89,TILE,26.28151049213685,4.573598680002178e-06
90,TOAD,49.74898814588774,4.344896383789987e-07
91,TOMATO,1.0222712691966982,0.39803979823389324
92,TOXIC,1.2708313679451133,0.3157934145742828
93,TRACTOR,24.586413237586047,0.00013784417790763115
94,WHALE,1.4220905949418254,0.2657476251530815
95,WHEAT,1.8178443223975649,0.1986777760573979
96,WINTER,1.7592920492192803,0.21076984114916497
97,WITCHCRAFT,5.932485477100698,0.014767605235250003
98,WOOD,1.865664814904929,0.18513349380946287
99,ZUCCHINI,3.377197683752648,0.06355147719615584
