,Words,Stat,p-value
0,AMBER,1.5225871556345745,0.26077174558889016
1,AMETHYST,2.354543912800788,0.12696151668949585
2,APPLE,50.04943638800025,4.1872295730716047e-07
3,ASPARAGUS,43.27134091309413,1.1923484903086923e-05
4,AUTUMN,1.2209717152197441,0.33539677932272405
5,AXOLOTL,3.903546205358617,0.04316781094497191
6,BANANA,6.529270289229033,0.00992580336490434
7,BARBIE,0.866112111420766,0.4452891978932412
8,BASIL,2.7808557231312703,0.08598064062745936
9,BEET,1.2679433123625128,0.31181991438558065
10,BLAS (Y EPI),0.28200486190355833,0.7606962091524987
11,BLOOD,0.8921772733681383,0.42919534072826016
12,BRICK,2.2515963080021786,0.13568779903735106
13,BRUSH,30.764269554068573,3.125076507692892e-05
14,CANARY,8.22995504056782,0.00652851879973626
15,CARNATION,0.14234912692420643,0.8681893207885322
16,COCONUT,6.638543736658113,0.007956771730145418
17,COOKIE MONSTER,6.987816885460768,0.012622620328489265
18,CORAL,2.3378326608658413,0.12514462457946074
19,CRICKET,2.413941240345159,0.1256857084928772
20,CUCUMBER,3.150609426268831,0.0720528286151686
21,DANGER,4.061689786662566,0.08960057260381216
22,DISGUST,2.4066985306392663,0.12195963216171357
23,ECOLOGY,19.278380977047128,0.00037046860599831977
24,EGG,1.205739227104249,0.32874738069926357
25,EGGPLANT,1.359308677339468,0.3048931108087909
26,ELMO,3.404077390783751,0.07067335341808778
27,EMERALD,5.664828884697167,0.015757633507431867
28,EPI (Y BLAS),0.5355602472188035,0.6049454360444392
29,FEMINISM,21.544115092503628,0.00010684016645123862
30,FIRE,1.362730138831382,0.28589267804792184
31,FLAMINGO,2.3388887421448614,0.14679068683200647
32,FLASH,2.476079760958025,0.12581641125777077
33,FOX,3.822515507612342,0.049468732423008865
34,FROG,1.5507231316474424,0.24064882028355505
35,GOLD,45.27346189386631,9.481888962881158e-08
36,GRAPE,1.5293722210271263,0.2560677573537471
37,GRASS,0.4210422321855415,0.662338371423949
38,GRINCH,46.20687768224412,8.875821161824504e-06
39,GRIZZLY,2.1555173555470444,0.15036364994937257
40,HAPINESS,49.26482269669674,8.562384004040524e-07
41,HOPE,7.534351549906867,0.004540712014319048
42,HULK,35.65929524798872,8.925570611828526e-06
43,HURRICANE,1.788551724748261,0.20107100394626298
44,JADE,0.7344325029680112,0.49527037523173256
45,KIWI,0.20042099089999005,0.8215944723302888
46,LADYBUG,4.175430919603797,0.039758649433803916
47,LAPIS LAZULI,5.048553377374722,0.017441588596332713
48,LAVENDER,1.5650187985594244,0.23487065954940944
49,LEMON,2.341950956220471,0.1326243288771659
50,LIME,1.7063012893099712,0.22624370599474752
51,LONELINESS,0.8845746632267725,0.4363361145152307
52,MALLOW,0.4034758638595557,0.6774885134442581
53,MINT,14.204766928643878,0.00014487416601127734
54,MOSS,16.49403092677774,0.0003601668809039005
55,MUD,16.810462657089488,0.0003312096167928935
56,PEACE,0.6580018059815139,0.5331851302582853
57,PEACH,9.712180809636795,0.001968748446862345
58,PEARL,1.2449077493688512,0.3093435254314134
59,PETER PAN,5.722529326509933,0.019792273011101535
60,PIG,0.9042767497350808,0.42344300139357505
61,PIKACHU,7.119554490690039,0.01195134389986685
62,POND,16.224090718324835,0.0002929371653188628
63,POPPY,0.20437625508678128,0.8170211789119833
64,PUMPKIN,1.5753147077822485,0.24688995663665625
65,RAGE,0.7125520889747724,0.5062598043140746
66,RELAX,0.8651584062678327,0.44096407086240574
67,RUBY,1.5406746321920144,0.2427036286745099
68,SADNESS,14.291796827691222,0.002286727895560503
69,SALMON,0.3195147896021619,0.731325867468396
70,SAND,7.2139791806464535,0.005390491859744051
71,SAPPHIRE,2.8000235707465437,0.09745194197344453
72,SEA,3.9224885405396708,0.046464636854904096
73,SHAME,2.5390467785031756,0.11023239378461647
74,SHRECK,4.478887236431449,0.044663729406102415
75,SIMPSON,1.2886254929222996,0.30447545447851354
76,SKIN,7.356119875709534,0.009373251477695077
77,SKY,5.15684828050214,0.020986465584664105
78,SMURF,0.7606575207842573,0.49043909620351733
79,SONIC,8.499371328178336,0.002517564256927951
80,SPRING,3.315725047926733,0.0686185154032739
81,STITCH,1.141860865411264,0.35756100725187345
82,SUBMARINE,1.9824569901290134,0.1882819447279599
83,SUMMER,208.14294559215375,3.5220715233208466e-12
84,SUNFLOWER,1.9856126146550659,0.1768055968545078
85,SUNRISE,2.0318977839524486,0.1617165497971741
86,SUNSET,8.658171390402947,0.006574870915563857
87,THUNDERBOLT,5.14818611283134,0.021091439552622493
88,TIGER,2.1745298810783407,0.14816152789445647
89,TILE,32.10653780089974,1.1560709445301853e-06
90,TOAD,40.568425310539205,1.4943586977844703e-06
91,TOMATO,4.258004663146606,0.04996122031354011
92,TOXIC,1.1234517964376702,0.3570792084069746
93,TRACTOR,21.47509734661368,0.00024024933456878728
94,WHALE,1.7768665912663935,0.196148072720554
95,WHEAT,5.630747495510723,0.016057684037029785
96,WINTER,11.5379398094578,0.001314382448262541
97,WITCHCRAFT,4.229651709479838,0.0384707149380189
98,WOOD,5.425079246553139,0.015058462361125513
99,ZUCCHINI,4.069405216784343,0.040440477853669554
