word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.3349246382713318
SALMON,G,11,225,146,123,0.33431392908096313
SALMON,G,12,223,145,126,0.3333176374435425
SALMON,D,11,208,96,88,0.3329247832298279
SALMON,F,12,219,133,119,0.3325175642967224
WHALE,K,28,68,91,135,0.30703574419021606
WHALE,L,30,66,90,141,0.3056105077266693
WHALE,K,29,68,88,139,0.3055974245071411
WHALE,K,30,65,82,135,0.30549442768096924
WHALE,J,28,70,87,138,0.30545616149902344
GRIZZLY,A,1,82,48,27,0.2834295630455017
GRIZZLY,B,1,115,71,37,0.28220006823539734
GRIZZLY,I,13,207,190,146,0.2808132767677307
GRIZZLY,A,2,90,47,30,0.2805994153022766
GRIZZLY,C,1,143,92,43,0.2805617153644562
FLAMINGO,E,14,217,110,120,0.34217390418052673
FLAMINGO,D,14,207,88,104,0.3401595950126648
FLAMINGO,E,15,214,104,131,0.3399648666381836
FLAMINGO,D,15,206,85,112,0.33935225009918213
FLAMINGO,F,15,218,127,144,0.3392559885978699
FOX,C,9,210,75,50,0.3161178231239319
FOX,C,10,213,78,66,0.3161078095436096
FOX,C,8,205,72,45,0.3151196837425232
FOX,B,10,206,66,49,0.3146509528160095
FOX,B,11,207,67,54,0.31414568424224854
CRICKET,I,18,191,193,194,0.32125574350357056
CRICKET,P,11,63,120,66,0.31513527035713196
CRICKET,I,13,207,190,146,0.3150719404220581
CRICKET,P,12,67,127,70,0.3147890865802765
CRICKET,P,10,65,118,66,0.31467464566230774
CANARY,L,2,228,217,53,0.3634442090988159
CANARY,L,1,229,216,45,0.36335790157318115
CANARY,L,3,227,217,60,0.3632773756980896
CANARY,K,5,230,221,85,0.3627344071865082
CANARY,K,2,234,219,67,0.3626362085342407
PIG,G,15,222,144,155,0.2941970229148865
PIG,H,15,218,165,158,0.2940751910209656
PIG,F,15,218,127,144,0.29318344593048096
PIG,E,15,214,104,131,0.2923271059989929
PIG,G,14,220,142,135,0.29200929403305054
TIGER,E,3,223,136,44,0.2943164110183716
TIGER,E,2,217,140,41,0.2942984998226166
TIGER,E,4,218,131,42,0.2937323749065399
TIGER,F,3,228,158,50,0.29364001750946045
TIGER,F,4,230,160,63,0.2933882474899292
LADYBUG,C,12,210,78,76,0.286823570728302
LADYBUG,C,11,211,78,73,0.28666824102401733
LADYBUG,B,12,209,65,59,0.28589317202568054
LADYBUG,C,13,207,75,83,0.2857033610343933
LADYBUG,C,10,213,78,66,0.28501981496810913
FROG,M,11,128,174,91,0.2991929352283478
FROG,M,10,139,180,87,0.2990871071815491
FROG,L,11,158,188,108,0.29853788018226624
FROG,N,9,116,167,70,0.29851871728897095
FROG,M,9,145,182,83,0.29842448234558105
AXOLOTL,D,16,207,85,124,0.2547491788864136
AXOLOTL,C,16,209,65,110,0.25442439317703247
AXOLOTL,E,15,214,104,131,0.25415506958961487
AXOLOTL,D,15,206,85,112,0.25402015447616577
AXOLOTL,B,17,207,55,102,0.2540196478366852
TOAD,I,18,191,193,194,0.2572426199913025
TOAD,I,14,209,200,158,0.2512056827545166
TOAD,I,13,207,190,146,0.2505796253681183
TOAD,I,15,204,200,166,0.2504677176475525
TOAD,I,12,220,198,142,0.24786627292633057
LEMON,K,5,230,221,85,0.3543075919151306
LEMON,K,6,227,220,95,0.35419902205467224
LEMON,L,4,223,217,68,0.35381799936294556
LEMON,K,4,235,222,79,0.3532828092575073
LEMON,L,3,227,217,60,0.35293853282928467
LIME,M,5,194,204,68,0.39637497067451477
LIME,M,4,202,207,62,0.3959668278694153
LIME,N,1,180,193,51,0.39423561096191406
LIME,N,2,178,191,54,0.39233309030532837
LIME,M,6,182,198,73,0.3920791745185852
KIWI,L,8,185,199,94,0.3375030755996704
KIWI,L,9,174,194,96,0.3374341130256653
KIWI,M,7,171,194,77,0.33701440691947937
KIWI,M,6,182,198,73,0.3369777798652649
KIWI,K,10,194,204,116,0.33657050132751465
PUMPKIN,E,3,223,136,44,0.33754563331604004
PUMPKIN,E,4,218,131,42,0.33728083968162537
PUMPKIN,E,2,217,140,41,0.33603373169898987
PUMPKIN,E,5,217,125,46,0.3357485830783844
PUMPKIN,E,6,213,114,50,0.3326597809791565
ZUCCHINI,M,11,128,174,91,0.31828850507736206
ZUCCHINI,M,12,124,172,97,0.3181264400482178
ZUCCHINI,L,11,158,188,108,0.3180609941482544
ZUCCHINI,L,12,152,186,114,0.31777745485305786
ZUCCHINI,L,10,165,191,101,0.317661851644516
GRAPE,E,23,128,81,133,0.37056535482406616
