,Words,Stat,p-value
0,AMBER,1.036971054462492,0.38674410410880256
1,AMETHYST,1.9570026105716156,0.17365645373656424
2,APPLE,3.4383044647503502,0.06099251737413325
3,ASPARAGUS,6.483633746789784,0.01564780254689302
4,AUTUMN,1.7501049971722387,0.22299615778593596
5,AXOLOTL,0.6674252533243636,0.5276193457183633
6,BANANA,1.84893984171635,0.19384186595677466
7,BARBIE,0.87182473396009,0.4430727662417263
8,BASIL,1.3170299129698886,0.29018526888728857
9,BEET,0.908819771650183,0.4255048633623736
10,BLAS (Y EPI),0.6941911254668247,0.524355279998894
11,BLOOD,1.2027800041454741,0.3261125966515719
12,BRICK,0.15648491137842466,0.8563621609897408
13,BRUSH,22.68544331945954,0.00012498503229474434
14,CANARY,7.952838483821893,0.007303283979480657
15,CARNATION,0.5329158524962674,0.594995736573007
16,COCONUT,66.52945427727035,1.7623670522937118e-08
17,COOKIE MONSTER,1.4049471943441991,0.28991604665991844
18,CORAL,1.9322772383085631,0.17369481509191476
19,CRICKET,3.813765741239051,0.047626380747859964
20,CUCUMBER,7.8490998218804595,0.004648765577441982
21,DANGER,3.1510085085311075,0.13017725775285516
22,DISGUST,0.9157217726873332,0.42021140727627604
23,ECOLOGY,4.762041562532895,0.03524899668281234
24,EGG,7.245003963873223,0.006919078519710853
25,EGGPLANT,0.9243349125148432,0.4314168259603399
26,ELMO,4.487037401694038,0.037591795758982305
27,EMERALD,2.074344655560838,0.1625471607085054
28,EPI (Y BLAS),0.6608757046842526,0.5424626980466251
29,FEMINISM,9.670373739132206,0.0031508764560796987
30,FIRE,2.179745907634812,0.14756378825697403
31,FLAMINGO,7.662708700646603,0.009598799945812031
32,FLASH,2.3385796950510565,0.13878898487933455
33,FOX,5.3008448242731365,0.020725340319955543
34,FROG,3.279455022210607,0.06244485817692269
35,GOLD,3.8074057355242297,0.04178612241090163
36,GRAPE,1.8712900740997884,0.1961697316530221
37,GRASS,0.42101941544459204,0.6623528426416907
38,GRINCH,5.323361369015964,0.02665289395217929
39,GRIZZLY,187.4307244355759,2.4482638139033952e-11
40,HAPINESS,2.8112062700862954,0.0966936954758626
41,HOPE,212.99910412814793,9.212630658339549e-13
42,HULK,20.71090462080699,0.0001284623678924346
43,HURRICANE,1.2398986467625315,0.3174398922459716
44,JADE,0.6081114337263527,0.5564893442830985
45,KIWI,1.596748164099126,0.2501499942943839
46,LADYBUG,0.6804162585504552,0.5235573702778447
47,LAPIS LAZULI,4.543214706749785,0.024402940436692
48,LAVENDER,0.9519754206117845,0.4036357666628182
49,LEMON,0.31958619538601,0.7316115857241967
50,LIME,0.7937467068329901,0.47642424961016683
51,LONELINESS,0.13534025461383953,0.8746333458449216
52,MALLOW,0.25800464525413064,0.7771390501954906
53,MINT,8.719483980956866,0.001892610614361967
54,MOSS,16.29349336244717,0.0003800482516936876
55,MUD,9.31434942670042,0.0036167308400751885
56,PEACE,14.225183020740092,0.00042435192214740347
57,PEACH,7.634912507886744,0.0051654732281527505
58,PEARL,12.389732548591567,0.00031587186277026724
59,PETER PAN,5.723021345381362,0.019787501153282094
60,PIG,4.5101313224894986,0.02683283660500313
61,PIKACHU,3.2904218040920896,0.07979338422141646
62,POND,21.59078569683111,7.38365771079108e-05
63,POPPY,1.4022218151437587,0.2716736963548938
64,PUMPKIN,0.3761990673224976,0.6942826263963362
65,RAGE,0.2540790271023087,0.7789019727679665
66,RELAX,0.5738967098328549,0.5752220915825388
67,RUBY,2.9811919680351657,0.0776553803695782
68,SADNESS,0.7019164781880618,0.5237696433727925
69,SALMON,0.7961079593831496,0.4692470088070406
70,SAND,10.966479851547952,0.0008732081078363096
71,SAPPHIRE,3.199232389182922,0.07415559877246858
72,SEA,9.314309827089696,0.0030910799514531906
73,SHAME,5.002436541093383,0.020536288322389407
74,SHRECK,3.0262155222025937,0.09882376230201484
75,SIMPSON,6.163034882747849,0.011126425056245393
76,SKIN,33.19289506672144,2.18787774949325e-05
77,SKY,1.549157165308687,0.2467306894903274
78,SMURF,0.5134727146894847,0.6120760637779461
79,SONIC,22.97510675037842,1.1088544848769644e-05
80,SPRING,16.260415570504282,0.0002899116050860684
81,STITCH,4.058612579413308,0.05123203316492664
82,SUBMARINE,12.727439628315272,0.001784924893533102
83,SUMMER,21.52469784519766,2.905602509395422e-05
84,SUNFLOWER,4.594930040352357,0.030947610726378305
85,SUNRISE,0.17577344082955146,0.8403131286901749
86,SUNSET,3.5906447000183523,0.06679150576897475
87,THUNDERBOLT,10.51995351869394,0.00162538269900514
88,TIGER,3.9314927502080783,0.04238257956799185
89,TILE,0.691682667729042,0.5135584904212733
90,TOAD,163.5255816232296,1.9640811199650443e-10
91,TOMATO,0.09684966259651452,0.9086255801981029
92,TOXIC,5.956883341128199,0.015966125924165242
93,TRACTOR,159.87023014607323,2.565303780510675e-08
94,WHALE,8.536902057157244,0.0022637880010973888
95,WHEAT,2.9999002941609874,0.08236004807244868
96,WINTER,1716.1955913723893,2.220446049250313e-16
97,WITCHCRAFT,10.395061217109953,0.0020113993940978903
98,WOOD,3.691160597016834,0.04663134299571137
99,ZUCCHINI,12.846737347302767,0.000678988508737155
