,Words,Stat,p-value
0,AMBER,0.6449724004013249,0.5434194026656879
1,AMETHYST,2.9353578297984386,0.08204571540858985
2,APPLE,3.6336269433670103,0.05356934546881065
3,ASPARAGUS,7.2700152523858295,0.011236330601514743
4,AUTUMN,1.3485923059529785,0.30301409422356196
5,AXOLOTL,0.666626336883412,0.5280065843969834
6,BANANA,1.343544602160223,0.2925715798219819
7,BARBIE,0.8727107337395226,0.44273016266806664
8,BASIL,3.266486333331789,0.05921624442219675
9,BEET,0.7720190627317417,0.4807831960212293
10,BLAS (Y EPI),0.7963620281192464,0.48034892966117726
11,BLOOD,1.9884709268763037,0.16932762502138698
12,BRICK,0.15643937001515373,0.8564004568384378
13,BRUSH,22.66848066143818,0.00012539954670021114
14,CANARY,4.06720668176804,0.04760761587798645
15,CARNATION,0.6188552783376238,0.548558539868403
16,COCONUT,7.823617332170657,0.004268484634476155
17,COOKIE MONSTER,2.582190914701989,0.12470286870901615
18,CORAL,1.9579203604901056,0.1700706325832141
19,CRICKET,3.852926428796664,0.04643637046692417
20,CUCUMBER,3.269362188150427,0.0663032172137531
21,DANGER,3.1713554070081162,0.1290128179785025
22,DISGUST,0.8709793049507518,0.43746908447286104
23,ECOLOGY,1.1344069995841795,0.35973863958085783
24,EGG,8.319751893303929,0.004158379843757887
25,EGGPLANT,1.4557893093710923,0.28328876145337234
26,ELMO,8.331223732070228,0.006269912161756541
27,EMERALD,2.6073417317896053,0.10900931452496532
28,EPI (Y BLAS),1.0637375922665777,0.38936346416325396
29,FEMINISM,8.77625177281113,0.004482515578939084
30,FIRE,2.180261885700822,0.14750480755186313
31,FLAMINGO,7.463062387658073,0.010392647010226241
32,FLASH,2.338836632721407,0.13876332851510953
33,FOX,8.79533559930214,0.0038397526655540304
34,FROG,5.028917643421568,0.019245310296029494
35,GOLD,2.910476977295383,0.08031935260202139
36,GRAPE,3.0514678450410395,0.08483858660797461
37,GRASS,0.4208572842913331,0.6624556822571023
38,GRINCH,5.316169920659052,0.026745922823524726
39,GRIZZLY,9.374189665096996,0.0022844808852839904
40,HAPINESS,436.87218729549016,1.2021494910641195e-12
41,HOPE,216.3600688410653,8.105738302788268e-13
42,HULK,20.99245918992811,0.00012062929279088586
43,HURRICANE,5.641341535747285,0.014899157347012304
44,JADE,0.37103575513863835,0.6958030377790416
45,KIWI,1.3446773679340571,0.3039501120897734
46,LADYBUG,0.6811591897235575,0.5232053982864939
47,LAPIS LAZULI,5.469846144111762,0.013298711069758662
48,LAVENDER,0.7680152123283216,0.4778069557498673
49,LEMON,0.2029293133174782,0.818695136538765
50,LIME,0.7937924621837039,0.47640520031484124
51,LONELINESS,0.4336678682826062,0.6571690377213388
52,MALLOW,0.8464214763771678,0.45507793848501377
53,MINT,9.299718416410162,0.0013947304197555743
54,MOSS,16.294385097386176,0.00037995705337190433
55,MUD,1.1161019820829288,0.35929777010491726
56,PEACE,13.560572641175222,0.0005302001382349042
57,PEACH,7.633934756273527,0.0051679766800605265
58,PEARL,5.199891113477479,0.015191310192774865
59,PETER PAN,5.7142379570809885,0.019872892002239073
60,PIG,4.099170339692156,0.035249609809653526
61,PIKACHU,3.2873845614959607,0.07993970877518564
62,POND,14.514360021587688,0.0004870591692001103
63,POPPY,1.3768963679094997,0.277699609533695
64,PUMPKIN,0.8259081343309094,0.4612590156014581
65,RAGE,0.25429940145112995,0.7787359672856509
66,RELAX,0.17990800897762949,0.8371231270545011
67,RUBY,2.9784497512578136,0.0778132134839239
68,SADNESS,1.094940671522381,0.3799123753089588
69,SALMON,1.153257295911685,0.3420679195718298
70,SAND,7.217934429238647,0.005378972831541207
71,SAPPHIRE,3.2008708016920457,0.07407422805779096
72,SEA,8.433504822888334,0.0044862706009380915
73,SHAME,3.60847641384488,0.0508766033969843
74,SHRECK,3.3297205032461235,0.08271764184261665
75,SIMPSON,4.516427272215903,0.029150382531600738
76,SKIN,1.783626087713694,0.21334514147765415
77,SKY,18.29240023418553,0.00012438154896599052
78,SMURF,1.0078160496753894,0.39637003468518994
79,SONIC,22.974606794395417,1.1090105373923187e-05
80,SPRING,8.034994470450814,0.0053486004607656845
81,STITCH,4.06398242742427,0.05108045384673876
82,SUBMARINE,1.534678362692177,0.26225811749079997
83,SUMMER,28.30844563797015,5.554674803232018e-06
84,SUNFLOWER,1.6987664629212236,0.22109120383490288
85,SUNRISE,0.4904525877188215,0.620751318195427
86,SUNSET,4.08530220433208,0.050483927292531594
87,THUNDERBOLT,8.690601690411139,0.003517297431967048
88,TIGER,3.926996781440812,0.04250780577180946
89,TILE,0.787328840103199,0.4701159248662201
90,TOAD,179.73345523496874,1.0402345651527867e-10
91,TOMATO,0.09595119466846294,0.9094251809961456
92,TOXIC,0.9318859285786909,0.42053200937136004
93,TRACTOR,157.2736585030213,2.7772174449047782e-08
94,WHALE,15.770861164271597,9.193562933107469e-05
95,WHEAT,2.8415435700930147,0.09209663100858423
96,WINTER,3.552039671364308,0.05878744125379487
97,WITCHCRAFT,10.260555682353667,0.0021186642202268846
98,WOOD,6.72020920412397,0.007071077256603608
99,ZUCCHINI,12.823603139754768,0.0006845546376600398
