word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,13,221,143,129,0.2748397886753082
SALMON,F,13,213,130,122,0.27420714497566223
SALMON,F,12,219,133,119,0.27376917004585266
SALMON,G,12,223,145,126,0.2736310362815857
SALMON,G,14,220,142,135,0.27338460087776184
WHALE,K,23,111,164,184,0.2801520824432373
WHALE,J,20,146,185,193,0.280059278011322
WHALE,K,20,144,191,190,0.2796235978603363
WHALE,K,21,130,186,197,0.27927273511886597
WHALE,K,24,102,146,172,0.2788964509963989
GRIZZLY,G,17,192,152,164,0.27170950174331665
GRIZZLY,G,16,206,150,162,0.27135413885116577
GRIZZLY,H,16,200,164,172,0.27124544978141785
GRIZZLY,G,18,185,148,162,0.26940807700157166
GRIZZLY,J,20,146,185,193,0.2693548798561096
FLAMINGO,G,16,206,150,162,0.2907252907752991
FLAMINGO,F,16,202,130,150,0.2896684408187866
FLAMINGO,G,14,220,142,135,0.28947192430496216
FLAMINGO,F,14,217,130,129,0.2885085940361023
FLAMINGO,H,15,218,165,158,0.28839030861854553
FOX,I,18,191,193,194,0.2562083899974823
FOX,J,18,180,202,194,0.2546035051345825
FOX,J,17,181,202,191,0.2540301978588104
FOX,I,17,192,196,189,0.25359708070755005
FOX,J,19,165,194,195,0.252929151058197
CRICKET,L,16,146,186,143,0.27808982133865356
CRICKET,J,13,197,200,155,0.27756237983703613
CRICKET,J,12,203,205,152,0.2773548364639282
CRICKET,N,6,147,183,68,0.2773376405239105
CRICKET,I,15,204,200,166,0.2772510349750519
CANARY,L,1,229,216,45,0.3153191804885864
CANARY,K,2,234,219,67,0.31524336338043213
CANARY,K,4,235,222,79,0.31519579887390137
CANARY,K,3,234,219,71,0.3148791491985321
CANARY,L,2,228,217,53,0.3147773742675781
PIG,G,16,206,150,162,0.292240172624588
PIG,H,15,218,165,158,0.2887539267539978
PIG,H,16,200,164,172,0.28796523809432983
PIG,F,16,202,130,150,0.2878395617008209
PIG,F,17,189,129,153,0.2877703309059143
TIGER,E,3,223,136,44,0.2653944492340088
TIGER,E,2,217,140,41,0.2646036446094513
TIGER,F,5,230,158,69,0.26429158449172974
TIGER,F,3,228,158,50,0.26424628496170044
TIGER,F,4,230,160,63,0.2642239034175873
LADYBUG,A,10,205,61,45,0.2642902433872223
LADYBUG,A,11,205,61,45,0.2642902433872223
LADYBUG,A,14,203,57,56,0.26405078172683716
LADYBUG,A,13,194,54,46,0.26369509100914
LADYBUG,B,12,209,65,59,0.26367199420928955
FROG,N,7,130,175,68,0.28670260310173035
FROG,L,16,146,186,143,0.28659600019454956
FROG,N,8,126,173,68,0.28644800186157227
FROG,N,6,147,183,68,0.2863537073135376
FROG,L,15,147,185,134,0.2857404053211212
AXOLOTL,H,16,200,164,172,0.2876443564891815
AXOLOTL,G,17,192,152,164,0.2874107360839844
AXOLOTL,G,16,206,150,162,0.28423166275024414
AXOLOTL,G,18,185,148,162,0.284183531999588
AXOLOTL,H,17,192,166,175,0.2816072702407837
TOAD,I,13,207,190,146,0.26632159948349
TOAD,I,14,209,200,158,0.26331502199172974
TOAD,H,16,200,164,172,0.2608446478843689
TOAD,G,17,192,152,164,0.2606017291545868
TOAD,I,18,191,193,194,0.2600855827331543
LEMON,K,5,230,221,85,0.2993198037147522
LEMON,K,4,235,222,79,0.29931768774986267
LEMON,L,2,228,217,53,0.29868942499160767
LEMON,L,3,227,217,60,0.2986457347869873
LEMON,K,2,234,219,67,0.2985423505306244
LIME,N,6,147,183,68,0.34178629517555237
LIME,N,5,154,184,62,0.34149208664894104
LIME,M,7,171,194,77,0.3409927487373352
LIME,M,8,158,189,81,0.34092336893081665
LIME,N,4,161,186,60,0.34086859226226807
KIWI,N,5,154,184,62,0.2833729386329651
KIWI,N,4,161,186,60,0.2830847501754761
KIWI,N,6,147,183,68,0.2827445864677429
KIWI,N,3,170,189,58,0.2821477949619293
KIWI,M,8,158,189,81,0.28198403120040894
PUMPKIN,E,3,223,136,44,0.29105424880981445
PUMPKIN,E,4,218,131,42,0.29033929109573364
PUMPKIN,E,5,217,125,46,0.29000988602638245
PUMPKIN,E,6,213,114,50,0.28813436627388
PUMPKIN,E,2,217,140,41,0.2872013747692108
ZUCCHINI,L,16,146,186,143,0.2745231091976166
ZUCCHINI,K,16,170,198,166,0.2740369439125061
ZUCCHINI,L,17,148,189,154,0.2735956609249115
ZUCCHINI,K,15,163,188,147,0.27279359102249146
ZUCCHINI,L,15,147,185,134,0.2725372612476349
GRAPE,D,26,108,66,123,0.3230381906032562
GRAPE,A,29,109,61,122,0.3229687213897705
GRAPE,B,28,109,61,122,0.3229687213897705
GRAPE,C,25,123,68,124,0.32294535636901855
GRAPE,C,28,102,62,123,0.32294249534606934
CUCUMBER,L,16,146,186,143,0.27825453877449036
CUCUMBER,L,15,147,185,134,0.2772977948188782
CUCUMBER,K,16,170,198,166,0.27688226103782654
CUCUMBER,L,17,148,189,154,0.27669113874435425
CUCUMBER,K,15,163,188,147,0.27654847502708435
COCONUT,K,20,144,191,190,0.26584693789482117
COCONUT,J,20,146,185,193,0.26552653312683105
COCONUT,H,16,200,164,172,0.2654036283493042
COCONUT,K,15,163,188,147,0.2647148370742798
COCONUT,G,17,192,152,164,0.26440680027008057
