,Words,Stat,p-value
0,AMBER,1.0892731743016342,0.3701591358638562
1,AMETHYST,0.8713283391434088,0.4373314089065995
2,APPLE,7.151506147263794,0.007245487801291084
3,ASPARAGUS,4.172094180424157,0.04814015610931177
4,AUTUMN,32.475903428640066,4.227556942060229e-05
5,AXOLOTL,0.6661098068745429,0.5282571204458635
6,BANANA,0.40788298937460865,0.6727093795211775
7,BARBIE,15.805786710768988,0.00043398722284604396
8,BASIL,2.250899748935837,0.13131675439106327
9,BEET,0.7419398959541608,0.4940122434112004
10,BLAS (Y EPI),0.8747394424969416,0.4496224038055806
11,BLOOD,4.348761929346,0.03102648321746304
12,BRICK,0.1758281798172852,0.8402680640800063
13,BRUSH,17.14524330632216,0.00041650607527610184
14,CANARY,7.956877972875095,0.007291234461403673
15,CARNATION,2.6516827658766715,0.09517372406244928
16,COCONUT,90.14641701376176,1.9486071645147263e-09
17,COOKIE MONSTER,6.109164306436875,0.01846898681055964
18,CORAL,3.325751508112869,0.059001345207761124
19,CRICKET,8.469021453350154,0.0038854952981647317
20,CUCUMBER,20.39212517513152,5.27044679630162e-05
21,DANGER,70.05267008967006,0.00022040250268595685
22,DISGUST,0.7280425888525004,0.49817857034476465
23,ECOLOGY,0.09075814512198238,0.913982115515696
24,EGG,9.928468306677027,0.0020671054244040254
25,EGGPLANT,10.745116010200729,0.004124468689225891
26,ELMO,0.7260137997025621,0.5056375962047188
27,EMERALD,1.647784726365194,0.2276943165143166
28,EPI (Y BLAS),4.2610121142382305,0.05496761949450013
29,FEMINISM,5.814079412022957,0.01715964060423847
30,FIRE,1.0979917152872494,0.358906900300771
31,FLAMINGO,20.450758167370463,0.00029264856581412424
32,FLASH,13.175850735230654,0.0009383819800802273
33,FOX,327.15280266134226,7.629896714433926e-12
34,FROG,1.625168552367504,0.2260172804885996
35,GOLD,45.40804637754882,9.272874812449317e-08
36,GRAPE,1.959410649015118,0.18349406911435495
37,GRASS,15.666588197946789,9.561873496932716e-05
38,GRINCH,11.006733544919843,0.0029739690461257906
39,GRIZZLY,294.0998324109751,9.272582701669307e-13
40,HAPINESS,56.165199228436784,4.011114481672351e-07
41,HOPE,38.614883117253136,4.7666895219844463e-07
42,HULK,59.86616372172571,5.713908562965386e-07
43,HURRICANE,16.024252815600697,0.00018905609774222398
44,JADE,0.6077220772420651,0.5566907513812771
45,KIWI,1.6172709881607552,0.24629490125790365
46,LADYBUG,0.7350123655069041,0.4984039929650531
47,LAPIS LAZULI,3.52205699610811,0.04999402780832274
48,LAVENDER,1.0805573982932173,0.35937101702469887
49,LEMON,2.339251367837329,0.13289291486556343
50,LIME,0.44931657262661534,0.6492707789665978
51,LONELINESS,0.10719757215040342,0.8991339789502057
52,MALLOW,0.18555167867737074,0.8331926488045033
53,MINT,11.409187451239312,0.0004943085846396134
54,MOSS,24.817928488758795,5.4461154540774714e-05
55,MUD,7.553592912852411,0.0075262887886663465
56,PEACE,12.430245839778008,0.000787658948795178
57,PEACH,11.87666145908221,0.0008097805458094909
58,PEARL,3.8949050934204856,0.037277274561732354
59,PETER PAN,0.4610005379533382,0.6423021956239212
60,PIG,3.7127631740438027,0.0459348621045087
61,PIKACHU,7.099463840453954,0.012050897476964195
62,POND,4.1553200203026135,0.04024895254483718
63,POPPY,1.6732094871202694,0.21553970434715475
64,PUMPKIN,1.566482018104178,0.24862424453163579
65,RAGE,1.2934073918775322,0.30323583246141905
66,RELAX,2.171670113486886,0.1484904123511579
67,RUBY,2.1473806840928944,0.14739991105401407
68,SADNESS,0.5972577775004979,0.5731186491292799
69,SALMON,1.287674297419369,0.30472271920666727
70,SAND,10.969470529669408,0.0008720686400250921
71,SAPPHIRE,1.6841673440954907,0.22366733443184705
72,SEA,0.22152885217396576,0.804256133212462
73,SHAME,8.31816201504732,0.0033369520814187092
74,SHRECK,9.174190525994518,0.00672820153356124
75,SIMPSON,1.7963371067227891,0.19981150755354804
76,SKIN,1.9784509641830208,0.18451459116275615
77,SKY,58.526993212805,1.5876128234282305e-07
78,SMURF,1.7003645273008094,0.2272715804139127
79,SONIC,8.880596248301872,0.002073693729136572
80,SPRING,2.9090836864443435,0.09033980836917621
81,STITCH,4.641191973603281,0.037514258699364644
82,SUBMARINE,5.613184350353907,0.023207132500963068
83,SUMMER,46.89070466803728,2.0357734531462057e-07
84,SUNFLOWER,1.700321376809702,0.22081884978628408
85,SUNRISE,3.717837608864445,0.04577295036210882
86,SUNSET,15.695934793488105,0.0008230472814515499
87,THUNDERBOLT,6.215604627223946,0.011697068111005127
88,TIGER,3.1960120431328294,0.06979034594447131
89,TILE,66.18643738000907,5.045765028022231e-09
90,TOAD,34.4647136165272,3.907829335236812e-06
91,TOMATO,0.09604636322110613,0.9093404440486914
92,TOXIC,1.1744077082443516,0.3421300203111698
93,TRACTOR,210.39224746743523,6.740617508604885e-09
94,WHALE,2.848301086227099,0.0828143796170735
95,WHEAT,19.835908724953878,8.216221476620156e-05
96,WINTER,8.63151155589939,0.004118146366085318
97,WITCHCRAFT,18.820662829957453,0.00014499360963815544
98,WOOD,100.06645251225851,3.9504621796027095e-10
99,ZUCCHINI,39.006686312940744,1.8877288078256171e-06
