word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,12,219,133,119,-0.02175489440560341
SALMON,F,11,223,134,112,-0.02224181778728962
SALMON,G,13,221,143,129,-0.02284727804362774
SALMON,G,12,223,145,126,-0.02315470017492771
SALMON,G,14,220,142,135,-0.023957090452313423
WHALE,L,23,101,176,189,-0.05232319235801697
WHALE,M,25,86,163,179,-0.05239661782979965
WHALE,N,26,82,161,166,-0.0525873526930809
WHALE,M,24,93,172,174,-0.05258987098932266
WHALE,P,30,79,151,171,-0.053073473274707794
GRIZZLY,N,13,95,158,79,0.028094807639718056
GRIZZLY,N,9,116,167,70,0.028054842725396156
GRIZZLY,N,12,97,156,76,0.02797749452292919
GRIZZLY,N,11,100,157,71,0.027974585071206093
GRIZZLY,N,8,126,173,68,0.02792857028543949
FLAMINGO,F,12,219,133,119,-0.0046316469088196754
FLAMINGO,G,14,220,142,135,-0.005120433866977692
FLAMINGO,G,13,221,143,129,-0.005278026685118675
FLAMINGO,F,14,217,130,129,-0.005320550873875618
FLAMINGO,E,14,217,110,120,-0.005417267791926861
FOX,C,8,205,72,45,-0.003450106829404831
FOX,C,7,199,74,46,-0.003501277416944504
FOX,I,30,48,65,124,-0.0035605523735284805
FOX,C,9,210,75,50,-0.0039869267493486404
FOX,C,6,188,76,47,-0.004008145071566105
CRICKET,P,16,78,152,70,0.004377424716949463
CRICKET,P,17,81,153,68,0.0043629128485918045
CRICKET,P,18,83,155,77,0.004356861114501953
CRICKET,O,15,81,153,73,0.004314858466386795
CRICKET,O,14,77,150,66,0.004247792065143585
CANARY,C,1,143,92,43,-0.011963840574026108
CANARY,C,2,150,87,44,-0.01277867704629898
CANARY,D,1,175,118,47,-0.013327576220035553
CANARY,D,2,188,118,47,-0.013629253953695297
CANARY,C,3,164,89,46,-0.014293206855654716
PIG,G,15,222,144,155,-0.02516869083046913
PIG,H,15,218,165,158,-0.027048278599977493
PIG,F,15,218,127,144,-0.027646707370877266
PIG,G,14,220,142,135,-0.02778591588139534
PIG,F,14,217,130,129,-0.027847914025187492
TIGER,E,5,217,125,46,-0.036451809108257294
TIGER,E,3,223,136,44,-0.036803051829338074
TIGER,E,4,218,131,42,-0.03686968609690666
TIGER,D,4,202,115,45,-0.03746628761291504
TIGER,D,3,191,112,45,-0.037768103182315826
LADYBUG,B,18,199,54,115,-0.014764117076992989
LADYBUG,C,17,204,68,122,-0.015302388928830624
LADYBUG,B,19,190,61,118,-0.01654365099966526
LADYBUG,A,19,184,48,108,-0.016911514103412628
LADYBUG,C,16,209,65,110,-0.017294518649578094
FROG,N,7,130,175,68,0.023038096725940704
FROG,N,8,126,173,68,0.023004071786999702
FROG,N,6,147,183,68,0.02271220088005066
FROG,N,9,116,167,70,0.02249848283827305
FROG,M,10,139,180,87,0.02243211679160595
AXOLOTL,F,30,51,44,98,0.022895855829119682
AXOLOTL,D,30,68,48,110,0.02236814796924591
AXOLOTL,G,28,69,62,123,0.022215809673070908
AXOLOTL,E,30,56,47,109,0.022114574909210205
AXOLOTL,H,25,90,92,138,0.022089505568146706
TOAD,I,18,191,193,194,0.00044057145714759827
TOAD,I,17,192,196,189,-0.005430538207292557
TOAD,I,19,164,176,185,-0.00940299965441227
TOAD,I,20,148,161,177,-0.01473413035273552
TOAD,I,16,194,198,180,-0.015241388231515884
LEMON,K,6,227,220,95,0.05088821426033974
LEMON,K,5,230,221,85,0.05061568692326546
LEMON,L,4,223,217,68,0.049746811389923096
LEMON,L,3,227,217,60,0.04884956032037735
LEMON,K,4,235,222,79,0.04881548881530762
LIME,M,4,202,207,62,0.04973042011260986
LIME,L,6,215,214,82,0.04920952022075653
LIME,M,3,206,206,55,0.04904167354106903
LIME,M,2,208,206,51,0.04843530058860779
LIME,M,5,194,204,68,0.04772794991731644
KIWI,M,4,202,207,62,-0.03604666143655777
KIWI,M,5,194,204,68,-0.03643219918012619
KIWI,N,1,180,193,51,-0.03679174929857254
KIWI,M,3,206,206,55,-0.03701430559158325
KIWI,N,2,178,191,54,-0.03721431642770767
PUMPKIN,D,3,191,112,45,0.014208955690264702
PUMPKIN,D,4,202,115,45,0.013863940723240376
PUMPKIN,D,5,200,104,46,0.013170071877539158
PUMPKIN,H,9,229,163,106,0.01305084303021431
PUMPKIN,D,2,188,118,47,0.013044646009802818
ZUCCHINI,J,7,238,220,101,-0.02009882964193821
ZUCCHINI,K,4,235,222,79,-0.020175589248538017
ZUCCHINI,K,5,230,221,85,-0.020318221300840378
ZUCCHINI,J,6,240,218,93,-0.020344499498605728
ZUCCHINI,K,3,234,219,71,-0.02046453021466732
GRAPE,A,22,159,58,117,0.0136989401653409
GRAPE,A,23,152,59,116,0.013691806234419346
GRAPE,A,21,168,55,115,0.013630005531013012
GRAPE,B,22,152,65,121,0.013416280969977379
GRAPE,A,20,175,49,110,0.013401220552623272
CUCUMBER,P,21,92,158,95,0.020282045006752014
CUCUMBER,P,20,91,158,90,0.020170191302895546
CUCUMBER,N,15,99,162,95,0.020153697580099106
CUCUMBER,O,18,94,161,93,0.020138630643486977
CUCUMBER,O,19,97,163,99,0.020108353346586227
COCONUT,A,1,82,48,27,0.029830042272806168
COCONUT,B,1,115,71,37,0.025171669200062752
COCONUT,A,2,90,47,30,0.024898851290345192
COCONUT,K,11,185,201,122,0.022183671593666077
COCONUT,K,10,194,204,116,0.021945267915725708
EGGPLANT,J,27,77,95,143,0.015537919476628304
EGGPLANT,I,26,82,95,142,0.015481585636734962
EGGPLANT,J,28,70,87,138,0.015111314132809639
EGGPLANT,K,29,68,88,139,0.014973673969507217
EGGPLANT,I,25,88,101,141,0.014970064163208008
ASPARAGUS,K,10,194,204,116,0.00792788527905941
ASPARAGUS,K,9,204,207,111,0.007869316264986992
ASPARAGUS,L,8,185,199,94,0.007498903200030327
ASPARAGUS,L,7,201,207,90,0.007231615483760834
ASPARAGUS,K,11,185,201,122,0.007139777764678001
PEACH,G,11,225,146,123,0.052424341440200806
PEACH,G,12,223,145,126,0.05216270685195923
PEACH,H,13,224,161,135,0.05195072293281555
PEACH,H,14,222,163,143,0.05141304060816765
PEACH,H,12,227,160,127,0.05140231177210808
APPLE,M,5,194,204,68,0.032936401665210724
APPLE,M,4,202,207,62,0.03245832398533821
APPLE,N,1,180,193,51,0.03221162408590317
