word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,-0.009926458820700645
SALMON,F,12,219,133,119,-0.010283272713422775
SALMON,G,13,221,143,129,-0.01201767660677433
SALMON,G,12,223,145,126,-0.012369304895401001
SALMON,G,11,225,146,123,-0.012684538960456848
WHALE,N,29,75,128,163,-0.03292035311460495
WHALE,O,30,75,135,167,-0.0329265296459198
WHALE,N,30,69,114,155,-0.03293800354003906
WHALE,M,27,75,130,160,-0.03311469033360481
WHALE,N,28,77,141,173,-0.03312014415860176
GRIZZLY,I,18,191,193,194,-0.023519393056631088
GRIZZLY,N,5,154,184,62,-0.02815241739153862
GRIZZLY,N,4,161,186,60,-0.028259295970201492
GRIZZLY,N,6,147,183,68,-0.028626322746276855
GRIZZLY,N,3,170,189,58,-0.02877940982580185
FLAMINGO,G,15,222,144,155,0.014109842479228973
FLAMINGO,F,15,218,127,144,0.011962108314037323
FLAMINGO,G,14,220,142,135,0.010399647057056427
FLAMINGO,F,14,217,130,129,0.008717209100723267
FLAMINGO,E,15,214,104,131,0.008599869906902313
FOX,E,5,217,125,46,-0.0005701184272766113
FOX,E,6,213,114,50,-0.0006465520709753036
FOX,E,3,223,136,44,-0.001272454857826233
FOX,D,7,211,99,50,-0.001348394900560379
FOX,D,6,202,97,45,-0.0013859309256076813
CRICKET,N,7,130,175,68,0.014838483184576035
CRICKET,N,8,126,173,68,0.014704491943120956
CRICKET,N,6,147,183,68,0.01405528374016285
CRICKET,M,10,139,180,87,0.013982243835926056
CRICKET,N,9,116,167,70,0.013907644897699356
CANARY,P,28,81,159,151,-0.018648523837327957
CANARY,O,27,83,159,156,-0.018858803436160088
CANARY,N,26,82,161,166,-0.019051842391490936
CANARY,N,25,89,166,160,-0.0191575288772583
CANARY,P,29,82,157,165,-0.019268391653895378
PIG,G,16,206,150,162,0.026657864451408386
PIG,G,15,222,144,155,0.025838691741228104
PIG,F,16,202,130,150,0.0258247721940279
PIG,F,15,218,127,144,0.024453379213809967
PIG,E,16,205,110,140,0.02346164919435978
TIGER,F,2,230,162,42,-0.036506444215774536
TIGER,G,3,235,169,52,-0.03655817359685898
TIGER,F,3,228,158,50,-0.03737621754407883
TIGER,E,3,223,136,44,-0.0383683480322361
TIGER,G,4,234,169,63,-0.03887185454368591
LADYBUG,E,14,217,110,120,-0.02517922781407833
LADYBUG,E,15,214,104,131,-0.0262750294059515
LADYBUG,F,15,218,127,144,-0.027842605486512184
LADYBUG,M,8,158,189,81,-0.02792378142476082
LADYBUG,N,6,147,183,68,-0.028014233335852623
FROG,N,6,147,183,68,0.030294131487607956
FROG,N,7,130,175,68,0.029585184529423714
FROG,M,8,158,189,81,0.029181836172938347
FROG,M,9,145,182,83,0.029148396104574203
FROG,N,5,154,184,62,0.029090315103530884
AXOLOTL,G,30,51,47,105,0.05227088928222656
AXOLOTL,F,30,51,44,98,0.0521298348903656
AXOLOTL,E,1,203,141,42,0.052111294120550156
