word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.012767085805535316
SALMON,F,12,219,133,119,0.011729912832379341
SALMON,E,10,215,114,90,0.01016748882830143
SALMON,E,12,211,111,104,0.009807923808693886
SALMON,G,13,221,143,129,0.009656550362706184
WHALE,I,30,48,65,124,0.002003159373998642
WHALE,I,29,62,71,129,0.0015291720628738403
WHALE,K,30,65,82,135,0.0015021786093711853
WHALE,J,29,67,79,135,0.0014154687523841858
WHALE,H,29,59,64,124,0.0012827664613723755
GRIZZLY,I,18,191,193,194,0.016439542174339294
GRIZZLY,I,17,192,196,189,0.001653499435633421
GRIZZLY,I,19,164,176,185,-0.00532795675098896
GRIZZLY,H,20,154,142,164,-0.007273470051586628
GRIZZLY,H,18,174,159,174,-0.007637985050678253
FLAMINGO,G,15,222,144,155,0.027167515829205513
FLAMINGO,F,15,218,127,144,0.026164129376411438
FLAMINGO,E,15,214,104,131,0.023411961272358894
FLAMINGO,G,14,220,142,135,0.023313501849770546
FLAMINGO,F,14,217,130,129,0.022666925564408302
FOX,D,7,211,99,50,0.020316174253821373
FOX,D,8,205,95,49,0.01994617097079754
FOX,D,6,202,97,45,0.019278228282928467
FOX,C,8,205,72,45,0.018747301772236824
FOX,C,9,210,75,50,0.01863958314061165
CRICKET,O,5,126,166,66,0.04014157876372337
CRICKET,O,4,132,168,64,0.040083397179841995
CRICKET,M,9,145,182,83,0.03991111367940903
CRICKET,M,10,139,180,87,0.03987036645412445
CRICKET,N,7,130,175,68,0.03984498605132103
CANARY,D,10,209,93,76,-0.00016316864639520645
CANARY,E,12,211,111,104,-0.0004623783752322197
CANARY,D,11,208,96,88,-0.000570390373468399
CANARY,E,10,215,114,90,-0.0010543614625930786
CANARY,D,12,207,96,91,-0.0012062890455126762
PIG,F,16,202,130,150,0.06944645941257477
PIG,G,16,206,150,162,0.06833625584840775
PIG,E,16,205,110,140,0.06688214838504791
PIG,F,15,218,127,144,0.06521406769752502
PIG,G,15,222,144,155,0.06500840932130814
TIGER,E,5,217,125,46,-0.025168754160404205
TIGER,E,6,213,114,50,-0.025217046961188316
TIGER,D,7,211,99,50,-0.02580462023615837
