word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,8,224,149,97,0.11300957947969437
SALMON,H,9,229,163,106,0.11251632869243622
SALMON,F,8,215,132,84,0.11217685043811798
SALMON,F,7,223,142,80,0.1119174137711525
SALMON,D,5,200,104,46,0.11032087355852127
WHALE,O,29,75,143,168,0.08477752655744553
WHALE,M,26,81,147,175,0.08270896971225739
WHALE,M,27,75,130,160,0.08218719810247421
WHALE,N,27,77,147,166,0.08217375725507736
WHALE,P,30,79,151,171,0.08138236403465271
GRIZZLY,I,19,164,176,185,0.13251899182796478
GRIZZLY,I,17,192,196,189,0.12920810282230377
GRIZZLY,H,18,174,159,174,0.1277266889810562
GRIZZLY,H,20,154,142,164,0.1242513507604599
GRIZZLY,H,19,168,152,171,0.12139629572629929
FLAMINGO,H,13,224,161,135,0.13289855420589447
FLAMINGO,H,14,222,163,143,0.13276341557502747
FLAMINGO,H,12,227,160,127,0.13171835243701935
FLAMINGO,G,12,223,145,126,0.13112053275108337
FLAMINGO,G,11,225,146,123,0.13097815215587616
FOX,P,15,70,145,67,0.08054263889789581
FOX,P,11,63,120,66,0.0796714797616005
FOX,P,10,65,118,66,0.07872486114501953
FOX,D,7,211,99,50,0.0784250944852829
FOX,P,14,70,138,69,0.07836470007896423
CRICKET,N,8,126,173,68,0.1173315942287445
CRICKET,N,9,116,167,70,0.11722026765346527
CRICKET,E,29,73,50,118,0.11694557964801788
CRICKET,N,7,130,175,68,0.11692451685667038
CRICKET,F,28,74,51,119,0.11683174967765808
CANARY,C,3,164,89,46,0.15945833921432495
CANARY,C,2,150,87,44,0.1582336276769638
CANARY,B,3,136,67,39,0.156453937292099
CANARY,B,2,128,70,41,0.15624532103538513
CANARY,C,1,143,92,43,0.15578846633434296
PIG,H,16,200,164,172,0.1171966940164566
PIG,G,17,192,152,164,0.11493995785713196
PIG,G,16,206,150,162,0.1148039847612381
PIG,H,15,218,165,158,0.11318843066692352
PIG,G,18,185,148,162,0.11214031279087067
TIGER,E,6,213,114,50,0.050865933299064636
TIGER,D,7,211,99,50,0.049210600554943085
TIGER,E,5,217,125,46,0.048889681696891785
TIGER,D,6,202,97,45,0.0472143217921257
TIGER,C,8,205,72,45,0.04678056389093399
LADYBUG,H,17,192,166,175,0.1421983540058136
LADYBUG,H,16,200,164,172,0.1405668556690216
LADYBUG,H,15,218,165,158,0.13807593286037445
LADYBUG,G,17,192,152,164,0.13511168956756592
LADYBUG,H,14,222,163,143,0.13417498767375946
FROG,O,14,77,150,66,0.13079403340816498
FROG,P,15,70,145,67,0.13053616881370544
FROG,P,17,81,153,68,0.12991240620613098
FROG,P,16,78,152,70,0.12942622601985931
FROG,O,13,78,147,70,0.12814104557037354
AXOLOTL,C,8,205,72,45,0.08922505378723145
AXOLOTL,C,9,210,75,50,0.08850804716348648
AXOLOTL,B,9,202,63,44,0.08814166486263275
AXOLOTL,C,7,199,74,46,0.08810198307037354
AXOLOTL,B,10,206,66,49,0.0872562974691391
TOAD,P,10,65,118,66,0.11691057682037354
TOAD,P,11,63,120,66,0.1167210042476654
TOAD,P,15,70,145,67,0.1163407638669014
TOAD,P,9,70,126,68,0.11567171663045883
TOAD,O,14,77,150,66,0.11559738963842392
LEMON,K,4,235,222,79,0.16059355437755585
LEMON,K,5,230,221,85,0.16001984477043152
LEMON,K,3,234,219,71,0.159225732088089
LEMON,K,2,234,219,67,0.15911810100078583
LEMON,L,3,227,217,60,0.1588129848241806
LIME,L,4,223,217,68,0.1497592031955719
LIME,L,2,228,217,53,0.14840446412563324
LIME,L,3,227,217,60,0.14817053079605103
LIME,L,1,229,216,45,0.14776407182216644
LIME,M,1,211,207,48,0.147666335105896
KIWI,C,29,95,58,123,0.12850147485733032
KIWI,E,28,83,52,121,0.12766703963279724
KIWI,C,30,85,50,118,0.127280130982399
KIWI,D,27,97,61,123,0.12693607807159424
KIWI,C,28,102,62,123,0.12654632329940796
PUMPKIN,G,11,225,146,123,0.1400124877691269
PUMPKIN,H,15,218,165,158,0.13946017622947693
PUMPKIN,G,12,223,145,126,0.13935282826423645
PUMPKIN,G,10,227,147,113,0.13917887210845947
PUMPKIN,H,14,222,163,143,0.13862933218479156
ZUCCHINI,J,16,187,201,178,0.09798543155193329
ZUCCHINI,J,15,195,203,165,0.09566769748926163
ZUCCHINI,J,17,181,202,191,0.09507445991039276
ZUCCHINI,J,14,190,196,156,0.09493350982666016
ZUCCHINI,J,18,180,202,194,0.09472596645355225
GRAPE,H,18,174,159,174,0.14588983356952667
GRAPE,H,20,154,142,164,0.14371538162231445
GRAPE,I,16,194,198,180,0.14296019077301025
GRAPE,H,19,168,152,171,0.1422390639781952
GRAPE,I,17,192,196,189,0.1399947553873062
CUCUMBER,E,6,213,114,50,0.1819111406803131
CUCUMBER,D,6,202,97,45,0.1798700988292694
CUCUMBER,E,5,217,125,46,0.179605633020401
CUCUMBER,D,7,211,99,50,0.17932529747486115
CUCUMBER,D,5,200,104,46,0.17885376513004303
COCONUT,A,1,82,48,27,0.11785917729139328
COCONUT,B,1,115,71,37,0.11068219691514969
COCONUT,N,9,116,167,70,0.10862518846988678
COCONUT,N,8,126,173,68,0.10786348581314087
COCONUT,B,2,128,70,41,0.10770567506551743
EGGPLANT,P,15,70,145,67,0.15003766119480133
EGGPLANT,O,14,77,150,66,0.14956840872764587
EGGPLANT,P,17,81,153,68,0.14796829223632812
EGGPLANT,P,16,78,152,70,0.1475570797920227
EGGPLANT,P,14,70,138,69,0.14729836583137512
ASPARAGUS,L,16,146,186,143,0.1113600879907608
ASPARAGUS,K,15,163,188,147,0.1112692654132843
ASPARAGUS,M,18,128,180,138,0.11080864071846008
ASPARAGUS,M,17,125,177,129,0.11075524985790253
ASPARAGUS,M,19,130,182,141,0.1105182021856308
PEACH,H,10,235,159,109,0.21463504433631897
PEACH,H,11,230,159,119,0.21025103330612183
PEACH,G,9,225,149,105,0.2098388373851776
PEACH,G,10,227,147,113,0.20904654264450073
PEACH,G,8,224,149,97,0.20533603429794312
APPLE,L,12,152,186,114,0.19982245564460754
APPLE,L,11,158,188,108,0.19980162382125854
APPLE,L,10,165,191,101,0.19865792989730835
APPLE,M,11,128,174,91,0.19816511869430542
APPLE,M,10,139,180,87,0.19812479615211487
EGG,J,19,165,194,195,0.12891730666160583
EGG,P,10,65,118,66,0.12890762090682983
EGG,P,11,63,120,66,0.1281777173280716
EGG,P,9,70,126,68,0.1255444884300232
EGG,J,18,180,202,194,0.1251341551542282
BANANA,I,2,235,196,46,0.1225130558013916
BANANA,J,3,239,213,61,0.12221239507198334
BANANA,I,5,239,203,76,0.12210127711296082
BANANA,J,6,240,218,93,0.12197541445493698
BANANA,I,3,235,197,59,0.12166444957256317
TOMATO,C,7,199,74,46,0.1564352810382843
TOMATO,C,6,188,76,47,0.1553792953491211
TOMATO,C,8,205,72,45,0.1547880470752716
TOMATO,A,12,195,57,41,0.15285614132881165
TOMATO,B,7,183,61,45,0.15151965618133545
BEET,B,5,158,65,44,0.13757772743701935
BEET,B,4,150,70,45,0.13447019457817078
BEET,C,5,180,80,46,0.13280175626277924
BEET,C,6,188,76,47,0.13177356123924255
BEET,B,6,171,61,45,0.13133642077445984
PEARL,H,17,192,166,175,0.12021804600954056
PEARL,G,19,167,138,159,0.11751405894756317
PEARL,H,16,200,164,172,0.1174333393573761
PEARL,G,18,185,148,162,0.11683334410190582
PEARL,G,17,192,152,164,0.11525970697402954
AMETHYST,H,19,168,152,171,0.10263718664646149
AMETHYST,H,18,174,159,174,0.10225974023342133
AMETHYST,H,17,192,166,175,0.10129071772098541
AMETHYST,H,20,154,142,164,0.1011182963848114
AMETHYST,H,21,142,131,158,0.09874117374420166
SAPPHIRE,A,29,109,61,122,0.14133308827877045
