word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.19057118892669678
SALMON,G,11,225,146,123,0.18946152925491333
SALMON,G,12,223,145,126,0.18856602907180786
SALMON,F,12,219,133,119,0.18819081783294678
SALMON,E,10,215,114,90,0.18775665760040283
WHALE,H,30,49,56,116,0.1673913151025772
WHALE,I,30,48,65,124,0.1669427752494812
WHALE,M,24,93,172,174,0.1667846292257309
WHALE,N,26,82,161,166,0.166562020778656
WHALE,G,30,51,47,105,0.16626083850860596
GRIZZLY,I,18,191,193,194,0.17258962988853455
GRIZZLY,H,30,49,56,116,0.16441801190376282
GRIZZLY,I,30,48,65,124,0.1642601042985916
GRIZZLY,F,30,51,44,98,0.164251908659935
GRIZZLY,G,30,51,47,105,0.1641608327627182
FLAMINGO,G,15,222,144,155,0.20153272151947021
FLAMINGO,F,15,218,127,144,0.2010575532913208
FLAMINGO,E,14,217,110,120,0.20093601942062378
FLAMINGO,F,14,217,130,129,0.20025061070919037
FLAMINGO,G,14,220,142,135,0.20014981925487518
FOX,E,3,223,136,44,0.1940869837999344
FOX,E,4,218,131,42,0.19316105544567108
FOX,E,5,217,125,46,0.19261255860328674
FOX,D,7,211,99,50,0.1920129954814911
FOX,E,2,217,140,41,0.19146402180194855
CRICKET,I,19,164,176,185,0.17579275369644165
CRICKET,I,20,148,161,177,0.17269103229045868
CRICKET,I,18,191,193,194,0.17264840006828308
CRICKET,N,30,69,114,155,0.17164716124534607
CRICKET,M,29,72,113,155,0.17127010226249695
CANARY,J,3,239,213,61,0.24035361409187317
CANARY,J,4,237,216,75,0.2398763746023178
CANARY,J,2,235,211,51,0.23983511328697205
CANARY,J,5,238,217,81,0.2395227998495102
CANARY,K,2,234,219,67,0.23950493335723877
PIG,G,15,222,144,155,0.18076854944229126
PIG,F,15,218,127,144,0.17956459522247314
PIG,H,15,218,165,158,0.1778336465358734
PIG,E,14,217,110,120,0.17747335135936737
PIG,E,15,214,104,131,0.17737677693367004
TIGER,F,4,230,160,63,0.1854831874370575
TIGER,F,5,230,158,69,0.1852199137210846
TIGER,F,3,228,158,50,0.1851392537355423
TIGER,G,4,234,169,63,0.18426957726478577
TIGER,F,2,230,162,42,0.18422017991542816
LADYBUG,I,18,191,193,194,0.17406538128852844
LADYBUG,C,10,213,78,66,0.16460686922073364
LADYBUG,C,11,211,78,73,0.16381818056106567
LADYBUG,B,12,209,65,59,0.16380435228347778
LADYBUG,B,11,207,67,54,0.16376936435699463
FROG,N,6,147,183,68,0.19065998494625092
FROG,N,5,154,184,62,0.19032377004623413
FROG,N,7,130,175,68,0.1899014413356781
FROG,M,8,158,189,81,0.18974241614341736
FROG,N,4,161,186,60,0.18958790600299835
AXOLOTL,H,16,200,164,172,0.2075841724872589
AXOLOTL,G,15,222,144,155,0.20675423741340637
AXOLOTL,G,16,206,150,162,0.20618152618408203
AXOLOTL,H,15,218,165,158,0.20506799221038818
AXOLOTL,F,15,218,127,144,0.20411916077136993
TOAD,I,18,191,193,194,0.15637922286987305
TOAD,I,13,207,190,146,0.15220502018928528
TOAD,I,12,220,198,142,0.15181708335876465
TOAD,I,14,209,200,158,0.15109625458717346
TOAD,I,15,204,200,166,0.14840790629386902
LEMON,L,2,228,217,53,0.2552904486656189
LEMON,L,1,229,216,45,0.2552013397216797
LEMON,L,3,227,217,60,0.2548794746398926
LEMON,K,2,234,219,67,0.2542579174041748
LEMON,K,4,235,222,79,0.25391557812690735
LIME,N,1,180,193,51,0.2721811532974243
LIME,N,3,170,189,58,0.27149438858032227
LIME,N,4,161,186,60,0.27113592624664307
LIME,N,2,178,191,54,0.27095240354537964
LIME,M,5,194,204,68,0.27056649327278137
KIWI,N,5,154,184,62,0.20015767216682434
KIWI,N,4,161,186,60,0.1998845338821411
KIWI,N,6,147,183,68,0.19938938319683075
KIWI,O,2,144,170,60,0.1993561089038849
KIWI,O,1,147,170,59,0.19928914308547974
PUMPKIN,E,3,223,136,44,0.2152281403541565
PUMPKIN,E,4,218,131,42,0.21321961283683777
PUMPKIN,E,5,217,125,46,0.21188202500343323
PUMPKIN,F,5,230,158,69,0.21162313222885132
PUMPKIN,E,2,217,140,41,0.21158933639526367
ZUCCHINI,L,7,201,207,90,0.177680104970932
ZUCCHINI,M,5,194,204,68,0.17707252502441406
ZUCCHINI,N,2,178,191,54,0.1769399344921112
ZUCCHINI,K,9,204,207,111,0.17689678072929382
ZUCCHINI,N,1,180,193,51,0.1767810583114624
GRAPE,B,27,111,59,115,0.23972342908382416
GRAPE,A,26,124,59,119,0.2395646721124649
GRAPE,B,26,122,62,121,0.23948398232460022
GRAPE,A,27,119,61,121,0.23938705027103424
GRAPE,B,25,130,64,121,0.23933134973049164
CUCUMBER,P,17,81,153,68,0.1956569105386734
CUCUMBER,P,16,78,152,70,0.1955314427614212
CUCUMBER,O,14,77,150,66,0.1954222023487091
CUCUMBER,O,15,81,153,73,0.19520077109336853
CUCUMBER,P,18,83,155,77,0.19516074657440186
COCONUT,H,9,229,163,106,0.18100780248641968
COCONUT,H,11,230,159,119,0.18067985773086548
COCONUT,I,12,220,198,142,0.1803232878446579
COCONUT,H,10,235,159,109,0.1800253987312317
COCONUT,H,12,227,160,127,0.17999933660030365
EGGPLANT,D,30,68,48,110,0.20027220249176025
EGGPLANT,E,29,73,50,118,0.1989012509584427
EGGPLANT,D,29,82,52,118,0.19888149201869965
EGGPLANT,F,28,74,51,119,0.1987268179655075
EGGPLANT,C,30,85,50,118,0.1985759735107422
ASPARAGUS,K,11,185,201,122,0.19425761699676514
ASPARAGUS,K,12,178,197,132,0.19401663541793823
ASPARAGUS,K,13,175,195,138,0.1932651400566101
ASPARAGUS,K,10,194,204,116,0.19285891950130463
ASPARAGUS,J,15,195,203,165,0.19238296151161194
PEACH,H,12,227,160,127,0.22012558579444885
PEACH,G,11,225,146,123,0.21995939314365387
PEACH,H,13,224,161,135,0.2197618931531906
PEACH,F,11,223,134,112,0.21884369850158691
PEACH,G,12,223,145,126,0.21876810491085052
APPLE,N,5,154,184,62,0.16953787207603455
APPLE,N,6,147,183,68,0.16936923563480377
APPLE,N,4,161,186,60,0.169129878282547
APPLE,N,7,130,175,68,0.1685493141412735
