word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,10,227,147,113,0.2625017464160919
SALMON,F,10,220,130,98,0.2619205117225647
SALMON,F,11,223,134,112,0.2615484297275543
SALMON,F,9,219,128,88,0.2608559727668762
SALMON,G,11,225,146,123,0.26083168387413025
WHALE,J,21,134,171,185,0.2505257725715637
WHALE,J,20,146,185,193,0.24984011054039001
WHALE,J,22,123,155,177,0.24921894073486328
WHALE,K,20,144,191,190,0.24869604408740997
WHALE,K,24,102,146,172,0.2486017793416977
GRIZZLY,D,1,175,118,47,0.23590464890003204
GRIZZLY,E,1,203,141,42,0.23589736223220825
GRIZZLY,D,2,188,118,47,0.23565104603767395
GRIZZLY,D,3,191,112,45,0.2349221408367157
GRIZZLY,C,3,164,89,46,0.2344088852405548
FLAMINGO,G,11,225,146,123,0.2576203942298889
FLAMINGO,F,11,223,134,112,0.2574511170387268
FLAMINGO,G,12,223,145,126,0.25744110345840454
FLAMINGO,F,12,219,133,119,0.2573305368423462
FLAMINGO,G,13,221,143,129,0.2570871412754059
FOX,E,6,213,114,50,0.2551649808883667
FOX,E,7,212,113,63,0.2549532651901245
FOX,E,5,217,125,46,0.25474220514297485
FOX,D,5,200,104,46,0.25460225343704224
FOX,D,6,202,97,45,0.25434112548828125
CRICKET,P,7,81,133,67,0.24305641651153564
CRICKET,P,8,77,130,68,0.24302484095096588
CRICKET,O,11,78,135,69,0.24297180771827698
CRICKET,O,10,83,138,68,0.24281734228134155
CRICKET,N,16,103,164,100,0.24263733625411987
CANARY,L,5,226,214,80,0.27857908606529236
CANARY,I,1,225,191,32,0.27828505635261536
CANARY,J,1,224,203,44,0.2778380513191223
CANARY,K,6,227,220,95,0.2776961922645569
CANARY,K,1,222,209,60,0.27765020728111267
PIG,G,15,222,144,155,0.22713151574134827
PIG,H,15,218,165,158,0.2255687117576599
PIG,F,15,218,127,144,0.22545289993286133
PIG,G,14,220,142,135,0.2251897156238556
PIG,F,14,217,130,129,0.22515130043029785
TIGER,D,6,202,97,45,0.25027936697006226
TIGER,E,6,213,114,50,0.25021085143089294
TIGER,E,7,212,113,63,0.2498840093612671
TIGER,D,8,205,95,49,0.24963846802711487
TIGER,D,5,200,104,46,0.24963325262069702
LADYBUG,C,6,188,76,47,0.24232448637485504
LADYBUG,C,7,199,74,46,0.24206584692001343
LADYBUG,B,7,183,61,45,0.2417922466993332
LADYBUG,D,9,206,89,63,0.24131321907043457
LADYBUG,B,6,171,61,45,0.24105960130691528
FROG,P,7,81,133,67,0.26031386852264404
FROG,P,6,88,138,67,0.26024729013442993
FROG,O,10,83,138,68,0.26017677783966064
FROG,O,11,78,135,69,0.259931743144989
FROG,P,8,77,130,68,0.2599031627178192
AXOLOTL,E,13,211,112,112,0.2396225482225418
AXOLOTL,F,14,217,130,129,0.23929987847805023
AXOLOTL,F,12,219,133,119,0.239145427942276
AXOLOTL,F,13,213,130,122,0.23901253938674927
AXOLOTL,E,12,211,111,104,0.23898574709892273
TOAD,C,4,170,82,47,0.249188631772995
TOAD,C,3,164,89,46,0.24917620420455933
TOAD,B,4,150,70,45,0.2482060045003891
TOAD,F,8,215,132,84,0.24816226959228516
TOAD,B,3,136,67,39,0.24787938594818115
LEMON,K,6,227,220,95,0.2823907732963562
LEMON,K,5,230,221,85,0.28232625126838684
LEMON,J,7,238,220,101,0.2817714810371399
LEMON,L,5,226,214,80,0.281715989112854
LEMON,K,4,235,222,79,0.281644344329834
LIME,N,1,180,193,51,0.2842988967895508
LIME,M,5,194,204,68,0.2839541733264923
LIME,N,2,178,191,54,0.2834552228450775
LIME,L,7,201,207,90,0.2819942831993103
LIME,M,6,182,198,73,0.28192684054374695
KIWI,O,3,139,168,60,0.25831055641174316
KIWI,L,10,165,191,101,0.2575327157974243
KIWI,O,2,144,170,60,0.2566695809364319
KIWI,O,1,147,170,59,0.25657546520233154
KIWI,P,1,112,140,60,0.25610727071762085
PUMPKIN,E,5,217,125,46,0.26535746455192566
PUMPKIN,E,4,218,131,42,0.2647320032119751
PUMPKIN,E,3,223,136,44,0.26442235708236694
PUMPKIN,E,6,213,114,50,0.2643876373767853
PUMPKIN,F,7,223,142,80,0.2635185122489929
ZUCCHINI,P,11,63,120,66,0.23532846570014954
ZUCCHINI,P,12,67,127,70,0.23490013182163239
ZUCCHINI,P,10,65,118,66,0.23472821712493896
ZUCCHINI,P,9,70,126,68,0.23437073826789856
ZUCCHINI,P,13,70,136,71,0.23404978215694427
GRAPE,D,30,68,48,110,0.26951271295547485
GRAPE,G,24,108,89,137,0.2688731849193573
GRAPE,G,23,118,98,141,0.2685092091560364
